code,name,lecturer,description,ects
BI2M01,Biochemistry,Richard Porter,"Learning Outcomes:
On successful completion of this course students will be able to: 1. To appreciate the importance of DNA replication transcription and translation in regulating cellular processes in mammals. 2. To appreciate the central role played by proteins and enzymes in the functions of the mammalian cell. 3. To be familiar with the principle biochemical pathways that dictate metabolism in mammals to appreciate how they are physiologically regulated and be familiar with diseases associated with their dysfunction and how drugs targeted to these pathways can benefit humans. 4. To be familiar with membrane structure(s) and how it defines mammalian cells and organelles 5. To be familiar with how signals for a physiological processes that arrive on the outside of cells are translated into function inside mammalian cells 6. To be familiar with how the chronological development and growth of a cell is coordinated 7. To be familiar with examples of human cells with specialized functions
Module Learning Aims:
RATIONALE AND AIMS The purpose of the module for Junior Freshman medical students is to provide medical students with knowledge and understanding of the molecular basis of normally functioning mammalian cells and how diseases and mutations can disrupt normal metabolism. The course has been designed to be vertically integrated with the following courses also taught to medical students: clinical biochemistry endocrinology immunology pharmacology pathology haematology and molecular medicine. The course is mandatory. Prerequisite subjects from School for getting to grips with the course is biology and/or chemistry. The lecturer is there to guide through the fundamentals of the course. Don't hesistate to ask her/him questions.
Module Content:
Students experience Biochemistry through Lectures Practical classes Tutorials and Small
Group Learning and direct interaction with staff. The course has been designed to be
vertically integrated with the following courses also taught to medical students: clinical
biochemistry endocrinology immunology pharmacology pathology haematology and
molecular medicine.
",5
BI3015,Literature Skills,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
BI4025,Molecular And Cellular Parasitology,Derek Nolan;,"Learning Outcomes:
On successful completion of this module students will be able to:

Relate how African trypanosomes avoid the immune response and innate immunity of their human hosts


Explain how these parasites take up host derived growth factors


Compare and contrast the strategies used by malarial parasites to enter and survive within human erythrocytes and the molecular and cellular interactions of P. falciparum with its host


Explain the mode of action of and mechanism of resistance to at least one anti-malarial drug in current use


Compare the strategies to control helminth infections using specific species as examples


Evaluate the global impact of helminth infections on endemic countries

Demonstrate an understanding of the concept of multidimensional imaging and tomography of molecules and cells
Module Learning Aims:
Module Content:
African trypansomes   (8 lectures)  Derek Nolan

The aim of these lectures is to provide an introduction to African trypanosomes parasitic protozoans that cause sleeping sickness in humans and a related disease Nagana in cattle. These parasites are a major problem for human and veterinary health throughout sub Saharan Africa and serious barrier to economic development of the region. Perhaps the most striking feature of these parasites is that that they are exclusively extracellular. They grow and divide in the mammalian vasculature and consequently exposed the adaptive and innate defence responses of their mammalian hosts. In addition for a variety of reasons African trypanosomes have been come a favourite model organism for molecular and cell biologists and many discoveries of broad significance have emerged from studies on these model unicellular eukaryotes. Areas where such discoveries have been reported will be illustrated in the lectures where appropriate. The course is organized into two parts.

Trypanosomes Part 1:

How are trypanosomes such as Trypanosoma brucei able to evade the host humoral immune response given that they are constantly exposed to this arm of the immune response?

How are these parasites able to interact with and acquire from their host essential macromolecular growth factors?

Trypanosomes Part 2

The focus in part II is on the innate immunity that humans and other primates have to infection by certain strains of trypanosomes. In effect in this part we will consider the molecular basis of east African human sleeping sickness.

 
Helminths of Human Importance (4 lectures)     Padraic Fallon

A third of the world’s population is infected with parasitic worms. These lectures will address the major parasitic worms that are of medical importance. 

Lecture 1-2:

Introduction to the major helminth parasites that infect man. Medical and economic impact of helminth parasites on society. 

Lecture 3-5:

Wormy people: genetic predisposition to helminth infection. Co-evolution of man and parasitic worms: molecular and biochemical adaptation. The schistosome tegument or nematode cuticle as model membranes. Helminth proteome and genome projects. Gastro-intestinal versus systemic (tissue or blood dwelling) worm infections. Endosymbiotic infections. Modulation of immunity by helminth parasites: implications for designing vaccines. Molecular and biochemical targets for current and future drugs to treat helminth infections.

 
Malaria (3 lectures) Angus Bell

Lecture 1:

Plasmodium Toxoplasma and other apicomplexan parasites: basic biology and life cycles. Genomes and gene regulation.

Lecture 2:

Development of Plasmodium within erythrocytes: invasion intracellular growth multiplication merozoite release.

Lecture 3:

Molecular and cellular pathogenesis of malaria; drug targets and drug resistance.     
",5
BI4035,Cells Of The Innate And Adaptive Immune System,Emma Creagh,"Learning Outcomes:
Learning outcomes:

On successful completion of this module it is expected that students will be able to:

Describe the cells molecules and pathways involved in the induction and regulation of innate and adaptive immune responses and how regulatory responses can be exploited therapeutically


Demonstrate an understanding of the roles of myeloid cells and natural killer cells in innate and adaptive immunity


Critique the available information on the differentiation and regulation of B and T cells and their roles in fighting infection

Integrate information on the role of the immune system in sepsis and the use of this information to develop new therapies for this condition

 
Module Learning Aims:
Module Content:
Myeloid Cells: Dr Emma Creagh

Lecture 1: Summary of haematopoiesis from Myeloid progenitor cell; overview of Granulocyte Macrophage and DC cell types maturation & cell specific functions in innate immunity. Myeloid derived suppressor cells (MDSCs).
Lecture 2: Pattern recognition receptors (PRRs) Complement Rs -­‐ recognition of infection & injury.
Phagocytosis by cellular subtypes vesicular trafficking lysosome formation & degradation mechanisms.
Lecture 3: Granulocyte migration activation degranulation.
Exocytosis & Secretory pathways -­‐ release of preformed molecules from granules (eg. Histamine) and newly synthesised molecules (eg. TNFalpha).

Natural killer cells: Dr Clair Gardiner

Lecture 1: General features of NK cells including cell surface phenotypes cytokine production and main functions.
Lecture 2: Cytotoxicity mechanisms used by NK cells: necrosis and apoptosis (fas-­‐L granzymes TNF-­‐α and LT). Benefits of these; NK cells as effectors of graft-­‐rejection GVHD and GVL. Recognition of target cells; missing self hypothesis
Lecture 3: Receptors for MHC class I; human vs. mouse; lectin like receptors and Ig superfamily receptors. Inhibitory vs. stimulatory receptors. Diversity inherent within these receptors.
Lecture 4: Ligand specificity of human NK cell receptors – KIR and CD94/NKG2. Role of peptide in ligand recognition; general mechanisms of NK cell recognition of virally infected cells; viral escape strategies.
Lecture 5: Role of NK cell and receptors in particular diseases -­‐ a research perspective

T Cell differentiation and regulation: Prof Kingston Mills

Lecture 1: T cell subtypes antigen presentation and T cell differentiation.
Lecture 2: Natural and induced regulatory T cells. Regulatory T cells in infectious diseases. Role of anti-­‐inflammatory cytokines produced by innate cells and T cells in subversion of immunity to infection.

T Cell Immunity to bactgerial and viral infection: Prof Kingston Mills

Lecture 1: The bridge between innate and adaptive immunity. Pathogen activation of macrophages and dendritic cells through pattern recognition receptors. Role of dendritic cells in directing T cell subtypes.
Lecture 2: Role of Th1/Th2 cells in immunity to infection including HIV hepatitis C virus and Bordetella pertussis.

B Cells and Humoran Immunity: Dr Michael Carty

Lecture1: Discovery and history of B cells will be given as will a detailed description on the activation of B cells. B cell subtypes and regulation will also be described in detail.
Lecture2: A detailed description of antibody production will be given. Dysregulation of this system will be described in disease processes. Therapeutic manipulation of B cells and humoral immunity will also be provided in inflammatory diseases and other conditions.
Lecture 3: Discovery of complement and the proteolytic cleavage pathways leading to the activation of the terminal effector proteins of the complement system. Activation of this system results in pathogen opsonisation phagocytosis recruitment of inflammatory cells and pathogen killing. In addition mechanisms by which these pathways are regulated will also be described.
Lecture 4: Diseases in which complement components are thought to be involved will be described. These diseases include those in which components of the complement system are altered by mutation such as Systemic lupus erythematosus and conditions where there is inappropriate and excessive activation of complement such as glomerulonephritis. Finally therapeutic opportunities which target proteins of the complement system will also be explored.

Immunology of Sepsis: Dr Ruairi Fahy

Lecture 1: Sepsis: History Epidemiology Clinical scenarios Costs Outcomes Guidelines for treatment.
Lecture 2: The biology of sepsis: Genetics Molecular insights Path physiology Mitochondrial biology Modeling of sepsis (human and animal).
Lecture 3: Treatment of sepsis: Both effective and ineffective and discussion of same. Future directions in early diagnosis and management.
",5
BI4060,Neurochemistry Ii,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
BI4200,Advanced Biophysics Module,,"Learning Outcomes:
On successful completion of this module it is expected that students will be able to:

Demonstrate in written and oral form the principles and applications of advanced spectroscopy in analysing biological events.

Communicate the use of biophysical models to describe the behaviour of functional protein and other macromolecular complexes.

Demonstrate proficiency in the application of NMR approaches to solving biological problems.

Display a solid foundation in the science of the behaviour of large macromolecular complexes.

Solve structural problems using multi-faceted operations including spectrophotometric and calorific approaches.


 
Module Learning Aims:
Module Content:
ADVANCED BIOPHYSICS BI4200

Molecular Motors (BI4212) Dr Amir Khan 3 Lectures

Nanomotor proteins such as myosins and kinesins convert the chemical energy of ATP into a locomotiv force to slide past actin and microtubule filaments. These nanomotors are essential to perform work in living organisms such as muscle contraction cell division and vesicular cargo trafficking. Structural data combined with laser light trapping techniques have provided insight into the mechanism of these biological motors revealing that the work efficiency far exceeds man-made motors such as the internal combustion engine. The structure and mechnism of these motos will be discussed.

 


Advanced Spectroscopy (BI4202) Dr Tim Mantle 3 Lectures


These lectures introduce the theory and practical uses of optical spectroscopic methods such as light absorption fluorimetry and circular dichroism. The lectures are used to illustrate how intrinsic and extrinsic reporter groups can be used in equilibrium and pre-equilibrium conditions to identify molecular events such as ligand-induced protein conformational changes protein folding/unfolding and to determine the binding constants of complexes formed between example molecular partners. These lectures will feature a number of published example studies that combine these techniques with site-directed mutagenesis to probe protein structure /function.

 

 Lecture 5: Left/right asymmetry


 The left/right asymmetry of vertebrate internal organs; genetic control and how the pattern is established including the role of cilia.


 

 

Lectures 6 and 7: Tetrapod Limb Development.

The positioning and induction of the limb bud in the vertebrate embryo: The effect of the Hox code along the AP axis on positioning of the limb fields the role of Fgf signalling in limb bud outgrowth.

The two major signalling centres in the limb how they are established what influences they have what classic experiments were used to demonstrate their activities and what the major molecular role players are in the action of each.

Description of the developing limb and the problem of having to pattern a secondary structure in 3 dimensions. How the three dimensions are patterned.

How Hox genes pattern the limb showing that certain members of the hox gene clusters were recruited for limb patterning. Aspects of limb evolution from fish fins to tetrapod limbs revealed through study of Hox genes.

 
Neural development - Kevin Mitchell (2 lectures)

 
Lecture 1: Cell migration in the cerebral cortex

The cerebral cortex of the brain is a highly organised laminated structure. During development newly-born neurons migrate from their point of origin to take up appropriate positions within this structure. Genetic studies in humans and mice have isolated a  number of genes involved in controlling cell migration in the cerebral cortex. Biochemical studies are starting to reveal the cellular processes and signaling pathways involved.

 
Lecture 2: Wiring the visual brain

The visual world is represented topographically across the retina and this spatial representation is maintained through the various relays in the visual brain. Biochemical and genetic studies have identified some of the major molecules that control the topographic projections of axons in this system.

 
Lecture 1

An introduction to fluorescence and how fluorescence spectroscopy may be used to study protein conformational changes protein folding/unfolding and protein-ligand interactions under equilibrium conditions. Practical aspects of the experiment in order to analyse the binding curve by the Scatchard plot.

Fluorescence Resonance energy transfer. Practical consequences of RET. Use to estimate the number of subunits/binding sites in a protein.

 
Lecture 2

Pre-equilibrium methods.

 
(a) To determine the Kd of a complex. 

(b) To determine the number of active sites in a protein (burst kinetic /single turnover experiments).

(c) To examine the rate determining step in e.g. ADH and LDH. The use of isotopically labelled substrate.

(d)Analysis of the reaction mechanism of LDH by site-directected mutagenesis and fluorescence spectroscopy.

 
Lecture 3

A case study using the above techniques.

 
Advanced Protein NMR (BI4214) Dr Ken Hun Mok 3 Lectures

A course in modern approaches to protein structure determination.

Lecture 1. Protein Structure generation and isotope labelling for larger proteins (>10kDa)

Lecture 2. New assignment strategies for large proteins

Lecture 3. Protein-Ligand binding by NMR – New methods for drug discovery

 
Membrance Structure and Function (BI4213) Prof Martin Caffrey 6 Lectures

Topics covered will include: Biomembrane diversity and function; Lipid diversity and function; Water; The hydrophobic effect; Spontaneous self-assembly; Reconstitution for structure-function; Membrane protein structure determination; Photo-proteins; G protein-coupled receptors

 
MODULE 2:

DEVELOPMENTAL BIOLOGY BI4410

Development and Differentiation Joe Carroll (4 lectures)

4 lectures covering the following topics

Unicellular models of differentiation: virus assembly and morphogenesis promoters and programmed synthesis of RNA polymersase factors.

Sporulation of Bacillus subtilis: concept of time delay between determination and differentiation reversibility of differentiation half life of mRNA in differentiating tissues. Cell cycle and differentiation: distinguishing between cell-cycle related and differentiative events.

From unicellularity to multicellularity: Dictyostelium discoideum cell cycle communication cell-cell adhesion multicellular development cAMP as a signal in morphoregulation cell adhesion and motility cell divergence.

Stability of the differentiated state: Drosophila melanogaster pattern formation phenomenon of transdetermination.

Mammalian development: spermatogenesis ovulation and fertilisation development of the early embryo in vitro cellular metabolism and cell surface specialisation determination leading to cell differentiation implantation and immuno-tolerance discontinuity of differentiation and actions of teratogens.

Introducing genes into embryo's and stem cells: methodology correlation of gene expression with developmental events transgenic mice and localisation of cis-acting elements responsible for tissue specific gene regulation.

 
Developmental Biology; Laying down the vertebrate body plan Paula Murphy (7 lectures)

 
Lecture 1. Pre-gastrulation and the origins of the AP and D/V axes.

· The differences between pre-gastrulation development in mammals and frogs.

· Specifically for the amphibian the action of maternal factors the establishment and purpose of the Nieuwkoop centre the establishment of Spemann’s organiser above the Nieuwkoop centre and mesoderm induction.

 
Lecture 2. Gastrulation and segmentation

· The relevance of gastrulation to all triploblastic animals.

· Somitogenesis and the formation and function of somites.

· The segmentation clock

· Origin of Hox gene expression.

 
Lecture 3. Neurulation and Patterning of the mesoderm and the neural tube along the AP axis.

· The central role of the notochord in inducing the CNS.

· Vertebrate Hox gene clusters and the evidence for hox gene patterning of the AP axis in both the nervous system and the mesoderm

 
Lecture 4. Patterning of the D/V axis.

· Patterning of the neural tube along the DV axis including the role of the notochord the establishment of opposing gradients of signalling molecules from dorsal and ventral and how this is interpreted by the developing neurons.

· How neuronal diversity and complexity is built up in the nervous system (progressive specification).

· DV patterning of the somite.


 
",5
BI4220,Nanomachines And Diseases Of Protein Conformation Module,,"Learning Outcomes:
On successful completion of this module it is expected that students will be able to:

Demonstrate in written and oral form the paradigm of “genes meanz nanomachines”.

Demonstrate proficiency in the application of interdisciplinary approaches to study RNA-based machines.

Recall and integrate knowledge on the structural biology of viruses.

Describe the pathobiology of diseases involving aberrant protein folding behaviour.

Display a solid foundation in potential therapeutic approaches to prion based diseases.

Solve problems in fundamental issues of protein folding.


 
Module Learning Aims:
Module Content:
Macromolecules in RNA Biogenesis (BI4241) Dr. Ursusla. Bond 3 lectures

Over the past several years research on how genes are transcribed processed and exported form the nucleus has revolutionised our understanding of the flow of information from gene to protein. The picture that is emerging is one of a seamless process from transcription initiation to mRNA export from the nucleus in which the emerging RNA interacts with a number of large macromolecular complexes that process the RNA and guide it to the nuclear pore. This series of lectures will focus on current research into the structure and function of some of these macromolecular complexes.

 
Enzymes as Nanomachines (BI4242) Dr Tim Mantle 3 Lectures

This course will focus on “looking” at enzymes as nanomachines. We will examine methods for determining rates of diffusion and also look at the time constants for various mobile elements within the nanostructure itself. This course will focus on our efforts to use computational methods in tandem with “wet biochemistry” to define the behaviour of two enzyme systems the glutathione S-transferases (GSTs) and biliverdin reductases (BVRs). We will look at factors that modulate the pK of cysteine-47 in GSTP1 and the reaction mechanism for this enzyme. For BVR we will look at how QM/MM modelling can help define the reaction pathway and how steered molecular dynamics can give some insight into desorption of ligands (with implications for docking that need to be explored further).

 
Structural Biology of Viruses (BI4243) Dr Amir Khan 3 Lectures

Infection by viruses is initiated by contact between the outer membrane of the virus and host cell membranes. These lectures will address the interplay between virus structures whose outer coat must adhere to cells while being able to evade recognition by the host and the mechanisms by which host organisms prevent viral entry. Examples of virus classes will include retroviruses and large complex dsDNA viruses.

 
Prions Alzheimer’s and Parkinson’s Diseases (BI4221) Dr Gavin Davey 4 Lectures 
This course will focus on neurodegenerative mechanisms associated with abnormal protein conformations and the latest therapeutics in development.

 
",5
BI4225,Autoimmune And Inflammatory Conditions,Jack Bloomfield;,"Learning Outcomes:
On successful completion of this module students will be able to:

Describe the cellular and molecular basis of the major immunodeficiencies


Appraise the cellular and molecular basis of the inflammatory process with a particular emphasis on the role of eicosanoids and the inflammatory basis for diseases such as psoriasis and inflammatory bowel disease


Critically evaluate the immunological and inflammatory basis of connective disorders and in particular rheumatoid arthritis


Demonstrate an understanding of the immunological basis of multiple sclerosis

Integrate and critique the available information on the nature of and underlying molecular basis for auto inflammatory conditions.
Module Learning Aims:
Module Content:
Biochemistry of the Inflammatory Process: Dr Jack Bloomfield

Lecture 1:
Definition of inflammation and inflammatory diseases. Difference between inflammation in infection and inflammatory diseases. Mechanism of the inflammatory process: respiratory burst prostaglandin and leukotriene production. Degranulation causes release of inflammatory mediators. Treatment of inflammatory diseases. Anti-­‐inflammatory drugs.
Lecture 2:
Psoriasis as a model of inflammatory skin disease. Role of neutrophil in the perpetuation of chronic inflammation. Role of leukotrienes in pathogenesis of psoriasis. Neutral proteinases in psoriasis.
Lecture 3:
Helicobacter pylori in peptic ulcer disease. Effect of H2-­‐receptor antagonists on peptic ulcers. Study of prostaglandin and leukotriene production in peptic ulcer disease. Antiinflammatory effects of H2-­‐receptor antagonists.
Lecture 4:
Role of prostaglandins and leukotrienes in inflammation. Effect of non-­‐steroidal anti-­‐ inflammatory drugs on prostaglandin and leukotriene production. Pathways of prostaglandin and leukotriene production.

Rheumatoid Arthritis:Prof Luke O'Neill

Lecture 1: What is rheumatoid arthritis?
Clinical molecular and cellular definitions. Early concepts: connective tissue structure and degradation. Rheumatoid Factor. And B cells. HLA associations and the genetic component. Autoantigens. Role of inflammation – prostaglandins and tissue degrading enzymes.
Lecture 2:
Key role of cytokines – IL-­‐1 TNF IL6. Current therapies – NSAIDs steroids biologic therapies (anti-­‐TNF anti-­‐IL-­‐1 anti-­‐IL-­‐6 anti-­‐CD20 and CTLA-­‐4 Ig). Prospect for future therapies.

Multiple Sclerosis & EAE: Prof Kingston Mills

Lecture 1: Breakdown of tolerance in autoimmunity.
Risk factors pathogenesis diagnosis and monitoring of MS
Lecture 2: MS therapies:
Mechanisms of action efficacy side effects.
Lecture 3: EAE.
Role of innate and adaptive immunity in pathogenesis of autoimmune diseases. Role of regulatory T cells in preventing autoimmune diseases.

Autoinflammatory Diseases: Dr Emma Creagh

Lecture 1: Key features of systemic autoinflammatory disorders.
Classic hereditary 'Periodic Fever Syndromes' -­‐ FMF (Familial Mediterranean Fever) TRAPS (TNF Receptor Associated Periodic Syndrome) and HIDS (Hyperimmunoglobulinemia-­‐D with periodic fever syndrome).
Lecture 2: NLRP3/Cryopyrin-­‐associated periodic syndromes (CAPS): Familial Cold Inflammatory Syndrome (FCAS); Muckle-­‐Wells Syndrome (MWS) and Neonatal onset multisystem inflammatory disease (NOMID). Autoinflammatory disorders associated with skin pustules such as DIRA (deficiency of IL-­‐1R antagonist) CARD14 mediated psoriasis (CAMPS) and early onset inflammatory bowel diseases (EO-­‐IBD).

Immunodeficiency/Clinical Immunology: Dr Derek Doherty

Lecture 1: Primary immunodeficiencies.
This lecture will cover the genetic bases clinical presentations diagnoses and treatments of primary immunodeficiencies including antibody complement MHC and lymphocyte deficiencies.
Lecture 2: Acquired immunodeficiencies.
This lecture will cover the different causes of acquired immunodeficiencies but will focus mainly on HIV-­‐associated disease including the virology immunology clinical features and recent progress in vaccine development. The significance of HIV in the developing world where many other infectious disease are also endemic will be emphasized.
Lecture 3: Autoimmune disease.
The lecture will start with an overview of autoimmune diseases emphasizing the heterogeneity of such diseases and the roles of T cells B cells and other cells of the immune system in the pathogenesis. We will then focus on the example of coeliac disease as an illustration of how multiple pathogenic hits can result in disease and how the disease can be diagnosed and treated.
Lecture 4: Antibody-­‐mediated autoimmune diseases.
This lecture will focus on autoimmune diseases whose pathologies are mainly mediated by antibodies such as systemic lupus erythematosus myasthenia gravis and autoimmune vasculitis.
",5
BI4240,Cell Cycle And Cytokine Signalling Module,,"Learning Outcomes:
On successful completion of this module students will be able to:

Explain the molecular processes that lead to growth and proliferation. 

Outline the cellular changes and regulatory mechanisms that define the stages of the cell cycle.

Describe the mechanism of cytokinesis.

Compare and contrast the meiotic and mitotic cell cycles.

Relate how the cell cycle impacts on cancer development.

Recall and integrate key knowledge and concepts about cytokine receptors and the signalling pathways they activate.

Demonstrate an understanding of the theory behind techniques used in the discovery of cytokine receptors and the signalling pathways they activate.

 
Module Learning Aims:
Module Content:
African trypansomes        Dr Derek Nolan

The aim of these lectures is to provide an introduction to African trypanosomes parasitic protozoans that cause sleeping sickness in humans and a related disease Nagana in cattle. These parasites are a major problem for human and veterinary health throughout sub Saharan Africa and serious barrier to economic development of the region. Perhaps the most striking feature of these parasites is that that they are exclusively extracellular. They grow and divide in the mammalian vasculature and consequently exposed the adaptive and innate defence responses of their mammalian hosts. In addition for a variety of reasons African trypanosomes have been come a favourite model organism for molecular and cell biologists and many discoveries of broad significance have emerged from studies on these model unicellular eukaryotes. Areas where such discoveries have been reported will be illustrated in the lectures where appropriate. The course is organized into two parts.

 
Part 1:

How are trypanosomes such as Trypanosoma brucei able to evade the host humoral immune response given that they are constantly exposed to this arm of the immune response?

How are these parasites able to interact with and acquire from their host essential macromolecular growth factors?

Lectures Part 1

Lecture 1: Introduction to trypanosomes and the VSG.

Lectures 2-4: Antigenic variation and evading the host humoral immune response

Lecture 5: Endocytosis and uptake of growth factors

 
Trypanosomes Part 2

The focus in part II is on the innate immunity that humans and other primates have to infection by certain strains of trypanosomes. In effect in this part we will consider the molecular basis of east African human sleeping sickness.

 
",5
BI4270,Bioinformatics Proteomics And Drug Design Module,Darren Fayne,"Learning Outcomes:
On successful completion of this module students will be able to:

Describe the general processes and timeframe of the formation of our solar system and of the earth’s atmosphere. 

Evaluate the strengths and weaknesses of current theories of early pre-cell and cell formation; explain the role of mineral surfaces in early pre-cell metabolism and the development of biological chiral synthesis and polymer synthesis.

Describe and debate the theory of the RNA world and the molecular origins of Darwinian evolution.

Explain and question the possible origin of cell membranes and cellular compartmentalisation and categorise the stages of the evolution of metabolism and energy transduction.

Recall and integrate key knowledge and concepts about the structure and function of microtubules and mechanism and regulation of microtubule assembly/disassembly.

Describe the different classes of microtubule accessory proteins their physiological roles and appraise their biomedical relevance.

Describe the role of actin binding and regulatory proteins in the organisation and function of actin in the cytoskeleton and in non-muscle cells.

Describe the structure function regulation and biomedical relevance of intermediate filaments.


 
Module Learning Aims:
Module Content:
Databases and Design (BI4233)   Dr Darren Fayne  4 Lectures   

Overview

During this course we will examine different procedures for computationally visualising and manipulating small drug-like molecules. This will lead into discussing their storage in various databases and the related storage of biological macromolecular information on the Internet. Once we have collected information on our target and its small molecule modulators virtual combinatorial library generation towards the design of new molecules which bind to the target protein will be discussed. Absorption distribution metabolism excretion (ADME) and toxicity (ADMET) are increasingly important factors to be considered when design new drug molecules and will be examined in the final lecture.

 
Lectures

(1) Broad overview of pharmaceutical drug discovery (from target identification to clinical trials) and a discussion regarding the importance of rational computational drug design within the overall process.

(2) The structure of small molecules. Ab initiosemi-empirical and molecular mechanics calculations. Force field parameterisation. Differences between FFs. Conformational analysis. Solvation considerations.

(3) Database storage and manipulation of molecular and biological information.

SMILES mol2 pdb Internet available biological databases.

(4) Combinatorial library generation. Combining molecular scaffolds with various substituents to create a target focussed collection of potential modulators.

(5) ADMET considerations when designing compound libraries.

 
 
Principles of structure-based drug design (BI4234) David Lloyd 6 Lectures

Ligand-based drug design

Unknown receptor structure use of activity data to generate pharmacophores ligand conformational analysis molecular overlay CoMFA bioisosteres similarity searches and ligand database pre-processing.

Structure-based drug design

Molecular recognition by receptor and ligand intermolecular interactions database preparation the bioactive conformation incorporating X-ray and NMR data docking and virtual screening issues with docking and scoring functions homology modelling de novo ligand design.

Combining SBDD and LBDD to perform rational computational drug design

Real world cases...literature examples. In-house ER research. Lipinski’s rules ADME/Tox properties (permeability selectivity issues etc) lead finding and lead optimisation.

 
 
Proteomics and Mass Spectrometry (BI4232)     Dr Amir Khan and Dr Ken Hun Mok 4 Lectures

Identification of the protein expression patterns of living cells is critical to biomedical research and diagnostics of human diseases. The lectures will address theory and practical techniques in mass spectrometry (MS) including 2D-gels coupled to MS tandem MS and recent techniques in quantification of cellular protein expression by MS. An introduction to the philosophies and methodologies under-pinning the various structural genomic initiatives will be given followed by a discussion of metabolomics/metabononomics and how they are assisting in medical diagnoses.


 
",5
