code,name,lecturer,description,ects
BCBUS1,Entrepreneurship,John Quilliam,"Learning Outcomes:
 
On successful completion of this module students should be able to:

Understand the theoretical concepts and terminology describing entrepreneurship including social entrepreneurship;

Identify and describe different forms of entrepreneurship and explain their characteristics;

Consider the enabling environment for the development of the entrepreneur including start-up and growth independently and within organisations;

Explore and understand the phenomenon of creativity and its role in entrepreneurial thinking;

Understand and apply the process of innovation towards entrepreneurial development;

Understand and be able to explain the key facets of business planning for the entrepreneur;

See the creation/generation of one’s own entrepreneurial idea and business as an exciting and viable alternative to other forms of employment.
Module Learning Aims:
Module Content:
The aim of this JF Broad Curriculum module is to allow students entering higher education to be exposed to and explore the multiple facets of entrepreneurship and to develop an understanding of the process and types of entrepreneurs whilst also allow students to explore their own entrepreneurial nature.

Through exploring the spirit of entrepreneurship in class and also through interaction with practicing entrepreneurs students will consider the phenomenon of creativity; the process of innovation (social & commercial); environmental factors enabling entrepreneurship; business planning for entrepreneurs; social entrepreneurship; managing growth and failure in an entrepreneurial setting.

 
",5
BCBUSN,Business Management In The 21St Century,John Quilliam,"Learning Outcomes:
Having successfully completed this module the student should be able to:

Explain the evolution and current status of management and the work and role of the manager.

Discuss how modern organisations have evolved and continue to evolve and parallel developments in theory

Identify different organisation types with their respective contexts structure culture & management styles and explain their characteristics strengths and weaknesses.

Understand and be able to explain the processes involved in the formulation and implementation of business strategies.

Describe and analyse the behavioural aspects of managerial leadership and the management of change.

Evaluate the ability of organisations to deliver innovative solutions on a sustainable basis in the context of their culture management style & processes and organisational structure.
Module Learning Aims:
This module aims to provide an introduction to business studies and in particular the disciplines of management - that accumulating body of thought and practice that make organisations work.
Module Content:
The module will explore how organisations have evolved and continue to evolve as primary drivers of innovation and enterprise in our complex society and examine contemporary organisational structures processes and management in the light of theory and practice. Students from all disciplines will be encouraged to engage practically and critically with contemporary business issues through classroom presentations and debate.
",5
BU1001,Bachelor In Business Studies,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",0
BU1002,Business And A Language,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",0
BU1003,Bsl Junior Sophister,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",0
BU1511,Fundamentals Of Management And Organisation,ML Rhodes,"Learning Outcomes:
Having completed this module participants should be able to:

describe the main factors that affect the evolution of organisations in the modern world;

critically evaluate key aspects of management and organizations including;

o explain what management is and the different roles that individuals undertake;

o apply a variety of analytical frameworks to study the external and internal environments of business and the formulation of strategy;

o describe the variety in organizational forms and explain the key determinants of organizational form;

o describe and assess (at a high level) the impact of business in the wider society

o describe and assess (at a high level) the impact of technology on business

undertake future study of management and business disciplines.
Module Learning Aims:
Fundamentals of Management & Organization introduces students to learning and studying by independent inquiry critical appraisal and by debate and discussion. In this model students take significant responsibility for their own learning with the academic staff acting as facilitators of learning. It is integral to the design of the module that students take this responsibility very seriously.

The module is designed as a foundation course for students intending to take business as part of their degree and as an overview course for those who do not so intend. The course assumes no prior study of organisation and management. The course is taken by students reading BESS BS&L MSISS Law & Business and Business & Computing.
Module Content:
The module introduces students to the nature and form of organisations tools and techniques for management of organisations and their role in social and individual well-being. The module is structured around seven themes: an historical perspective on organisations; the global context of business; business strategy; modes of organising; people & organisations; business in society and finally technology and business.
",10
BU1512,Fundamentals Of Management And Organisation,John Quilliam,"Learning Outcomes:
Having completed this module participants should be able to:

describe the main factors that affect the evolution of organisations in the modern world;

critically evaluate key aspects of management and organizations including;

o explain what management is and the different roles that individuals undertake;

o apply a variety of analytical frameworks to study the external and internal environments of business and the formulation of strategy;

o describe the variety in organizational forms and explain the key determinant of organizational form;

o describe and assess (at a high level) the impact of business in the wider society

o describe and assess (at a high level) the impact of technology on business

undertake future study of management and business disciplines
Module Learning Aims:
Fundamentals of Management & Organization introduces students to learning and studying by independent inquiry critical appraisal and by debate and discussion. In this model students take significant responsibility for their own learning with the academic staff acting as facilitators of learning. It is integral to the design of the module that students take this responsibility very seriously.

The module is designed as a foundation course for students intending to take business as part of their degree and as an overview course for those who do not so intend. The course assumes no prior study of organisation and management. The course is taken by students reading BESS BS&L MSISS Law & Business and Business & Computing.
Module Content:
The module introduces students to the nature and form of organisations tools and techniques for management of organisations and their role in social and individual well-being. The module is structured around seven themes: an historical perspective on organisations; the global context of business; business strategy; modes of organising; people & organisations; business in society and finally technology and business.
",10
BU1520,Economics For Management,Francis O'Toole,"Learning Outcomes:
Please refer to detailed outline on Blackboard module BU1520
Module Learning Aims:
Please refer to detailed outline on Blackboard module BU1520
Module Content:
Please refer to detailed outline on Blackboard module BU1520
",10
BU1530,Quantative Methods For Business,LecturerMs Pia,"Learning Outcomes:
Please refer to the detailed outline on Blackboard module BU1530
Module Learning Aims:
Module Content:
Please refer to the detailed outline on Blackboard module BU1530
",10
BU1540,Fundamentals Of Philosophy Ethics And Social Science,Julian Friedl,"Learning Outcomes:
Become familiar with the foundational issues and methodology of the Western philosophical canon and how they continue to be applicable today.

Learn the major western theories of ethcs and political theory and how to correctly apply them in contemporary business contexts.

Develop critical thinking reading and writing skills on contemporary business-ethical debates including more relativism social justice and ethics in marketing and technology.

Become familiar with current issues and methodology of social science particularly in economics sociology cultural anthropology and organizational science.
Module Learning Aims:
The module introduces students to a working knowledge of the key issues and methodology of Western philosophy ethics political theory and social science.
Module Content:
The first part of the module introduces students to the central issues and methodology of the Western canon and how they are applicable today especially regarding business and society.

The second part of the module introduces students to the central ethical and political theories of the Western canon as relevant to business and society.

The third part of the module introduces students to central current issues and methodologies of the social sciences as relevant to business and society.
",10
BU1550,Information Systems & Data Management,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
BU1560,Work And Well-Being In Organisations,LecturerSarah-Jane Cullinane,"Learning Outcomes:
Please refer to detailed outline on Blackboard BU1560
Module Learning Aims:
Please refer to detailed outline on Blackboard BU1560
Module Content:
Please refer to detailed outline on Blackboard BU1560
",5
BU2510,Organisational Behaviour,Michelle MacMahon,"Learning Outcomes:
Please refer to detailed outline on Blackboard module BU2510
Module Learning Aims:
Please refer to detailed outline on Blackboard module BU2510

 
Module Content:
Please refer to detailed outline on Blackboard module BU2510
",5
BU2510B,Organisational Behaviour,Michelle McMahon,"Learning Outcomes:
Please refer to detailed outline on Blackboard BU2510
Module Learning Aims:
Please refer to detailed outline on Blackboard BU2510
Module Content:
Please refer to detailed outline on Blackboard BU2510
",5
BU2520,Principles Of Marketing,Sarah Browne,"Learning Outcomes:
Please refer to detailed outline on Blackboard module BU2520
Module Learning Aims:
Please refer to detailed outline on Blackboard module BU2520

 
Module Content:
Please refer to detailed outline on Blackboard module BU2520
",5
BU2530,Introduction To Accounting,Lecture tutorialsMs,"Learning Outcomes:
See detailed outline on Blackboard module BU2530
Module Learning Aims:
See detailed outline on Blackboard module BU2530
Module Content:
See detailed outline on Blackboard module BU2530
",5
BU253B,Introduction To Accounting,– Ms.,"Learning Outcomes:
See detailed outline on Blackboard module BU2530
Module Learning Aims:
The overall goal of the module is that students obtain a sound understanding of 'money in organisations' and – more specifically – learn how to judge (a) whether organisations are performing well and are financially healthy or (b) whether there are weaknesses in their financial performance/financial structure. 

 
Module Content:
See detailed outline on Blackboard module BU2530
",5
BU2550,Introduction To Finance,Martha O'Hagan-Luff,"Learning Outcomes:
 
Please refer to Blackboard module BU2550
Module Learning Aims:
Please refer to Blackboard module BU2550
Module Content:
Please refer to Blackboard module BU2550
",5
BU2560,Introduction To Operations Management,Richard Keegan,"Learning Outcomes:
Please refer to detailed outline on Blackboard module BU2560
Module Learning Aims:
Please refer to detailed outline on Blackboard module BU2560
Module Content:
Please refer to detailed outline on Blackboard module BU2560

 
",5
BU256B,Introduction To Operations Management,Richard Keegan,"Learning Outcomes:
On successful completion of the module students should be able to:

Make effective use of the basic vocabulary of operations management

Explain what is meant by the contribution of operations management to the competitiveness of the firm

Define and explain the choices in structuring and running the operation.

Critically evaluate operations performance defined in terms of quality dependability flexibility speed and cost

Apply operations management models and frameworks to business situations

Incorporate learning from other business and relevant BESS subjects into the operations management paradigm.

 
 

 
Module Learning Aims:
This module introduces Operations Management as the act of combining people processes and technology in an organisation so as to produce goods and to deliver services now and in the future
Module Content:
Operations management relates to transformations of materials people and information for the production of goods and the delivery of services. The working of an operation has always been an enigma. On the one hand the operation is a visible part of the organisation where people or equipment can be seen to be working away and where something happens. On the other hand the operation will neither come right nor stay right of its own accord and even if challenged answers to the following questions are not obvious:

What makes it work as it does?


Could it work better in its current form?


What different forms could it take and still get the same result?


What market internal or environmental change would cause most disruption to the working of the operation and with what knock-on effects?

How can operations be understood and improved?

 
 
 
",5
BU2570,Creative Thinking Innovation And Entrepreneurial Action,– Giulio,"Learning Outcomes:
Please refer to detailed outline on Blackboard module BU2570
Module Learning Aims:
Please refer to detailed outline on Blackboard module BU2570
Module Content:
Please refer to detailed outline on Blackboard module BU2570
",5
BU257B,Creative Thinking Innovation And Entrepreneurial Action,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
BU2580,Business Ethics,LecturerJulian Friedland,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
BU2590,Personal And Career Development,Sheila Cannon,"Learning Outcomes:
Please refer to Blackboard module BU2590
Module Learning Aims:
Module Content:
Please refer to Blackboard module BU2590
",5
BU3520,Management Accounting For Business Decisions,Ranadeva Jayasekera,"Learning Outcomes:
Please refer to detailed outline on Blackboard module BU3520
Module Learning Aims:
Please refer to detailed outline on Blackboard module BU3520
Module Content:
Please refer to detailed outline on Blackboard module BU3520
",10
BU352B,Management Accounting For Business Decisions,– Ranadeva,"Learning Outcomes:
Please refer to detailed outline on Blackboard module BU3520
Module Learning Aims:
Please refer to detailed outline on Blackboard module BU3520
Module Content:
Please refer to detailed outline on Blackboard module BU3520
",5
BU352C,Management Accounting For Business Decisions,Ranadeva Jayasekera,"Learning Outcomes:
Please refer to detailed outline on Blackboard BU3520
Module Learning Aims:
Please refer to detailed outline on Blackboard BU3520
Module Content:
Please refer to detailed outline on Blackboard BU3520
",5
BU3530,Financial Accounting,-Dave O'Donoghue,"Learning Outcomes:
Please refer to Blackboard module BU3530
Module Learning Aims:
Please refer to Blackboard module BU3530
Module Content:
Please refer to Blackboard module BU3530
",10
BU353B,Financial Accounting,Dve O'Donoghue,"Learning Outcomes:
Please refer to detailed outline on Blackboard module BU3530
Module Learning Aims:
Please refer to detailed outline on Blackboard module BU3530
Module Content:
Please refer to detailed outline on Blackboard module BU3530

 
",5
BU353C,Financial Accounting,LecturerDave O'Donoghue,"Learning Outcomes:
Please refer to detailed outline on Blackboard module BU3530
Module Learning Aims:
Please refer to detailed outline on Blackboard module BU3530
Module Content:
Please refer to detailed outline on Blackboard module BU3530
",5
BU3571,Human Resource Management,LecturerJongwook Pak,"Learning Outcomes:
Please refer to detailed outline on Blackboard BU3571
Module Learning Aims:
Please refer to detailed outline on Blackboard module BU3571
Module Content:
Please refer to detailed outline on Blackboard module BU3571.
",5
BU357B,Human Resource Management,LecturerJongwook Pak,"Learning Outcomes:
Please refer to detailed outline on Blackboard BU3571
Module Learning Aims:
Please refer to detailed outline on Blackboard BU3571

 
Module Content:
Please refer to detailed outline on Blackboard BU3571
",5
BU3591,Business In Society,LecturerGemma Donnelly,"Learning Outcomes:
Please refer to detailed outline on Blackboard module BU3591
Module Learning Aims:
Please refer to detailed outline on Blackboard module BU3591
Module Content:
Please refer to detailed outline on Blackboard module BU3591
",5
BU359B,Business In Society,Gemma Donnelly,"Learning Outcomes:
Please refer to detailed outline on Blackboard module BU3591

 
Module Learning Aims:
Please refer to detailed outline on Blackboard module BU3591

 

 
Module Content:
Please refer to detailed outline on Blackboard module BU3591
",5
BU3601,Innovation Entrepreneurship And Business Modelling,LecturerConor Foley,"Learning Outcomes:
Please refer to detailed Outline on Blackboard BU3601
Module Learning Aims:
Please refer to detailed Outline on Blackboard BU3601
Module Content:
Please refer to detailed Outline on Blackboard BU3601
",5
BU3610,Personal Professional Development,Sheila Cannon,"Learning Outcomes:
Please refer to Blackboard module BU3610
Module Learning Aims:
Please refer to Blackboard module BU3610
Module Content:
Please refer to detailed outline on Blackboard module BU3610
",5
BU3615,Management Experience And Reflection,Giulio Buciuni,"Learning Outcomes:
Please refer to detailed outline on Blackboard module BU3615
Module Learning Aims:
Please refer to detailed outline on Blackboard module BU3615
Module Content:
Please refer to detailed outline on Blackboard module BU3615
",5
BU3620,Introduction To Fixed Income Securities And Alternative Investments,LecturerAleksandar Sevic,"Learning Outcomes:
Please refer to detailed outline on Blackboard BU3620
Module Learning Aims:
Please refer to detailed outline on Blackboard module BU3620
Module Content:
Please refer to detailed outline on Blackboard BU3620
",5
BU362B,Introduction To Fixed Income Securites And Alternative Investments,Aleksandar Sevic,"Learning Outcomes:
Please refer to detailed outline on Blackboard BU3620
Module Learning Aims:
Please refer to detailed outline on Blackboard BU3620
Module Content:
Please refer to detailed outline on Blackboard BU3620
",5
BU3631,Corporate Finance And Equity Valuation,Èlaine Laing,"Learning Outcomes:
Please refer to detailed outline on Blackboard module BU3631
Module Learning Aims:
Module Content:
Please refer to detailed outline on Blackboard module BU3631
",5
BU3640,Services Management,Brian Dempsey,"Learning Outcomes:
Please refer to detailed outline on Blackboard module BU3640
Module Learning Aims:
Please refer to detailed outline on Blackboard module BU3640
Module Content:
Please refer to detailed outline on Blackboard module BU3640
",5
BU364B,Services Management,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
BU3650,Digital Technology In Operations,Brian Dempsey,"Learning Outcomes:
Please refer to detailed outline on Blackboard BU3650
Module Learning Aims:
Please refer to detailed outline on Blackboard BU3650
Module Content:
Please refer to detailed outline on Blackboard BU3650
 
",5
BU3660,Organisation Theory And Organisational Analysis,Martin Fellenz,"Learning Outcomes:
Please refer to detailed outline on Blackboard BU3660
Module Learning Aims:
Please refer to detailed outline on Blackboard BU3660
Module Content:
Please refer to detailed outline on Blackboard BU3660
",5
BU3680,Investments,Martha O'Hagan,"Learning Outcomes:
Please refer to Blackboard module BU3680
Module Learning Aims:
Module Content:
Please refer to Blackboard module BU3680
",5
BU368B,Investments,Martha O'Hagan,"Learning Outcomes:
Please refer to Blackboard module BU3680
Module Learning Aims:
Module Content:
 
 
",5
BU3690,Social Entrepreneurship,Sheila Cannon,"Learning Outcomes:
Please refer to Blackboard module BU3690
Module Learning Aims:
Please refer to Blackboard module BU3690
Module Content:
Please refer to Blackboard module BU3690
",5
