code,name,lecturer,description,ects
CH1999,Freshman Safety Module,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",0
CH2S00,Chemistry 2,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",20
CH3405,Biomaterials & Macromolecules Vs,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
CH344A,Medicinal Chemistry (Vs),,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
CH4015,Advanced Inorganic Materials Chemistry,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",0
CH4016,Characterisation Techniques In Bioinorganic Chemistry,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",0
CH4023,Quantum Chemistry,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",0
CH4101,Research In Chemistry,,"Learning Outcomes:
On successful completion of this programme students will be able to:

Articulate in written and oral form a foundation level of knowledge and understanding of the biological physical and quantitative sciences underpinning Chemistry.

Apply key concepts in the major chemical sub-disciplines of Physical Inorganic and Organic Chemistry.

Design perform and analyze the results obtained from experiments in physical inorganic and organic chemistry using modern chemical experimental methodology and instrumentation.

Demonstrate skills in problem solving critical thinking and analytical reasoning and are able to effectively communicate the results of their work to chemists and nonchemists both verbally and in writing.

Use modern library searching and retrieval methods to obtain information pertinent to the identification and solution of chemical problems and the exploration of new research areas.

Work effectively and safely in a laboratory environment operating within the proper procedures and regulations for safe handling and use of chemicals.

Update their knowledge and to undertake further study with a high degree of autonomy.


 
Module Learning Aims:
 

 On successful completion of this module students will be able to:

Pursue with a degree of independence an original research project in one area of chemistry including the design and implementation of the research.

Analyse and interpret experimental data

Critically evaluate research literature

Communicate the results of a research project effectively with the scientific community through written and oral presentations.
Module Content:
In the final year the practical class consists of a full time research project during the Michaelmas Term working with one of the research groups in the School of Chemistry and under the direct supervision of a member of staff of the school or at an acedemic or industrial laboratory in Ireland or abroad.
",20
CH4102,Advanced Organic Chemistry I,M Senge,"Learning Outcomes:
On successful completion of this programme students will be able to:

Articulate in written and oral form a foundation level of knowledge and understanding of the biological physical and quantitative sciences underpinning Chemistry.

Apply key concepts in the major chemical sub-disciplines of Physical Inorganic and Organic Chemistry.

Design perform and analyze the results obtained from experiments in physical inorganic and organic chemistry using modern chemical experimental methodology and instrumentation.

Demonstrate skills in problem solving critical thinking and analytical reasoning and are able to effectively communicate the results of their work to chemists and nonchemists both verbally and in writing.

Use modern library searching and retrieval methods to obtain information pertinent to the identification and solution of chemical problems and the exploration of new research areas.

Work effectively and safely in a laboratory environment operating within the proper procedures and regulations for safe handling and use of chemicals.

Update their knowledge and to undertake further study with a high degree of autonomy.


 
Module Learning Aims:
On completion of this module students should be able to: 
CH4001
 • Devise organometallic syntheses for advanced target molecules
• Describe the reaction mechanisms for current C-C bond formation methodologies
• Know about current Pd Cu Ni Co Cr W Ru Rh Fe catalyzed organic reactions
• Know about current Pd Cu Ni Co Cr W Ru Rh Fe catalyzed organic reactions
• Rationalize the choice of catalyst for specific functional group transformations
• Analyze organometallic cycloaddition reactions in terms of the theory of pericyclic reactions
• Describe aspects of the use of organometallic reagents in the laboratory. 
CH4033
• Identify the approaches that are required for the synthesis of complex heterocyclic molecules
• Apply effective retrosynthetic analysis and determine the most appropriate strategic bond disconnections
• Recognise and explain the limitations of various reagents when they are applied on an industrial
• Recongnise the requirement for production of chiral drug molecules as single enantiomers where necessary
• Outline the contribution made to the Irish economy by the synthesis of some of the drugs discussed.
Module Content:
These modules involves core lectures in comptemporary organic synthetic methods and heterocyclics and drugs.

CH4001

Principles and historical development of synthetic methods.
 
Fischer Perkin Woodward Corey and modern approaches towards synthesis.
 
Retrosynthetic analysis: disconnections synthons retrons latent polarities.
 
Linear versus convergent syntheses.
 
Protecting group strategies.
 
Chemo- regio- stereo- and enantioselective methods.
 
Synthesis of heterocycles.
 
Examples from the literature: e.g. terpinol cage compounds steroids longifolen vitamins drugs artesiminin brevetoxin or others 
 
 
 
CH4033
 
Detailed chemistry of selected classes of heterocyclic drugs including the quinolone antibiotics histamine H2 antagonists etc.
 

 
",5
CH4103,Advanced Organic Chemistry Ii,S. Connon,"Learning Outcomes:
On successful completion of this programme students will be able to:

Articulate in written and oral form a foundation level of knowledge and understanding of the biological physical and quantitative sciences underpinning Chemistry.

Apply key concepts in the major chemical sub-disciplines of Physical Inorganic and Organic Chemistry.

Design perform and analyze the results obtained from experiments in physical inorganic and organic chemistry using modern chemical experimental methodology and instrumentation.

Demonstrate skills in problem solving critical thinking and analytical reasoning and are able to effectively communicate the results of their work to chemists and nonchemists both verbally and in writing.

Use modern library searching and retrieval methods to obtain information pertinent to the identification and solution of chemical problems and the exploration of new research areas.

Work effectively and safely in a laboratory environment operating within the proper procedures and regulations for safe handling and use of chemicals.

Update their knowledge and to undertake further study with a high degree of autonomy.


 
Module Learning Aims:
On succesful completion of this module students should be able to:

 
CH4002


Identify specify classify and explain cyclisation reactions in a way which allows the prediction of whether they are either ‘favoured’ or ‘disfavoured’ according to Baldwins rules and recognise and explain exceptions to these rules


Assign a molecular rearrangement reaction to a particular class and understand/predict/explain its reaction mechanism


Predict and explain the likely outcome from a given rearrangement reaction from a chemoselectivity and stereoselectivity (where appropriate) standpoint


Select conditions and starting materials from which a given product can be synthesised via a rearrangement reaction or predict the conditions given the starting material and product or the starting material given the product and the conditions


Design plausible syntheses involving rearrangement reactions


Classify non-benzenoid aromatic systems explain why they are aromatic and give their syntheses from simple precursors


Demonstrate and explain radical formation and stabilization the reactivity of radicals and how these are related to structure


Illustrate and explain the use of radicals in modern organic synthesis including mechanisms for radical chain reactions and how radicals can be generated using mild initiation methods


Illustrate and explain the use of protecting groups for hydroxyl groups (alcohols) aldehydes and ketones in organic synthesis. 


 
Module Content:
The following topics will be covered in this lecture course:

Radical Chemistry: Generations of radicals physical properties of radicals their stability and structure simple radical reactions on hydrocarbons the radical chain reactions persistent radicals ways of generating radicals using photolysis thermolysis and redox reactions exploring the mechanism for various named radical reactions which will be followed by in-depth discussion of large numbers of reactions which will involve: coupling addition substitution reduction fragmentation and rearrangement reactions. 

Protection Chemistry: Introduction to the concept of protection chemistry most of the lectures will focus on the strategy and the methods used for the protection and deprotection of amines and carbocyclic acid s alcohols (and diols) and carbonyl functional groups.

 
",5
CH4109,General Chemistry,,"Learning Outcomes:
Module Learning Aims:
On successful completion of this module students should be able to:

Apply their knowledge to solving problems in the area of general physical chemistry

Apply their knowledge to solving problems in the area of general inorganic chemistry

Apply their knowledge to solving problems in the area of general organic chemistry.

 
Module Content:
This is self directed reading module which conentrates on a review and the attainment of a mature understanding of the fundamental chemical topics introduced over the entire period of the Moderatorship programme.
",5
CH4401,Advanced Medicinal Chemistry I,J.M. Southern,"Learning Outcomes:
Module Learning Aims:
On successful completion of this module students should be able to:
• Describe the signal transmission between neurons in the nervous system
• Describe and explain the structure of the different targets for drugs acting in the nervous systems 
• Identify natural ligands and known drugs that act on the different CNS targets (receptors/transporters/enzymes)
• Describe and explain ways to interfere with the functioning of CNS targets (receptors/transporters/enzymes) to treat a neurological condition.
Module Content:
* Cellular foundations of neuropharmacology: Cytology of the nerve cell Bioelectric properties of the nerve cell The steps of synaptic transmission Aspects of the metabolism in the central nervous system
* Neurotransmitter Postsynaptic Receptors: Classification & Definition
* Modulation of synaptic transmission: Definitions Second messengers
* Neurotransmitters and their receptors: Aminoacids
Glutamic acid –Glutamate: Synthesis & Metabolism Glutamate receptors NMDA receptor
Glycine:Glycine receptors
GABA: Distribution & Metabolism GABA receptors: GABAA GABAB & GABAC Drugs acting on GABA receptors: Benzodiazepines Barbiturates & Spasmolytics.
*Neurotransmitters and their receptors: Acetylcholine (Synthesis -Choline acetyltransferase- & Storage Choline transportm Metabolism & Inactivation (Acetylcholinesterase) The cholinergic synapse Cholinergic receptors -Nicotinic Receptors & Muscarinic Receptors ACh drugs ACh in disease states: Parkinson’s and Alzheimer’s diseases
* Neurotransmitters and their receptors: Serotonin (Synthesis & Metabolism Serotonin Transporter: A Representative Reuptake Pump Location and Structure of the Serotonin Transporter Mechanism of Action of the Serotonin Transporter Transporter Inhibition: Selective Serotonin Reuptake Inhibitors Serotonin receptors Serotonin and Depression
*Neurotransmitters and their receptors: Noradrenaline and Adrenaline (Generalities: Catecholamines Synthesis and Metabolism of Catecholamines Adrenergic neurons Metabolic actions of Catecholamines Noradrenaline transporter: Desipramine Adrenoceptors -Classification
beta-Adrenoceptors: Subtypes Location and Function Agonists and Antagonists Transduction Mechanisms Clinical Uses beta-blocking drugs
Alpha1-Adrenoceptors: Subtypes Location and Function Agonists and Antagonists
Transduction Mechanisms Clinical Uses alpha1-blocking drugs: Benign Prostatic Hyperplasia
alpha2-Adrenoceptors: Subtypes Location and Function Agonists and Antagonists
Transduction Mechanisms Clinical Uses alpha2- drugs: Analgesics and Antidepressives
Imidazoline Binding Sites
* Neurotransmitters and their receptors: Dopamine (Synthesis and Metabolism Dopaminergic neuron Dopamine transporter & inhibitors Dopamine receptors Dopamine and Parkinson’s disease Dopamine and schizophrenia
* Neurotransmitters and their receptors: Neuroactive peptides (Generalities & differences with small neurotransmitters Coexistence with Neurotransmitters Classification Opioid peptides and their receptors: agonists and antagonists Vasopresin and Oxytocin and their receptors Tachykinins: Substance P and Neurokinins Cholecystokinin
",5
CH4402,Advanced Medicinal Chemistry Ii,I. Rozas,"Learning Outcomes:
Module Learning Aims:
On successful completion of this module students should be able to:
CH4052:
• Explain computational methods that will help in the design of new drugs
• Compare the different computational methods used in drug design and choose and explain which is the appropriate method for a given problem
 • Assess the problems associated with computational drug design. 
CH4056:
• Explain the separation processes involved in different analytical methods 
• Select the most appropriate analytical method for the separation of potential drugs.
Module Content:
Computational tools in medicinal chemistry : data bases (Small molecules-cambridge vs. Big molecules-brookhaven) mechanoquantic methods (Semiempirical -application/examples Ab initio and DFT- application/examples); computational methods based on clasic mechanics (Molecular mechanics -application/examples Molecular dynamics -applications/examples)
-examples done by students
Different approaches to drug design:
*selection of the biological target (receptor) selection and/or optimization of a leader compound (ligand)
*receptor structure is known: 3d structure known (docking) 1ry structure known (protein homology)
*receptor structure is unknown: Pharmacophore determination superimposing structures (fitting) ""de novo"" design  2d-qsar: linear correlations: different parameters 3d-qsar.
Additional problems in drug design:
*different conformations: conformational analysis methods: Systematic search Random search -> Montecarlo
High temperature molecular dynamics Annealing
*the environment: solvation models: Continuous Discrete (solvent & membrane) Mixed (QM/MM)
 
 
 
 
 
 
 
 
 
",5
CH4403,Advanced Medicinal Chemistry Iii,I. Rozas,"Learning Outcomes:
Module Learning Aims:
On successful completion of this module students should be able to: 
CH4053:
• Explain the issues and difficulties associated with an active compound’s journey around the body and understand why many compounds that are highly active in vitro fail as drug candidates
• Describe the prodrug approach and explain how this can alleviate some of the issues described above
• Discuss with examples the particular properties that can be improved by the prodrug approach
• Describe how site specific drugs can be developed by exploiting aspects such as viral infection genetic interchange over expression of particular proteins
CH4055:
• Explain the historical development of combinatorial chemistry
• Critically analyze the potential and limitations of combinatorial syntheses
• Devise solid phase syntheses for organic compounds
• Discuss practical industrial and economic aspects of HCA and combinatorial libraries
• Design dynamic combinatorial libraries.
 
Module Content:
CH4053
Introduction – why a good in vitro profile is no indication of in vivo activity
Description and appreciation of Ehrlich’s “magic bullet” insight
The general methods of delivery are described (oral implant topical i.v. etc) and the merits of each approach considered. After illustrating that oral delivery is the preferred method of delivery a drug’s journey is then considered in more detail.
The numerous issues effecting a drug or other chemical’s journey from bottle to site of action are discussed including the acidity of the stomach the phsysiochemical properties required for example sufficient solubility in both aqueous and lipid (cell membrane) based media (log P and log D). The drug must be water soluble enough for transport via the bloodstream but lipophilic enough to diffuse through the cell wall lipid bilayer.
Other issues such as pKa dissolution rate and site of absorption are discussed culminating in Lipinski’s rule of 5.

Alternative methods of cell entry (aqueous pore active transports endocytosis)
Brief discussion of P450 system in terms of metabolism and the effects of other agents in combination (ADME(T)/DMPK)

Overcoming problems using prodrugs

More specific look at options if a poor in vivo profile is observed and how to overcome the variety of problems e.g. low lipophilicity – prodrugs (defined) offer the simplest solution. Examination of the pitfalls and the factors that can be influenced (solubility tissue penetration presystemic metabolism site specificity rate of onset/duration of action toxicity (positive and negative) poor patient compliance formulation problems).

Different classes of prodrugs (bi/tripartite and mutual (carrier linked) and bioprecurors.

Carrier linked

Esters of acids or alcohols and associated electronic and steric effects on release in vivo. Sulfonates phosphonates and amides described.

Numerous examples of bi/tripartite and mutual ester and amide prodrugs affecting the various different factors of influence are provided. Examples applicable to topical absorption are also included

Methenamine described.

Bioprecursors

The story of the development of the discovery of prontisil and bioprecursor prodrugs by Domagk. Definition and numerous examples of oxidative and reductive activation including mechanisms of activation.

In depth analysis of the mode of action of acyclovir and how it exploits virus encoded kinases to ensure selective activation solely in infected cells. 

Macromolecular prodrugs

In which the drug is attached to a polymer. Physiochemical properties dominated by that of the polymer. Uptake in the GI tract is poor and intravascular delivery is generally required size issues - capillaries (especially in the lungs) can become clogged). Loading is variable. Diffusion across membranes is poor but endocytosis mechanisms can be effective. Coverage of issues such as biodegradability addition of solubilising side-chains and linkers to aid release. Examples of natural hormones contraceptives methotraxate and doxorubicin (PK1) on polymers.

The blood brain barrier

Examination of the extra issues involved for drugs to cross the blood-brain-barrier and how dihydropyridine prodrugs can achieve this. Description of the mode of action of nerve agents (via deactivation of acetylcholinesterase) and the associated effects. Mode of action of antidotes for the peripheral nevous system and prodrug antidotes for the CNS. A penicillin based prodrug to cross the BBB to treat bacterial meningitis. Discussion of L-Dopa’s ability to cross the BBB mode of activation mode of action and problems with peripheral activation (preventing the active agent dopamine entering the brain). Use of carbidopa and benzerazide (dopa decarboxylase inhibitors that don’t cross the BBB) to allow low dosing and effective use of L-Dopa. Use of a MAOI prodrug activated by dopa decarboxylase (in combination carbidopa to prevent peripheral activation) that is released within the brain preventing the incompatibilities of MAOIs within the periphery.

Liposomes as delivery devices

General theories loading strategies types of vesicles phospholipids used targeting issues (concentration in the liver) transport in macrophages stealth liposomes targeted liposomes.

Case Studies

Case study – Prodrugs of Taxol study of the attempts to improve the bioavailability of Taxol by increasing its water solubility.

New Targets/Technologies

Case Study – Glivec a CML treatment. A brief discussion of the genetic events leading to the formation of the Philidelphia Chromosome (and other mutants) responsible for the expression of rogue kinases. Development of Glivec from a PKC inhibitor with activity against BCR-ACL. Brief mention of Irresa and Tarceva targeting EGFR and active against prostate pancreatic colorectal renal-cell and oesophageal

Case Study – Herceptin a treatment for breast cancers in which HER2 is overexpressed. Overview of human epithelial growth factor receptor 2 and the requirements for activity of herceptin. Definitions and background (including chemical uses as catalysts) of monoclonal antibodies including interaction and the use of HER2 as the antigen. Description of the production and isolation of antibodies and the subsequent humanisation by gene conversion mutagenesis modelling and nucleic acid exchange to humanise the coding for the recognition region.

mAbs alone can induce an immune response block highly expressed and activated receptors for growth factors or inhibit angiogenesis. They can also be used for targeting radionucleides cytotoxic drugs and toxins. Best example of FDA approved treatment is Mylotarg (gemtuzumab) a humanised CD33 mAb linked to calicheamicin.
Finally mention of Antibody directed enzyme prodrug therapy
CH4055

Historical overview; biological combinatorial techniques; combinatorial strategiy. Drug development process; time frames costs approach and strategies; lead discovery and optimisation. Medicinal chemistry and drug development. Solid phase techniques split and mix techniques instrumentation. Immobilized reagents; solid phase natural product synthesis. Resins; supports; crosslinking agents; spacers. Synthetic examples; Ugi reactions. Screening
",5
