code,name,lecturer,description,ects
CS1003,Mathematics,Hugh Gibbons,"Learning Outcomes:
When students have successfully completed this module they should be able to:

·     Produce coherent, convincing mathematical arguments that are precise in terms of both technical description and computation

·     Assimilate complex mathematical ideas and arguments.

·     Derive, formulate and apply solutions for linear systems

·     Recognise and employ the main ideas and techniques of basic calculus

·     Create mathematical proofs using formal symbol manipulation

·     Articulate the logic behind formal proofs

             Construct rigorous proofs in discrete mathematics and logic
Module Learning Aims:
The module aims to provide students with an introduction to the mathematics, both continuous and discrete, which lies at the foundation of many real-world applications in Computer Science, Engineering and the Social Sciences.

Mathematics is of interest to computer scientists due to the fact that it is both practical and theoretical in nature. Not only does it have a myriad of applications (e.g. in wireless communications and computer graphics), it is also of intrinsic interest to theoretical computer scientists. The mathematical techniques learned as part of this module have wider applications in areas as diverse as Business (e.g. for modelling volatility and risk), Economics and Engineering (e.g. for structural monitoring).

This module aims to develop the students’ skills and abilities in the mathematical methods necessary for solving practical problems. In the first semester students will encounter some of the key mathematical structures at the heart of computer science including the representation of data using matrices. They will gain a greater appreciation of the relationships between calculus and the graphs of functions, including the representation of functions using Taylor Series. During Semester 2 students will be introduced to discrete mathematics and mathematical logic along with their applications to computer science. In particular, the module will introduce set operations, discrete maths functions in Number Theory and Logic calculation. This part of the module is influenced by the approaches of Backhouse, Dijkstra and Gries.

One of the key objectives for this module is to introduce students to the learning styles needed for university level mathematics. Students will be encouraged to develop the independent, reflective learning skills needed for success at University level. It is expected that students will adapt their learning style to become more independent, self-motivated learners.
Module Content:
Specific topics addressed in this module include:

·     Linear algebra

·     Calculus and its applications

·     Set Theory

·     Logic

        ·   Number Theory 
",10
CS1010,Introduction To Programming,Kenneth Dawson-Howe,"Learning Outcomes:
When students have successfully completed this module they should be able to:

1.    Solve introductory programming problems in Java.

2.    Break problems into sub-problems, which can then be solved using simple algorithms.

3.    Design algorithms using sequence, selection, and iteration.

4.    Build object-based (i.e., not using inheritance) programs using class-based decomposition.

5.    Use an Interactive Development Environment (IDE) to write, compile, test, and debug a computer program.

6.    Recognise the software engineering concerns that give rise to the use of classes and other abstraction mechanisms.

 
Module Learning Aims:
This module provides an introductory course in computer programming. This course takes a practical approach to teaching the fundamental concepts of computer programming with a strong emphasis on tutorial and laboratory work and is an important vehicle for developing students’ analytical and problem-solving skills.

This module aims to give students an understanding of how computers can be employed to solve real-world problems. Specifically, this course introduces students to the object-oriented approach to program design and teaches them how to write programs in an object-oriented language (in this case Java). 

Students also have the opportunity to reinforce their problem solving and programming skills by developing solutions to programming problems and implementing those solutions as object-based programs.

 
Module Content:
Specific topics addressed in this module include:

·    Types and variables including integer and floating-point types.

·    Assignment and expressions. 

·    Boolean expressions.

·    Selection in Java: if, if-else, nested if and switch-case statements.

·    Iteration in Java: while, do-while and for statements.

·    Design of simple algorithms using sequence, selection, and iteration.

·    Introduction to classes and objects including attributes and methods.

·    Abstraction and encapsulation.

·    Recursive methods.

·    Characters and strings.

Arrays including 2-dimensional arrays.
",10
CS1013,Programming Project I,Gavin Doherty,"Learning Outcomes:
When students have successfully completed this module they should be able to: Write programs which produce graphical output. Write programs which respond to user input from mouse and keyboard. Write programs which are structured in a way which makes them easier to develop and maintain. Write programs collaboratively as part of a larger team.
Module Learning Aims:
CS1013 is a course which concentrates on development of practical programming ability through example-based lecturing coupled with intensive laboratory sessions. The emphasis throughout is on producing working programs, starting with interactive graphical applications and moving on to construction of a larger group project involving a data visualisation task
Module Content:
Specific topics addressed in this module include: Drawing basic shapes / program co-ordinates
Displaying fonts in applications. Mouse-based visual application control Collision Detection. Code-conventions, getters/setters Using images in application development. Arrays of objects. Moving and over-lapping visualisations Widget/button based program control. Text-collection and usage in applications. Group based project ethos. Project planning / implementation Writing good quality code
",5
CS1021,Introduction To Computing I,Rebekah Clarke,"Learning Outcomes:
When students have successfully completed this module they should be able to:

describe the basic characteristics, structure and operation of a computer system;

represent and interpret basic information (integers, text) in binary form;

translate between simple high-level programming language constructs and their

assembly language equivalents;

design, construct, document and test small-scale assembly language programs to

solve simple problems;

reason about the cost of executing instructions and the efficiency of simple programs;

Make use of appropriate documentation and reference material.

 
Module Learning Aims:
This module provides students with an introduction to the basic structure and operation of a computer system, focussing on the processor (CPU), memory and the execution of software.

Students gain an insight into the execution of programs on a computer system by designing, implementing and executing simple assembly language programs. Students are also introduced to concepts that are fundamental to the study of Computer Science, including the binary numeral system and the representation of basic information such as signed integers and strings (text).

Students are encouraged to consider the relationship between high-level programming language constructs – from simple assignments and arithmetic expressions to conditional (if) and iterative (while) execution – and the realisation of these constructs as sequences of machine instructions.

Students are also given opportunities to develop their problem solving, programming and written communication skills by designing solutions to programming problems, implementing those solutions, first in the form of high-level pseudo-code programs and then as assembly language programs, which must be documented and tested.

 
Module Content:
Specific topics addressed in this module include:

 

number systems, memory and data representation;

basic computer architecture (CPU, memory, registers, fetch-decode-execute loop);

assembly language and machine code;

binary arithmetic and bit-wise operations;

program flow control using branch instructions;

memory accesses (using load and store instructions).


 
",5
CS1022,Introduction To Computing Ii,Jonathan Dukes,"Learning Outcomes:
This module continues directly from CS1021 (which is a prerequisite) and examines the structure and behaviour of computer systems in greater depth. In particular, this module introduces students to the implementation of simple data structures (stacks, multi-dimensional arrays, composite data types), subroutines, exceptions, interrupts and basic I/O at the machine level.

The relationship between high-level programming language constructs and their realisation as executed instructions is explored further by developing pseudo-code solutions to programming problems in the first instance, before translating those solutions into assembly language programs. Particular attention is paid to the implementation of subroutines, the system stack and parameter passing conventions.

Students are given opportunities throughout the module to reinforce their problem solving, programming and written communication skills by designing, implementing, documenting and testing solutions to programming problems of increasing complexity. Problem decomposition is strongly encouraged.

 
Module Learning Aims:
When students have successfully completed this module they should be able to:

·     Describe the characteristics, structure and operation of a computer system, including the execution of subroutines and the interface between the processor and external devices;

·     Translate between high-level programming language constructs, including fundamental data structures and subroutines, and their assembly language equivalents;

·     Design, construct, document and test assembly language programs to solve small-scale problems of moderate complexity by decomposing the problems into smaller parts and implementing solutions consisting of one or more assembly language subroutines;

·     Construct assembly language programs that can interact with simple external devices.

 
Module Content:
Specific topics addressed in this module include:

 
·     Stacks;

·     Subroutines;

·     Parameter passing conventions;

·     Single- and multi-dimensional arrays;

·     Floating-point number representation;

·     Exceptions and interrupts;

Basic I/O using memory-mapped peripherals.

 
",5
CS1025,Electrotechnology,Eamonn O'Nuallain,"Learning Outcomes:
When students have successfully completed this course they should be able to:

 
(i)   State and apply the fundamental operating principles of electronic circuitry and electromagnetism.

(ii)  Describe the characteristics and analyse the behavior of basic circuit elements (resistors, capacitors, inductors, semiconductor diodes. transistors and AD and DC supplies).

(iii)  Construct and analyze basic analog and digital circuits. 

 
Module Learning Aims:
The Electrotechnology course is intended as an introductory course. The course examines the structure of matter from an electrical perspective dealing with conductors, dielectrics and semiconductors. Concepts of electrical charge, Electric and Magnetic fields are also examined. With this material concepts of voltage, current, impedance in electrical circuits are explored. Circuit elements such as the resistor, capacitor, inductor, the semiconductor diode and transistors are examined as well as ideal and practical ac and dc supplies. Methods of analyzing electrical circuits consisting of the above components are examined. In the lab sessions students are expected to build electronic circuits and explain their operation.
Module Content:
(i)       The basic structure of matter. Conductors, insulators and Semiconductors.

(ii)      Electric and Magnetic fields. Coulomb’s Law, The Lorentz Force law, Faraday’s law.

(iii)      Semiconductor doping, the semiconductor diode, transistors.

(iv)      Voltage and current. The resistor, capacitor and the inductor.
            (v)      Series and parallel resistors, the potential divider. Electric Power. Basic circuit analysis.

 
",5
CS1026,Digital Logic Design,John Waldron,"Learning Outcomes:
When students have successfully completed this module they should be able to:

 
● State and apply the laws and standard methods of Boolean algebra to the manipulation of logic functions

● Analyze and design combinatorial logic functions.

● Implement digital logic designs in hardware.

● Conduct and describe experiments to verify the correct behaviour of a digital logic circuit and, where necessary, locate and correct faults

● Synchronous / Asynchronous logic

● Flip Flops and Storage Elements

● Algorithmic State Machines

● Introduction Advanced Digital Logic topics
Module Learning Aims:
The lectures do not assume any prior knowledge of the subject, and build gradually in difficulty towards the end of the course. Starting with the theoretical foundations of logic, the students learn about combinatorial logic and synchronous logic, and how it can be used to construct logic functions that are useful in computing systems. The focus is on laying the groundwork for the hardware courses in the second year. Care is taken that the students realize the subject applies to both computer software and hardware. Laboratory experiments reinforce the concepts as well as adding variety and introducing practical elements.
Module Content:
Shannon’s switching algebra, Boolean functions, other logic operators, simplification of Boolean functions, Karnaugh maps, combinatorial rule, exceptions to rule, don't care outputs & inputs, arithmetic logic, MUXes/deMUXes, decoders, programmable logic, ROMS, PALs, PLAs.

 
Edge triggering, master/slave and edge-triggered flip-flops, characteristic equations, synchronous sequential logic, finite state machines, machine classes, state tables & diagrams, FSM design, state equivalence, minimization, state equations, algorithmic state machines, ASM design, control paths, data paths, counters and sequencers, ASM design examples
",10
CS1031,Telecommunications I,Marco Ruffini,"Learning Outcomes:
Describe the relevance of information in our society

Explain how information is measuered in telecommunicaiotns

Illustrate properties of analogue and digital signals, and translate between time and frequency domain.

Explain why and how analogue and digital signals are modulated, illustrate the characteristics of modulated signals.

Explain why and how are signal multiplexed both in time and frequency, the difference between these two multiplexing schemes, and their main characteristics.

Design a transmission system, and calculate its performance.

Illustrate the main characteristics of modern telecommunications networks.


 
Module Learning Aims:
The Telecommunications course is intended as an introductory course. It begins with an overview of the concept of information and its significance in todays society. The aim of the course is to then shows how such information is transmitted over links and networks. The course gives particular focus on the understanding of time domain, frequency domain and bandwidth of signals. It introduces some basic operations, such as modulation and multiplexing, and will introduce some general concept of data transmission and transmission media. Course work will consists on laboratories that will put in practice most of the theory explained during the lectures.
Module Content:
Introduction to modern telecommunications

Protocol stacks, OSI, TCP/IP layers

Definition of signal, periodic and aperiodic signals

Time domain and frequency domain concepts

 Fourier Series analysis and decomposition

Analog and digital modulation

Multiplexing

Signal propagation

Concepts of information theory


 
",5
CS1081,Computers And Society,Brendan Tangney,"Learning Outcomes:
When students have successfully completed this module they should be able to:

demonstrate a deeper awareness of the ways in which information technology and society interact and influence each other

communicate effectively in written form and in presentations

critique their own involvement in a project team


 
Module Learning Aims:
When students have successfully completed this module they should be able to:

demonstrate a deeper awareness of the ways in which information technology and society interact and influence each other

communicate effectively in written form and in presentations

critique their own involvement in a project team


 
Module Content:
IT and its “impact” on society; models for assessing technological “impact”; history of IT; ethics; writing, presenting and argumentation; other topics.
",5
CS1E03,1E3 Computer Engineering I,Lucy Hederman,"Learning Outcomes:
Upon completion of this module, students will be able to:

Analyse simple programming problems;

Specify and design an algorithm to solve simple programming problems;

Write C++ programmes to solve simple programming problems;

Compile, run, test and debug C++ programmes;

Select and use correctly appropriate control structures for specific programming sub-problems;

Recognise the value of procedural abstraction and be able to use procedures to simplify programme design, hide detail and allow reuse of code;

Use arrays where appropriate in the design and implementation of a programme;

Predict the behaviour of a given C++ program that uses the concepts and constructs covered by the course

 
Module Learning Aims:
This module aims to equip students with the skills to design and develop simple imperative programs. It provides a solid grounding in algorithm design and programming techniques, in preparation for later courses that require programming.

 
Module Content:
Introduction to computers and computing;

Programming, compiling and running programmes;

Basic C++ programmes; expressions, variables and data types, assignment;

Selection and the IF-ELSE statement;

Iteration, WHILE loops and FOR loops;

Programme design process, algorithms and pseudocode;

Advanced control flow: nested loops, nested IFs, the switch statement;

Procedural abstraction, functions in C/li>
File input/output;

Testing and debugging strategies;
Arrays and array algorithms.

 
",5
