code,name,lecturer,description,ects
BCLY01,"Ethical Issues Today- Alimentary Theology: Eating, Drinking And Ethics'",,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
BCRE06,Approaches To The Study Of Religion,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
BCRE07,Eras And Classical Authors In The History Of Christian Thinking,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
BCRE08,Religion In Public: Great Speeches,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
BCRE09,"A Survey Of Islamic Theology, Philosophy, And Mysticism (Sufism) From Its Origin",,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
BCRE10,Philosophical And Theological Approaches To God,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
BCRE11,Christianity And Society,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
BCRE12,Classical Thinkers On Religion,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
BCRE14,Introduction To The New Testament,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
BCRE15,Pauline Letters In Context,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
BCRE16,Key Themes In Theology,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
BCRE17,Religion In Public: Great Images,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
BCRE18,'Religious' Or 'Secular'? Christian Ethics In Pluralist Democracies,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
BCRE19,Theological Cosmology And Anthropology,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
BCRE20,"Classical Islamic Religious Thought In Dialogue With Philosophical, Jewish And Christian Sources",,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
BCRE21,Contemporary Ethical Issues,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
BCRE22,World Christianities: Africa And Asia,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
BCRE23,Christology: Jesus In The First Century At Turning Points Of Christian Thinking,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
BCRE24,"Hermeneutics: The Bible, Classical Texts, Modern Disputes, The Environment",,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
BCRE25,Approaches To Theological Ethics,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
BCRE26,Great Controversies In The Histories Of Monotheism,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
BCRE27,Institutions Of Education And Science In Islam,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
BCRE28,The Historical Jesus And The Gospels,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
BCRE29,The End Of The World: The Johannine Writings,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
BCRE30,Ethics In Sport And Media Ethics,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
BCRE31,"Comparative Religious Ethics In Christianity, Islam And Buddhism",,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
BCRE32,Introduction To World Religions,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
BCRE34,"Current Expressions And Movements In Christianity, Hinduism And Islam",,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
BCRE35,Paul And The Development Of Early Christianity,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
BCRE36,Christianity In The Cultures Of Late Antiquity,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
BCTHEO,The Book Of Kells: A Theological Reading,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
EM7000,Dissertation,,"Learning Outcomes:
 

Plan, organise and undertake personal research in consultation with a supervisor

Identify and analyse primary source material and/or primary field data as well as appropriate secondary literature

Present a sustained analytic argument based on evidence, reading and reason and finished to an appropriate standard of academic presentation

Write a clear and coherent piece of academic work that conveys effectively its research focus and research outcomes.


 
Module Learning Aims:
Students are trained in research methods and equipped to conduct multidisciplinary research in their specialised area. We expect our students’ research to contribute to one of our four thematic research strands: inter-religious ethics and globalisation; religious worlds and the politics of difference; peacebuilding and reconciliation; and Northern Ireland. This work relates clearly to two of TCD’s research themes, Globalisation and Ireland: Texts and Contexts. More details about our current research students’ projects are available on at www.tcd.ie/ise.

 

 
Module Content:
",30
EM7101,Translating God(S); Intercultural Theology And Interreligious Studies,Course Co-ordinatorAndrew,"Learning Outcomes:
 
On successful completion of this module students will be able to:

Explain how ecumenism functions as a source for Intercultural Theology vis-à-vis the divergent cultures of faith and cultural as well as conceptual religious boundaries between Eastern and Western Europe

Analyze the impact of interreligious encounters and tensions on European theology and religion, in particular the challenges between Islam and Christianity as well as Asian religions and Christianity;

Critically evaluate the phenomena of fluid religions vis-à-vis traditions’ search for integrity and authenticity, with special attention to the Eastern Orthodox traditions

Assess the impact of the above areas for naming and thinking God in Europe today.

 

 
Module Learning Aims:
The module offers students a comprehensive introduction to the fields of Intercultural Theology and Interreligious Studies in Europe. Taking its departure from Europe’s increasing crosscultural and interreligious identity, students will explore the ecumenical, crosscultural and interreligious challenge in Europe for theology and religion today.

The exploration of these areas will prepare students for the new academic disciplines of intercultural theology, comparative theology, and the various fields of interreligious studies. The module will be carried out as a European Intensive Programme???

 

 
Module Content:
The module offers students a comprehensive introduction to the fields of Intercultural Theology and Interreligious Studies in Europe. Taking its departure from Europe’s increasing crosscultural and interreligious identity, students will explore the ecumenical, crosscultural and interreligious challenge in Europe for theology and religion today, including the following areas:


Ecumenism as a source for Intercultural Theology vis-à-vis the divergent cultures of faith, and cultural as well as conceptual religious boundaries between Eastern and Western Europe;


The impact of interreligious encounters and tensions on European theology and religion, in particular the challenges between Islam and Christianity as well as Asian religions and Christianity;


Phenomena of fluid religions vis-à-vis traditions’ search for integrity and authenticity, with special attention to the Eastern Orthodox traditions;


The impact of the above areas for naming and thinking God in Europe today.



The exploration of these areas will prepare students for the new academic disciplines of intercultural theology, comparative theology, and the various fields of interreligious studies. 

 
",10
EM7102,Research And Methods,Course Co-ordinatorAndrew,"Learning Outcomes:
 
On successful completion of this module students will be able to:

Conduct a needs-analysis towards the fruitful pursuit of their research including choosing appropriate modular pathways; research writing (essays and thesis), seminar presentation, fieldwork, library resources, study skills, peer interaction and supervision;

Describe the role of hermeneutics in relation to substantive religious traditions in their texts, contexts and cultures, acknowledging their uniqueness and interaction with other belief systems.

Critically evaluate a range of research methods – deductive, inductive, analytic, action-based, social, participative, with particular attention to the challenges raised by research activity in the interests of peace.

Distinguish between proper academic use of the work of others and inappropriate plagiarism.

 

 
Module Learning Aims:
This module equips students to pursue their coursework and research with due reference to required competences in a range of theological and interdisciplinary methods. Attention will be paid to the role of hermeneutics in relation to substantive religious traditions in their texts, contexts and cultures, acknowledging their uniqueness and interaction with other belief systems.
Module Content:
Various types of research methods – deductive, inductive, analytic, action-based, social, participative, for example, will be investigated as to their usefulness in research development, with particular attention to the challenges raised by research activity in the interests of peace. Students will also be helped to conduct a needs-analysis towards the fruitful pursuit of their studies. This will include choosing appropriate modular pathways; research writing (essays and thesis), seminar presentation, fieldwork, library resources, study skills, peer interaction and supervision.

 

 
",10
EM7201,Research Methods,Course Co-ordinatorAsst.Etain,"Learning Outcomes:
 
On successful completion of this module students should be able to:

Review the different methodological approaches which underpin research

Select appropriate research methods or approaches

Reflect on the ethical implications of conducting social research

Distinguish between proper academic use of the work of others and inappropriate plagiarism

Write and defend a detailed dissertation proposal


 
Module Learning Aims:
By the end of this module students will:

be equipped students to write a dissertation proposal

be able to write a dissertation in International Peace Studies

understand the different approaches methodologically that underpin research and be able to evaluate those approaches.

 
 
 
Module Content:
The module begins with an introduction about the rationale for dissertations, before examining referencing and citation. The main part of the module provides an overview of each section of the proposal: the hypothesis or aims of the thesis, the justification for the thesis topic, the methodology and structure of the thesis.
 
",10
EM7202,The Politics Of Peace And Conflict,Course Co-ordinatorProfesssor,"Learning Outcomes:
 
On successful completion of this module students should be able to:

Define core concepts and theories relevant to Peace Studies as a distinct area of study

Critically evaluate different ethical responses to the problems of war and armed conflict, including just war theory and pacifism

Set out the practical requirements of peacemaking and peacebuilding from both a local and a global perspective

Analyse the dynamics of successful and unsuccessful peace processes, and the contributions of various factors such as governments, civil society organisations and faith-based groups

Prepare and lead lively seminars that encourage debate and discussion of relevant contemporary issues

Analyse, assess and reflect on key texts and documents

Present persuasive written work with analytic arguments based on evidence, reading and critical reasoning.

 
 

 
Module Learning Aims:
The Politics of Peace and Conflict: Theories of peace; the ethics of peace and war; peacebuilding and peacemaking; the role and effectiveness of peace movements.

Module aims:

To provide a background in relevant peace theories

To examine critical issues in peacemaking and peacebuilding

To connect Peace Studies to wider issues in other disciplines


 
 
            

 
Module Content:
Peace Studies is an inter-disciplinary field of study, with a particular concern for developing an understanding of the origins of armed conflicts and possibilities for their resolution, as well as the conditions for building sustainable peace in war-torn societies. As such, there are theories of peace and war and particular issues of special interest to a programme in International Peace Studies. The purpose of this module is to provide an introduction to these issues and theories that would also be useful as a general background to some of the more specialised modules offered as part of the programme. Each student is required to participate in one of the seminar groups attached to the course.
",10
EM7202A,The Politics Of Peace And Conflict,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
EM7301,Research Skills,Course Co-ordinatorGladys,"Learning Outcomes:
 
On successful completion of this module students should be able to:

• Identify and access hard-copy and electronic resources in library collections associated with the programme (especially ISE, QUB, and the main College library) and make regular use of WebCT for selected electronic resources;

• Choose appropriate Information Technology (IT) for different tasks and recognise specialist software to help with specific research tasks relevant to individual needs (eg Endnote, PASW);

• Submit academic work in an appropriate structure and format, with a full bibliography and consistent referencing;

• Distinguish between proper academic use of the work of others and inappropriate plagiarism;

• Conduct and present a literature review drawing on a range of relevant resources for a relevant subject of personal interest;

• Develop a coherent plan for their dissertation.

 
Module Learning Aims:
This module introduces generic skills used in academic research and writing. It provides an orientation to some of the resources available for studies during the programme and an analysis of academic skills involved in graduate work. It is intended to support the completion of written assignments in the taught modules and serves as early preparation for the M.Phil. dissertation

 
Module Content:
This is a blended-learning module combining classes/workshops at the start of term with on-line learning and personal study.

The module is taught through a sequence of class sessions in Belfast accompanied by online learning resources. The list below gives a provisional outline of the topics to be covered and the readings assigned for them. Any revisions or changes will be circulated as required and updates posted on Blackboard.

 
 

 
",10
EM7431,"Armed Conflict, Peacebuilding And Development",Course Etain,"Learning Outcomes:
 
On successful completion of this module students should be able to:

Compare different theoretical approaches to development, such as modernisation, dependency and human development, and the debates between them

Critically evaluate the contribution of multilateral organisations (including the UN, the IMF and the World Bank) and development assistance to processes of development

Identify and discuss broad themes shaping current development policy, such as gender and sustainable development, and their relevance to practical development work

Assess the sources and characteristics of armed conflicts in developing countries and efforts to resolve them


 
Module Learning Aims:
Module Content:
 
Armed Conflict, Peace-building and Development:

This module explores the evolution of development theory; gender and development; the impact of militarism on developing countries; the debt crisis, sustainability development; development ethics.

 
",10
EM7432,International Politics,Course Co-ordinatorEtain,"Learning Outcomes:
 

Review several contending approaches to theorising international politics and engage in critical debate about and analysis of these approaches

Identify key debates in the discipline concerning actors, agency, anarchy, power and security

Make analytical sense of events and processes in contemporary international politics, such as globalisation, ‘the war on terror’ and US-European relations

Prepare and lead lively seminars which enable all participants to engage in greater depth with debates in International Politcs.

Present persuasive written work with analytic arguments based on evidence, reading and reason.

 

 
Module Learning Aims:
Module Content:
This modules provides an overview of the major theoretical approaches to international affairs, and of the critiques advanced against them; the concept of security as the focus of peace research; understanding concrete security problems; the role of non-state actors; global civil society.

 
",10
EM7434,Conflict Resolution And Non-Violence,Course Co-ordinatorEtain,"Learning Outcomes:
On successful completion of this module students should be able to:

Identify and describe the distinctive contribution of nonviolent political action to processes of social and political change

Summarise and reflect on complex debates about specific aspects of nonviolence in practice, such as the use of civil disobedience

Critically evaluate some central theories supporting conflict resolution practice

Demonstrate basic conflict resolution and mediation skills through participatory learning processes.

Analyse, assess and reflect on key texts and documents

Present persuasive written work with analytic arguments based on evidence, reading and critical reasoning.

 
 

 
Module Learning Aims:
 
This module examines nonviolence as both a philosophy and a form of political action, as well as aspects of conflict resolution and mediation. Although there is an emphasis on theory, illustrated by appropriate case studies, the module is designed to complement the practice-based mediation summer school
Module aims:

To introduce key theories and concepts of nonviolence

To examine critical issues in the ethics and politics of nonviolent action

To explore different approaches to conflict resolution and mediation

 

 
Module Content:
 
 
This module investigates theories of nonviolence; nonviolence and political action; official and unofficial mediation processes; culture and conflict resolution.

 

 
 

 
",10
