code,name,lecturer,description,ects
BCFSS,Ireland And The Cinema,Ruth Barton,"Learning Outcomes:
This course will enable students to:

• synthesise their knowledge within economic industrial aesthetic and socio-cultural contexts

• be conversant with the historical political and social backgrounds to these works

• evaluate the shifting nature of film representation in the periods covered

• apply the critical approaches under discussion to specific films

 
Module Learning Aims:
Rationale and Aims:

This is a Senior Freshman core course. This course will explore the history

and contemporary context of Irish cinema as well as key representations of

Ireland and the Irish in world cinema.

Methods of Teaching and Student Learning:

This course will be taught through a combination of film screenings lectures

and seminars. Students will be expected to prepare for seminar discussion by

reading the set texts and viewing the set film.
Module Content:
Course Content:

‘Ireland and the Cinema’ will take a critical and historical look at Irish cinema. It will commence with the two foundation films that have determined representations of the Irish (Man of Aran & The Quiet Man) before proceeding to themes and issues within Irish cinema. These will include: the Troubles; history; gender; the Celtic Tiger and post-Celtic Tiger cinema. It will cover documentaries and animation as well as live-action films.

 
",5
DR1030,Theatre Laboratory 1,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
DR2023,Ensemble Production 2,,"Learning Outcomes:
Learning outcomes:

To be able to undertake individual research in relation to a group project

To be able to work with a theatre director in the creation of a performance

To be able to sustain a creative process in an ensemble learning environment

To be able to work constructively and supportively as a member of an ensemble

To translate creative ideas to theatrical practice

To demonstrate professional practice in a practical learning environment

To document and analyse the creative process of making theatre


 
Module Learning Aims:
Module Content:
This is a laboratory module taught in a rehearsal room and a professional theatre. There will be four weeks of daily rehearsals followed by a production week that includes get-in technical rehearsals dress rehearsals and public performances (as well as get-out). Throughout the module students are required to maintain a logbook that documents their practice and to produce a revised version of it at the conclusion of the module that analyses process production and performance.

 
",5
DR2024,Theatre History 2 Mt,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
DR2025,Theatre History 2 Ht,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
DR2026,Performance Studies 2 Mt,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
DR2027,Performance Studies 2 Ht,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
DR2028,Theatre Laboratory 2,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
DR2029,Introduction To Performing 2,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",10
DR2030,Theatre Practice 2,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",10
DR2031,Contemporary Performance Research 2,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",10
DR3001,Applied Directing,Co-ordinatorNicholas Johnson,"Learning Outcomes:
On successful completion of this module students should be able to:

extend and expand upon skills and concepts addressed in Principles of Directing with regard to a directorial concept based on a dramatic text

visualise and bring to embodiment a vision for set costume and props as supports the text and concept

work with a technician to add orchestration of LX and FX signification to a dramatic piece of 20 minutes in length

conceive and effect scene-to-scene transition


 
Module Learning Aims:
This is the second module of a three-part cycle designed to equip students with the skills of the theatre director. After six weeks of laboratory classes exploring aspects of the directing process through problem-based learning students will prepare an individual project. This course aims to provide a fundamental grounding for directors from which they can go on to engage with different approaches and theories of directing.

 
Module Content:
Available 2012/2013 This module has three phrases: a large group project on Shakespeare texts linked with Advanced Design courses numerous small problem-based assignments in class and the twenty-minute scene from a text of the student’s own choosing (presented in Week 10 of the module) subject to approval by the course lecturer. Throughout the module students should be prepared to present work and to comment critically upon each other’s work. Each workshop session is designed to bring students into contact with at least one practical challenge or conceptual problem of directing preparing students to navigate imposed difficulties or restrictions in the live theatre. The teaching approach will thus be problem-based in which students must work in both group and solo contexts to resolve imposed obstacles and meet an objective. Outside reading research rehearsal and meetings will be required in addition to the two hours of weekly class. The classes will augment work done in Principles of Directing by bringing in elements of design and building interpersonal communication skills with actors and collaborators

 
",10
DR3020,Comtemporary Irish Theatre In Context 1,Christopher Collins,"Learning Outcomes:
On successful completion of this module students should be able to:

recognise analyse and compare the works of practitioners currently working in Ireland

discuss contemporary Irish theatre in an international context

provide oral and written critical reponses to contemporary theatre practice


 
Module Learning Aims:
This module aims to develop the students’ awareness analysis and critical evaluation of contemporary Irish theatre with specific reference to the programme of productions taking place in Dublin during the course of the module. Upon completion all students should be conversant with issues of representation approaches to theatre-making matters of directorial strategy and ways of speaking and writing about those practices in contemporary Irish theatre
Module Content:
The module will be taught through lecture/seminars critical reading public interviews and theatre visits. Each student is obliged to attend a number of designated productions in Dublin theatres at their own cost and to discuss these performances with invited practitioners and with other students on the module. A series of lectures and public interviews with practitioners will form the basis of the weekly schedule.

 
",5
DR3033,Contempory Performance & Research (Tsm),,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
