code,name,lecturer,description,ects
DE1000,Course Administration Year 1 Dental Science,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",0
DE1001,Personal And Professional Development,,"Learning Outcomes:
On successful completion of this unit students should be able to:-

 
1.    Demonstrate through role play small group interaction and formal presentation a capacity to engage in effective communication including written verbal and non verbal aspects such as empathy and listening.

2.    Discuss the application of basic moral and ethical principles to the practice of health care.

 
3.    Describe and interpret the regulatory framework for the practice of dentistry in Ireland as it relates to all members of the dental team

 
4.    Differentiate the histology of the basic tissues such as epithelium muscle nerves and connective tissue as well as explaining their functions.

 
5.    Describe the development of the oral cavity and tooth formation from the early embryo stage through to tooth eruption and alveolar bone development

 
6.    Identify and chart the primary and permanent dentition including their crown and root structure as well as recognise the functions of the different tooth types

 
7.    Demonstrate a detailed knowledge of general and intra-oral histology anatomy and physiology including aspects of development of bones and teeth

 
8.    Compile and produce a written report on a topical subject and present it to students and staff
Module Learning Aims:
The purpose of this module is to commence the personal and professional development of the dental student as preparation for their role as a health care professional.
Module Content:
The topics covered in this module are: dental anatomy behavioural sciences information technology ethics/law health care economics introduction to clinical dentistry and public dental health.

 

Methods of Teaching and Student Learning:
Lectures problem-based learning practical sessions clinical placements verbal presentations

 
",5
DE1002,Human Biology,,"Learning Outcomes:
On successful completion of this module a student should be able to:

Describe in detail the anatomical features and function of the head and neck region

Describe in detail the anatomical pathways and function of the central nervous system

Describe the anatomy and functions of the main organs in the thorax

Explain the structure function of proteins lipids carbohydrates and nucleic acids and how the contribute to the function of the cell

Describe the role of DNA and RNA in protein formation

Explain the basis of genetic inheritance and outline some developmental defects that are genetically determined and to summarise how somatic mutations occur

Describe and understand fundamental concepts in intermediary metabolism

Identify and describe the structure and functions of the four basic tissues in the human body and explain how these four tissues combine in the organs and systems of the human body
Module Learning Aims:
The aim of this module is to provide students with the knowledge base for understanding of body systems function relevant to dentistry. 

 
Module Content:
The topics covered in this module include Anatomy of the Head and Neck the Central Nervous System and the Thorax as well as Microbiology Physiology and Biochemistry.

Methods of Teaching and Student Learning:

Lectures practical sessions in the dissection room problem-based learning tutorials laboratory practical classes
",20
DE1003,Physical Sciences,,"Learning Outcomes:
Learning Outcomes for Physical Sciences:

1.    Explain the concepts of force energy work friction and carry out simple calculations

2.    Define discuss and make calculations about heat temperature heat transfer thermal expansion relative humidity including applications to dental materials

3.    Explain electrical charge current potential difference resistance capacitance power simple electrical circuits

4.    Describe buoyancy pressure surface tension viscosity and the application of these concepts to the human body (blood pressure blood flow)

5.    State the laws of geometrical optics make calculations and explain how these laws are applied in image formation (lenses and mirrors) and correction of eye defects

6.    Define wavelength frequency (light and sound) loudness and describe the Doppler effect

7.    Describe nuclear structure the types of radioactivity the laws of radioactive decay half-life and inverse square law and make calculations

8.    Describe the properties of X-rays effective dose and attenuation with reference to their use in dentistry

9.    Describe atomic structure ionic and covalent bonding (including polar covalent bonds) and explain the properties of water as a solvent

10.  Explain the concept of hybridization of orbitals with special reference to Carbon

11.  Demonstrate an understanding of chirality designate compounds as L/R enantiomers and appreciate the importance of stereochemistry in enzyme and drug studies

12.  Demonstrate a knowledge of the range of organic compounds with special reference to those related to human life

13.  Demonstrate a knowledge of the chemistry of acids and bases and demonstrate an understanding of their importance for anaesthetics and for buffering in the human body

14.  Work in pairs or in groups to use scientific equipment make calculations draw graphs and present a written report of laboratory work undertaken
Module Learning Aims:
The aim of this module is to develop an understanding of the physical and chemical concepts that underpin the practice of dentistry. The topics covered include: force electricity optics x-rays chemical bonding stereochemistry and the chemistry of acids and bases.

 
Module Content:
The topics covered include: force electricity optics x-rays chemical bonding stereochemistry and the chemistry of acids and bases

Methods of Teaching and Student Learning:

Lectures tutorials practical sessions problem-based learning
",15
DE1A01,Dental Science Yr 1 Assessment Module 1,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",0
DE1A02,Dental Science Yr 1 Assessment Module 2,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",0
DE1A03,Dental Science Yr 1 Assessment Module 3,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",0
DE1A05,Dental Hygiene Assessment 1,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",0
DE1A08,Dental Nursing Assessment Module Year 1,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",0
DE1A09,Dental Nursing Assessment Module 2 Year 1,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",0
DE1A52,Dental Tech Assessment 2,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",0
DE1A53,Dental Tech Assessment 3,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",0
