code,name,lecturer,description,ects
ET1009,Instrumental Performance,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",10
ET1010,Musicianship,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",10
ET1011,Compositional Techniques,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
ET1012,Music History,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",10
ET1013,Music Education,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",15
ET1014,Curricular Development,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",10
ET2012,Introduction To Contemporary Policy Issues & Sociology Of Education,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
ET2013,Instrumental Performance,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",10
ET2014,Musicianship,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
ET2015,Compositional Techniques,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
ET2016,Music History,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",10
ET2017,Music Education 1,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",10
ET2018,School Placement,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
ET3009,Educational Philosophy And Theory,"SEERY, AIDAN","Learning Outcomes:
On successful completion of this module, the student will be able:
? To examine and evaluate modern concepts of knowledge, particularly subject knowledge.
? To identify, compare and contrast models of the human learner.
? To summarise and argue coherently for different models of education.
? To construct a personal professional ethical position based on an informed ethics and the Code of Professional Conduct for Teachers.
? To construct a personal philosophy of education that might inform practice.
Module Learning Aims:
Rationale
An introduction to the philosophy of education forms part of the preparation for music teachers to become reflective practitioners by analysing the concepts, language, politics and ethics of education.
Aims:
? To introduce students to the concepts, language and models of contemporary educational theory.
? To develop a thoughtful, informed and reflective approach to education and teaching.
? To develop a critical engagement with models and aims of education.
Module Content:
The lectures are divided into 6 sections:
The concept of knowledge in historical and contemporary understandings (2 lectures).
Models of the human learner: Platonic, Aristotelian, Enlightenment, Postmodernist (3 lectures).
The aims of education: human flourishing, modernist autonomy, feminist care (2 lectures).
The philosophical principles of feminist and critical pedagogies (2 lectures).
The ethics of education, teaching and learning (1 lecture).
",5
ET3012,History Of Education,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
ET3016,Instrumental Performance,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",10
ET3017,Musicianship,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
ET3018,Compositional Techniques,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",10
ET3019,Music History,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
ET3020,Music Education,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",10
ET3021,School Placement,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",10
ET3024,Music Education 1,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
ET3025,Music Education 2,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
ET3026,School Placement,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",25
ET4014,Mathematics,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",10
ET4017,Introduction To Assessment And Examinations In Post-Primary Education,"MURCHAN, DAMIAN","Learning Outcomes:
Module Learning Aims:
This module provides prospective post-primary teachers of music with knowledge, skills and competencies in relation to assessment of student learning. The module highlights the assessment-related knowledge and skills required for a successful career in post-primary teaching.
Module Content:
Students are introduced to the theory, policy and practice of student assessment and examinations, incorporating a range of widely used techniques and methods for assessing and evaluating student learning. Attention focuses on: using assessments as tools for documenting and enhancing student performance; designing assessments that are relevant to learning and constructed using best practice: and recording and communicating the results of such procedures to relevant stakeholders such as students, parents and other teachers. In anticipation of participants' future professional roles working collaboratively within school organisations, students are encouraged to explore the breadth of assessment options applicable to post-primary education generally and in relation to their own subject area in particular.
",5
ET4018,Applied Psychology In Education,"MINTON, STEPHEN","Learning Outcomes:
Module Learning Aims:
The aim of the course is to give students the intellectual grounding and practical strategies needed to be effective teachers.
Module Content:
This course considers the following key topics:
1. Self esteem development and education.
2. Anti-social and disruptive behaviour with strong emphasis on prevention and countering bullying behaviour and violence in schools.
3. Intelligence and learning styles.
4. Classroom management, with emphasis on positive teaching and assertive discipline.
5. Learning difficulties, with particular emphasis on dyslexia and A.D.H.D.
5. Teacher personality, teacher characteristics and teacher stress.
",5
ET4019,Modern Languages,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",10
ET4022,English,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",10
ET4023,Business Studies,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",10
ET4024,Religious Education,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",10
ET4025,Science,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",10
ET4026,History Teaching Methodology,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",10
ET4027,Irish,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",10
ET4028,Geography,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",10
ET4055,Major Option,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",20
ET4056,Aural Perception,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
ET4057,Compositional Techniques,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
ET4058,School Placement,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",10
ET4102,Inclusive Education,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
ET4103,Icts For Teaching And Learning,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
ET5101,Learning Theory And Practice,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
ET5102,Expressive Arts,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
ET5103,Human Rights,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
ET5104,Language And Society,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",10
ET5105,Occuptional Therapy- Personal And Self- Development,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
ET5106,Applied Health Science: Body Systems And Function,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
ET5107,Self- Managing Services,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
ET5108,Application Of Numbers,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
ET5109,Emergency And Disaster Management,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
ET5110,Information Technology,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
ET5120,Italian For Beginners,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
ET5121,Exploring Art: Renaissance To Modern,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
ET5201,Research: Theories And Concepts,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
ET5202,Entrepreneurship And Disability,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",10
ET5203,Film Studies,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
ET5204,Occupational Therapy: Preparing For Transition,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
ET5205,Disability Right Practicum,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",10
ET5207,Work Placement,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
ET5208,Stem And Society,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
ET5209,Marketing,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",10
ET5220,Poetry,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
ET5221,Health Promotion Intellectual Disabilities,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
ET7007,Science,coordinator Philip,"Learning Outcomes:
On successful completion of this module, the student will be able to:
· explain the key tenets of constructivist views of students' learning in
science;
· plan and safely conduct practical science classes;
· select from, and apply, a wide range of teaching approaches that are
designed to motivate students and improve their learning;
· demonstrate an awareness of the place of science in the general education
of young people.
Module Learning Aims:
The course in Science Pedagogy prepares students for teaching science courses
that are part of the curriculum of second level schools in Ireland. These include
Junior Certificate Science, Leaving Certificate Chemistry, Biology or Physics. The
course also serves as an introduction to issues in science education as they relate
to the general education of young people.
Aims
To encourage students to:
· broaden their understanding of science as a key cultural force in modern
society and its place in the general education of young people;
· acquire and develop practical teaching skills that positively motivate young
people to further their study of the sciences;
· adopt a critical attitude to their own practice as teachers of science and as
members of the teaching profession in general.
Module Content:
9. Course Content and Syllabus
Approaches to teaching the theoretical and practical aspects of science courses in
second level schools in Ire/and.
The place of science education in the school curriculum.
Revision date: August 2011 100
The roles of practical work and lCT in science teaching and learning.
",10
ET7009,Geography,coordinator Keith,"Learning Outcomes:
On successful completion of this module, the student will be able to demonstrate:
· Good class management techniques;
· Appropriate assessment methods;
· Employ a variety of methodologies;
· Use IT relevant to geography;
· Develop professional skills;
· Engage in self reflection as a means of improvement.
Module Learning Aims:
The course is an introduction to students in the teaching of geography in
secondary schools with an aim to develop their skills, subject knowledge and
creativity in the classroom.
Aims
· To plan and implement effective lessons.
· To understand and exemplify good teaching practice.
· To develop a range of skills and strategies to engage the student.
Module Content:
Introduce class management techniques
Junior cert- topical approaches
Senior cycle-core, elective and options
Field study
Role play
Gaming techniques
Microteaching
High tech.-low tech mix for classes
",10
ET7010,Business Studies,practice supervisor,"Learning Outcomes:
The students should be able to:
· plan and implement a (cooperative learning) lesson;
· question a class in order to encourage differentiated learning;
· set appropriate assessment to measure learning, both summative and
formative;
· research and implement a department of education syllabus;
· operate a department of education marking scheme for the state exams;
· use information technology relevant to business studies;
· manage a classroom.
Module Learning Aims:
Rationale
The course sets to introduce students to the environment in which they will be
teaching business studies in secondary schools in Ireland. There are seven state
syllabi relevant; Junior Cert Business Studies, Leaving Cert Business, Leaving
Cert Accounting, Leaving Cert Economics, Leaving Cert Applied
(enterprise),Leaving Cert Vocational (enterprise) and Transition Year Business.
Within the context of these courses students will be introduced to different
methodologies of teaching, the role of assessment and classroom management.
Aims:
· to make the students aware of their responsibilities in relation to each of the
syllabi above;
· to provide examples of good teaching practice;
· to develop skills in the areas of planning and assessment;
· to enthuse the students with the role of the teacher.
Module Content:
· Introduction / Classroom management
· Cooperative learning
· Cooperative learning and assignment
· The role of questioning
· JC Business, syllabus and assessment
· Introducing first years to bookkeeping, the balance sheet approach
· Introducing double entry bookkeeping
· The transition year, designing your own course and business outside the
class room
· Active learning in the transition year, an approach to teaching Marginal
Cost Accounting
· Review of teaching practice
· How students learn and its implications for Leaving Cert Business
· Leaving Cert Business Resources
· Leaving cert Business Assessment
· Accounting, how to start the leaving cert programme
· Accounting, incomplete records
· Business and IT
· Leaving cert economics
· Leaving cert Applied and Vocational
",10
ET7011,Music,coordinator Marita,"Learning Outcomes:
On successful completion of the PDE music pedagogy module, the students will be
able to:
· articulate a sound personal philosophy in relation to the role of music in
education.
· devise and implement individual class plans and schemes of work for
music which are appropriate to their pupils level and interests, are
coherent with the syllabus, and make use of a range of appropriate
teaching methods;
· demonstrate a critical awareness of a range of teaching methods and
styles in their lesson plans, teaching practice, seminar contributions and
written assignments;
· reflect critically on their own practice as teachers in their post lesson
appraisals, teaching practice, seminar contributions and written
assignments;
· apply their knowledge, comprehension, critical awareness and problem
solving abilities through their lesson plans, teaching practice, seminar
contributions and written assignments.
· possess music skills needed to support a diverse curricular and extracurricular
music programme.
Module Learning Aims:
Aims
The aim of the course is to train teachers of music for Second-Level schools, who
will:
· appreciate the role and value of music in the curriculum
· develop a personal philosophy of music education.
· reflect on and evaluate their own music-teaching practices
· develop an awareness of the nature of music-learning, in particular the
practical and participative nature of classroom music
· competently deliver all aspects of the music curriculum, including Junior
and Leaving Certificate syllabi, Leaving Certificate Applied syllabus,
Transition Year syllabus, incorporating appropriate teaching
methodologies and skills.
· facilitate and support music activities in school including; liturgical
services, graduation ceremonies. concerts, musicals, feiseanna etc.
· explore a range of teaching styles and methods and assess their strengths
and weaknesses within the context of the students' practice as teachers.
Revision date: August 2011 91
· explore current best practice and relevant theory in relation to the
teaching of music.
Module Content:
Music Pedagogy is a two-semester course taken by students with a Music major
on the Postgraduate Diploma in Education course. Students with Music as a
minor subject may also attend but are not assessed on this course. It covers the
basic principles of music teaching and learning and the practical application of
theory to the students' own practice as teachers in the music classroom. It
enables students to explore how children learn music, what methods best
facilitate the learning of music in a classroom environment, and how to apply this
knowledge in the classroom. Pedagogy sessions
A two-pronged approach is adopted throughout the year; the course addresses
general teaching techniques as well as the teaching of Music in Secondary School.
1 General teaching techniques
Creating a safe and caring environment
Motivating young learners
Lesson planning and schemes of work,
Discipline, classroom management
Sequencing of lessons
Formal and informal assessment techniques
Self appraisal
Contemporary educational issues
2 All aspects of the teaching of music at Second Level
Analyzing and exploring the secondary school music syllabi, identifying key
concepts.
Contextualizing methodologies.
Developing an integrated approach to listening, composing, and
performing,
Skill acquisition including keyboard, guitar, percussion, recorder.
Directing ensembles.
Focusing on relevant literature, including syllabi, standard texts,
contemporary resources.
Continued professional development, PPMTA.
All aspects of the course will involve class performance and demonstration and
exploration of materials which will shed further light on the topic under
discussion.
Ongoing reference will be made to the Revised Primary School Curriculum, the
Rebalanced Junior Certificate Music Syllabus, to the Leaving Certificate Music
Syllabus, the LCA Music Syllabus and the most recent Examinations.
",10
