code,name,lecturer,description,ects
CE5A1,5A1 Civil Engineering Materials,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
CE5A62,5A6(2) Structures Ii [Advanced Design Of Structures],,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
CE5E1,5E1 Civil Engineering Research Project,Asst. Bidisha,"Learning Outcomes:
On successful completion of the research project and dissertation, students will be able to:

Contribute individually to the development of scientific/technological knowledge in one or more areas of Civil Engineering.

Identify, assess and synthesize existing literature and research findings on an unfamiliar problem;

Apply a range of standard and specialised research tools and techniques to provide innovative and appropriate solutions to engineering problems of significant complexity.

Develop and apply theoretical, scientific and mathematical principles to effectively solve the research problem

Design and conduct unsupervised experiments and to analyse and interpret data;

Apply and develop software to model engineering systems;

Discuss and critically evaluate the research findings and reflect on the strength and limitations of the research; Assess the implications of the project outcomes for engineering practice;

Write a research dissertation to professional and academic standards using appropriate graphics and references;

Present complex ideas and material to peers and respond effectively to questions and criticism.
Module Learning Aims:
Research topics and project titles will be proposed by academic staff in the School of Engineering and SCSS based on their ongoing research activity. Students may propose their own research topics if they can demonstrate adequate prior knowledge and experience of the field, and if they can identify an appropriate academic supervisor.
Module Content:
This module allows the students to complete an individual research project on a topic of contemporary engineering research interest.

 
Each individual project will be supervised by an academic staff member in the School of Engineering or SCSS and may be undertaken independently or in conjunction with a research group or in connection with industry or another university, where circumstances are appropriate. Whenever a project involves significant collaboration with an industrial or other external partner, an external co-supervisor may also be appointed.

 
The students must meet their individual supervisor(s) in week 1, semester 1 or as soon as they are assigned a project title. There are no formal timetabled hours associated with the project but students are expected to spend the time it takes to make reasonable progress and to keep in regular contact with their supervisors. It is recommended that students make a formal arrangement with their supervisors to meet on a regular basis.
",25
CE5E2,5E2 Research Methods,Asst. Bidisha,"Learning Outcomes:
Select and apply appropriate communication tools in order to create deeper understanding and maximum impact on a given audience, including

Communicate effectively in public, national and international contexts;

Write technical papers and reports and synthesise their own work and that of others in abstracts and executive summaries;

In particular,

present the context of their research through a literature review, which provides the reader with a framework for assessing new research;

summarise a research project in a short paper;

make an oral presentation of a research project;

describe research outcomes to a lay audience.


Use appropriate statistical methods for data analysis;

Use referencing systems appropriately;

Identify and reflect on the ethical and social issues associated with their chosen research topic.
Module Learning Aims:
This module introduces and provide guidance on a range of topics relevant to engineering research. Instruction is be provided on the following topics:

guidelines for conducting engineering research;

research project design;

guidelines for writing a literature review, a short paper and a dissertation;

quantitative research methods including statistical methods for data analysis;

referencing methods;

ethics in research.
Module Content:
To help students to develop skills in planning and delivering high quality research output. This course accompanies and supports the major research project completed by each student.
",5
CE7C01,C1: Renewable Energy 1,Coordinator Sarah,"Learning Outcomes:
On successful completion of this subject the student will be able to:
 
Understand the context and potential of renewable energy sources and engineering means from which to exploit it, in particular solar, geothermal and biomass sources

 
Module Learning Aims:
Understand the context and potential of renewable energy sources and engineering means from which to exploit it, in particular solar, geothermal and biomass sources
Module Content:
Syllabus
World energy resources and trends / renewable energy overview / energy conservation / energy from biomass / geothermal energy / solar energy.

Mode of Delivery

Core content via lecture (direct)

Individual Assignments


 
",5
CE7C02,C2: Renewable Energy 2,Coordinator Biswajit,"Learning Outcomes:
Module Learning Aims:
To introduce students to the context and potential of renewable energy
Module Content:
Wind energy (overview and resources, micrositing, turbine design (tower, blades, foundations), aerodynamics, controls, wind turbine economics, lifecycle cost, grid integration and transmission) / wave energy/ tidal energy/hydroelectric/ Special topics in Renewable Energy, Hydroelectric
",5
CE7C04,C4: Façade Engineering,Co-ordinatorAssis. Oliver,"Learning Outcomes:
Module Learning Aims:
This module is focused on building facade engineering including design, construction and analysis of the building envelope. The project will be developed using BIM, and analysed using associated building simulation software.
Module Content:
 The module will present students with:

An introduction to historical and present day building facades,

Façade design and retrofitting of facades for improved performance,

Energy performance of buildings and the impact of the façade,

Façade structures, systems and construction,

Façade concepts, materials and components, and,

Façade design using BIM, and analysis using building energy software.
",5
CE7C05,C5: Advanced Spatial Analysis Using Gis,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
CE7C06,C6: Construction Innovation And Research,Mark Dyer,"Learning Outcomes:
Upon completion of this course, students will be able to: 

To be aware of research structures, stakeholders and funding mechanism used in Ireland and EU to promote research and innovation

To be aware of exemplar case studies that led to research and innovation from networks, companies, universities and research institutes;

To be familiar with innovation process and systems based on technology trends

To be familiar legal framework available to protect innovation

To be familiar with new innovation technologies in the construction industry

To critically appraisal research publications and research strategy documentation
Module Learning Aims:
Module Content:
The module explores the highly topic subject of research and innovation within the construction industry inside and outside of Ireland. The module investigates the various research structures, stakeholders and funding mechanism available to promote research and innovation. Extensive us is made of uses case studies of exemplar research networks, companies and products to indentify successful process that led to innovation from a research base
",5
CE7E01,E1: Hydrological Processes And Hydrometry,Coordinator Bruce,"Learning Outcomes:
1. Understanding of the principles of hydrometry, including how to measure or estimate:

Rainfall

Evapotranspiration

Soil moisture

Stream flow

Groundwater recharge

 
2. Familiarisation with data analysis procedures, including areal interpretation of rainfall from point data, calculation of evapotranspiration, soil moisture budgeting (FAO Penman-Monteith), estimation of groundwater recharge, analysis of flood flows using annual maximum series, unit hydrographs and catchment characteristics.

 
Module Learning Aims:
To provide an understanding of methods used for the measurement and analysis of the main components of the hydrological cycle.
Module Content:
See 'Learning Outcomes' above.
",5
CE7E03,E3: Air Pollution,Coordinator Laurence,"Learning Outcomes:
Knowledge of the issues surrounding air, noise and water pollution and environmental modelling. Understanding of a number of assessment techniques.

Water supply and sanitation, including water supplies for rural areas in developing countries

 
Module Learning Aims:
To introduce students to a wide range of topics within environmental engineering
Module Content:
See 'Learning Outcomes' above.
",5
CE7E04,E4: Waste Management And Energy Recovery,Liwen Xiao,"Learning Outcomes:
An understanding of the nature of solid waste and the conceptual approaches to solving the problems of its management.

 
Module Learning Aims:
The definition of waste and approaches to the assessment, management and control of solid waste in its various forms.
Module Content:
Solid waste: definitions and assessment, liquid, solid and gaseous. Landfill/landspreading hydrology : Processes and modelling. Thermal treatment: Incineration, pyrolysis, gasification. Contaminated land : investigation and remediation of contaminated soil and groundwater.
Sampling and monitoring; legal issues; risk analysis
.
",5
