code,name,lecturer,description,ects
BCENG,Understanding Literature,Brendan O'Connell,"Learning Outcomes:
By the end of the course students will have sharpened their own skills of literary analysis and will have studied a varied collection of substantial and rewarding texts.
Module Learning Aims:
What do we understand by the term `literature'? How do we go about interpreting literary works of the past and the present? Drawing upon the expertise of the School of English across a wide range of literatures in English this course will offer to students from outside the discipline an opportunity to develop structured and informed approaches to reading.
Module Content:
The course will highlight issues of critical methodology literary influence and imitation and literary form offering a selection of prose poetry and drama. The course is delivered through twice-weekly lectures or classes given by members of the School of English in weeks 1-6 and 8-12 of Michaelmas Term. Attendance at all classes/lectures is compulsory and a record of attendance will be kept
",5
EN1015,Enlightenment,Aileen Douglas,"Learning Outcomes:
By the end of this module successful students will:
• Be able to define “enlightenment” and contrast it with alternative perspectives on human knowing and being
• Be able to describe enlightenment as a theme in course materials
• Be able to relate ideas of enlightenment to ideas of religion science gender and print culture
• Be able to give an account of the range of course materials in terms of literary genres
• Be able to offer detailed critical analysis of course texts
Module Learning Aims:
""Enlightenment"" emphasises human reason and the power that comes from knowledge of the self and the world.
Module Content:
In the eighteenth century writers argued over the extent and implications of the human capacity to know while the rapid growth of print culture seemed to indicate that human knowledge and the forms through which it could be expressed were expanding. This course considers enlightenment in relation to religion science gender popularisation the development of the city and the rights of man (and woman). Lectures will concentrate on texts of different kinds including prose fiction poetry the essay and historical writing c. 1700-1789.
",5
EN1016,Genre:The Novel,Aileen Douglas,"Learning Outcomes:
By the end of this course students will be able to:

 

Discuss in detail the evolution of the modern novel as a literary form

Evaluate and compare the different novelistic genres within the tradition

Recognise the key strategies structures and effects of each major genre.

Comment at length on the major practitioners of the novel form in the period.

Consider and respond to key theorists on and historians of the novel form with specific reference to canonical and contemporary critical studies.

Analyse with critical competence and historical awareness passages of prose fiction of varying styles traditions and contexts with reference to the overarching discourse of the novel form.

 

 
Module Learning Aims:
This course aims to introduce the novel as a modern literary genre and to trace its evolution throughout the nineteenth and twentieth centuries.
Module Content:
Genre: the Novel

This course will introduce the novel as a modern literary genre tracing its history from its emergence in the seventeenth century through to contemporary understandings of the form. It will offer an initial survey of the novel from the early-seventeenth to late twentieth century and consider the ways in which novelists theorists and historians of the genre have understood and assessed its development

 
",5
EN1017,The Gods In Literature,Brendan O'Connell,"Learning Outcomes:
By the end of this module students will:

 

Be familiar with the mythological and classical deities most commonly invoked in Western literature up to and including the early modern period

Be familiar with the main narratives of the Old and New Testament traditions in Western literature up to and including the early modern period

Have a good close textual knowledge of a chronological spread of works that are significant to a development in the relationship between mythological classical and Judao-Christian traditions up to and including the early modern period

Be familiar with debates concerning the application of mythological or theological ideas to social and cultural expressions of identity

Be prepared to read literary texts across the English canon from a solid knowledge base in the classical and Judao-Christian traditions.

 

 
Module Learning Aims:
This course will offer essential reading in the classical and Judao-Christian belief systems that underpin literary writing in the Old English medieval and early modern English traditions.
Module Content:
It will engage with a series of canonical texts from these periods to provide a knowledge base for a culturally sensitive reading of early materials.
",5
EN1018,American Genres,Stephen Matterson,"Learning Outcomes:
By the end of this module students will:

 

be familiar with the origins of modern U.S. American literature and its development until the end of the nineteenth century in a range of genres including poetry prose non-fiction the novel and the short story.

have good close textual knowledge of works that illustrate the desire for generic distinctiveness that has characterised much American writing and be familiar with the historical cultural and political issues that shaped its development from pre- and early Colonial periods.

be familiar with the ways that American writers up to 1900 examined issues such as the representation of place the burden of the past and the construction of self gender class and race

be familiar with the cultural ideology of American exceptionalism.


 
Module Learning Aims:
This course provides an introduction to American literature by focussing on specific generic areas: prose non-fiction; poetry; fables tales romances; novels; short stories.
Module Content:
Genre: the Novel
This course will introduce the novel as a modern literary genre tracing its history from its emergence in the seventeenth century through to contemporary understandings of the form. It will offer an initial survey of the novel from the early-seventeenth to late twentieth century and consider the ways in which novelists theorists and historians of the genre have understood and assessed its development
",5
EN1019,Medieval And Renaissance Romance,Brendan O'Connell,"Learning Outcomes:
By the end of this module students will:

 

Have read a selection of texts in a dominant mode of Medieval and Renaissance narrative fiction

Be able confidently to read texts in Middle and Early Modern English with the aid of a glossary

Have a clear sense of the historical factors affecting the development of the Romance mode including its wider European context

Have engaged critically with major concerns of Romance texts such as human perfectibility love and conflict fate and free-will

Be aware of the diversity of Medieval and Renaissance Romance and be able to identify major sub-genres

Be able to recognise and analyse common Romance motifs even as they appear in texts outside the Medieval and Renaissance periods

 

 
Module Learning Aims:
This course concentrates on one of the most significant and influential European genres through selected texts representing its variety from the Medieval to the Renaissance period.
Module Content:
This module concentrates on one of the most significant and influential European genres through selected texts representing its variety from the Medieval to the Renaissance period. We will cover a number of texts paying attention to the historical factors affecting the development of the Romance mode the major thematic concerns of Romance (such as human perfectibility love and conflict fate and free-will) and the common motifs of the tradition.
",5
EN1020,Theories Of Literature,Sam Slote,"Learning Outcomes:
On successful completion of this course students will:

 

Be familiar with a representative range of the varieties of literary criticism that have been promulgated from the late 19th Century to today.

Be able to recognise and articulate the various biases and presuppositions that inform different theoretical and critical approaches to literary study.

Be able to apply different theoretical modes when interpreting literary works.

Have a clear sense of the development of the discipline of English literature within the university as a field of study.

Be familiar with the different debates regarding the role and value of literature in broader cultural contexts.

Be able to analyse the relative strengths and weaknesses of specific interpretive perspectives.

Be prepared to engage in the practice of interpreting texts and contexts at an advanced level.


 
Module Learning Aims:
This course serves as an introduction to the more prominent varieties of literary theory and criticism practiced since the late 19th century.
Module Content:
This module serves as an introduction to the more prominent varieties of literary theory and criticism practiced since the late 19th century. Starting with the emergence of English literature as a field of study within the university the module will cover Formalism Structuralism Psychoanalysis Marxist criticism Deconstruction Feminism Post-Colonial studies and Popular Culture studies
",5
EN1021,Romanticism,David O'Shaughnessy,"Learning Outcomes:
On completion of this course students will:

 

Be able to understand analyse and interpret a major literary mode both in its own historical context and in terms of its legacy for subsequent artistic and cultural forms.

Know the history of Romantic poetry c. 1780-1840 and be familiar with the major works of a number of the most important Romantic writers.

Understand the relationship between the theories of Romantic aesthetics and the practice of Romantic writing in poetry and prose.

Have a sense of the importance and history of the novel during the period under discussion and particularly its importance as a vehicle for women writers.

Understand and able to analyse critically the ideology underpinning cultural production during this period and have a more general sense of the relationship between politics history and writing.


 
Module Learning Aims:
With its complete renegotiation of literary aesthetics to focus on self-expression Romanticism is perhaps the great cultural mode of modernity without which all subsequent literature would be inconceivable. This course will examine the major flowering of British Romantic writing from c.1780-1840 taking in its relationship with Enlightenment thinking and culture political radicalism women and the novel and some of the greatest poetry ever written.
Module Content:
Authors discussed will include Austen Mary Shelley Blake Wordsworth Coleridge and Keats.
",5
EN1022,Irish Writing 1890-1945,Paul Delaney,"Learning Outcomes:
On completion of this module successful students will:

 

Be aware of the origins and concerns of the Irish Literary Revival

Have a close working knowledge of representative texts from this period and its immediate aftermath

Have a clear sense of the relationship between these texts and also between the authors of these texts

Be familiar with the variety of genres covered on this course (poetry drama novels essays short fiction)

Be conversant with the key themes and concerns which motivate the course (including nationalism the politics of representation and class religious and gender identification)

Be prepared to engage in advanced studies of modern and contemporary Irish literature at Sophister level.

 

 
Module Learning Aims:
This course introduces students to key concerns in Irish writing from the early years of the Literary Revival to the end of the Second World War.
Module Content:
The course covers literature in a variety of forms (poetry drama novels and short fiction) and engages with a range of concerns including nationalism the politics of representation and class religious and gender identification. Writers on the course include W.B. Yeats George Bernard Shaw J.M. Synge James Joyce Sean O'Casey Elizabeth Bowen Patrick Kavanagh and Kate O'Brien.
",5
EN1024,Early English Language,Alice Jorgensen,"Learning Outcomes:
By the end of this module students will:

 

be able to apply grammatical terminology to analyse a modern English sentence

be able to parse a simple Old English sentence

know paradigms for some common Old English nouns pronouns and verbs

be able to translate a simple Old English prose text with the help of a glossary

have read selected prose extracts in Old English and early Middle English

have an awareness of the grammatical and vocabulary changes in the centuries following the Conquest

 

 
Module Learning Aims:
The course offers a grounding in traditional grammar as applied to modern English. Preparation for the course Beginnings of English Poetry.
Module Content:
This course focuses on the earliest attested stage of the English language Old English using a series of simple graded readings in preparation for the course Beginnings of English Poetry.
",5
