code,name,lecturer,description,ects
GE1001,Special Genetics 1,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",10
GE4011,Human Genetics Literature Review,,"Learning Outcomes:
On successful completion of this module students should be able to:

Deliver a comprehensive review of a topic of significance in the field of Human Genetics

Provide a historical summary of the chosen field and critically analyse the current literature

Convey an understanding of the subject


 
Module Learning Aims:
Module Content:
 
 
",5
GE4013,Genetics Literature Review,,"Learning Outcomes:
On successful completion of this module students should be able to:

Deliver a comprehensive review of a topic of significance in the field of Genetics

Provide a historical summary of the chosen field and critically analyse the current literature

Convey an understanding of the subject


 
Module Learning Aims:
Module Content:
",5
GE4017,Medical And Cellular Genetics (Genetics),Peter Humphries,"Learning Outcomes:
On successful completion of this module students should be able to describe and display understanding of key aspects of a selection of the following medical and cellular genetics topics:

Cancer Genetics

Immunogenetics

Transgenic Animals & Gene Therapy

Molecular Haematology

Genetics of Perception

Pharmacogenetics

Prions

Apoptosis

Stem Cell Biology


 
Module Learning Aims:
Module Content:
",15
GE4018,Analytical And Molecular Genetics (Genetics),Mario Fares,"Learning Outcomes:
On successful completion of this module students should be able to describe and display understanding of key aspects of a selection of the following analytical and molecular genetics topics:

Evolution of Protein Structure

Molecular Evolution II

Microbial Molecular Genetics

Plant Molecular Genetics II

Developmental Genetics of Drosophila

Human Evolutionary Genetics

Genetics of Neural Development

Behavioural Genetics

Epigenetics

Plant Development Genetics


 
Module Learning Aims:
Module Content:
",15
GE4217,Medical And Cellular Genetics (Human Genetics),,"Learning Outcomes:
Module Learning Aims:
Module Content:
",15
GE4218,Analytical And Molecular Genetics (Human Genetics),,"Learning Outcomes:
Module Learning Aims:
Module Content:
",15
GE4300,Molecular And Evolutionary Genetics,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",10
GE4400,Molecular And Medical Genetics,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",10
GEU22201,Human Genetics Sf Tutorials,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
GE3M07,Bacterial Genetics,Coordinator Kevin,"Learning Outcomes:
See Module Learning Aims
Module Learning Aims:
On successful completion of this module students should be able to:

Describe the structure and function of RNA polymerase in bacteria.

Describe in detail the model regulatory systems controlling expression of the lac and ara operons in Escherichia coli.

Explain how transcription factors work.

Describe the seven sigma factors of E. coli and name at least some of the genes whose transcription they help to initiate.

Explain how the positive and negative regulation of transcription in Gram-negative bacteria relates to the environment in which the bacteria live.

Explain the concepts of bacterial growth, growth phase and adaptation to different stages of growth.

Explain the concepts of local and global regulation of gene expression.

Explain DNA rearrangements that involve homologous recombination, site-specific recombination and transposition.

Explain the concepts of genetic marker rescue and complementation.

Devise selection strategies to discover environmentally-regulated genes in bacteria.

Describe the structure of the ribosome: ribosome binding sites, and how their strengths are established.

Describe aminoacyl tRNA synthetases, tRNA structure and function and the role of modified bases in tRNA.

Explain features of the genetic code and the machanisms of suppression.

Describe initiation, elongation and termination of translation.

Explain the concept of suppression and the different ways that this occurs.

Describe the structure and function of DNA polymerases in Escherichia coli.

Describe the structure and function of the Escherichia coli origin of chromosomal DNA replication (oriC).

Describe the initiation of chromosomal replication at oriC.

Explain the control of DNA replication at oriC: DnaA initiator protein and autoregulation of expression; hemimethylated DNA, Dam methylase; SeqA; refractory period.

Explain the problems associated with replicating linear genomes.

Explain how these problems are surmounted by lambda phage, T7 phage.

Describe the discovery, structure and function of telomeres and telomerase.
Module Content:
Short Content Overview

Module GE3M07 (for Genetics / Human Genetics students) is a synonym of module MI3M04 (for Microbiology students). Students registered for either of these modules attend the same set of lectures. The laboratory practical module, MI3M04-P, associated with MI3M04 is taken by Microbiology students but not by Genetics/Human Genetics students.
This module presents an evidence-based description of the basic cellular processes of transcription, translation and DNA replication in bacteria. The approach is to discuss in detail the players involved and their roles in each of the processes. The major mechanisms by which bacteria regulate expression of genetic material as well as aspects of bacterial replication and recombination will be discussed. The module covers the major events in transcription initiation, positive and negative control of transcription, coordinated control of transcription, the operon, the regulon, the stimulon, an introduction to global regulation, DNA structure and gene regulation, environmental adaptation through variations in gene expression, stereotypic and stochastic responses, and transposition – including insertion sequences IS1 and IS3 and transposons Tn3 Tn5, Tn7, Tn10 and bacteriophage Mu. Major features of the genetic code and suppression will be discussed together with mechanisms for the initiation, elongation and termination of translation. We will discuss DNA polymerases, the origin of chromosomal DNA replication (oriC) in Escherichia coli and the mechanisms by which the DNA replication is initiated and controlled. The special problems associated with replicating linear genomes and how they are surmounted will be discussed. In this context, the structure of telomeres, how they are replicated with telomerase and their association with aging will be discussed.

 
",5
GE3M09,Eukaryotic Molecular Genetics,Coordinator Prof.Tony,"Learning Outcomes:
On successful completion of this module students should be able to:

Describe the general organisation and packaging of nucleic acids within the nucleus of eukaryotic cells

Explain the basic mechanisms of RNA biogenesis in eukaryotic cells including transcription, processing and export from the nucleus

Describe the concept of steady state levels of messenger RNAs, the balance between RNA synthesis and degradation, the basic mechanisms of mRNA degradation and the mechanisms of regulation of messenger RNA translation

Explain the importance of folding, sub-cellular trafficking, modification and degradation of nascent proteins in eukaryotic cells and how they are achieved

Understand the regulation of the cell cycle in eukaryotic cells.

List the basic biological characteristics of the major pathogenic eukaryotes and explain (for specific examples covered) the molecular, cellular and biochemical properties of these organisms and how they differ from those of the host

Devise simple experimental protocols to help demonstrate the presence and relevance of these properties

Argue for the importance of work on these organisms to biomedical science

Explain the experimental basis for the key knowledge in 1–3 above

 
For students taking the GE3M09 option, upon successful completion of this part of the module they will be able to:

Appreciate the importance of focusing on a model organism to explore fundamental questions in biology.

Appreciate the importance of genetic and molecular approaches in the exploration of complex questions in plant biology.

Outline the molecular mechanisms underlying light and hormone perception and signalling.

Outline the molecular mechanisms determining recognition and response in the interaction between plants and (a) Agrobacterium, (b) Rhizobium (c) pathogens.

Outline the role and mechanism of recognition and response in determining the outcome of pollination in flowering plants.

Appreciate the contribution plant genetics and biotechnology can make in agriculture and biotechnology.


 
Module Learning Aims:
Module Content:
Short Content Overview
This module introduces the molecular biology and genetics of eukaryotic organisms, including core concepts such as the cell cycle and regulation of gene expression in eukaryotes.
Module GE3M09 (for Genetics/Human Genetics students) partially overlaps with module MI3M05 (for Microbiology students). Students registered for either of these modules attend some ‘core’ lectures in common, and some lectures specific to GE3M09 or MI3M05. In addition, an associated laboratory practical module, MI3M05-P, is taken by Microbiology students but not by Genetics/Human Genetics students.
‘Core’ lectures forming part of both GE3M09 and MI3M05 include these topics:

Eukaryotic molecular and cell biology (U. Bond, 4 lectures);

Eukaryotic gene expression (M. Ramaswami, 4 lectures);

Protein turnover (A. Bell, 2 lectures);

The cell cycle (S. Martin, 6 lectures).

Lectures specific to GE3M09 only (not MI3M05) include these topics:

Plant molecular genetics (T. Kavanagh, 14 lectures).

Lectures specific to MI3M05 only (not GE3M09) include these topics:

Molecular biology of fungal and protozoan pathogens (A. Bell, 8 lectures).

Molecular biotechnology (U. Bond, 8 lectures).


 
",5
GE3M11,Genomics,CoordinatorFrank Wellmer,"Learning Outcomes:
See Module Learning Aims
Module Learning Aims:
On successful completion of this module students should be able to:

Summarise the current state-of-the art in genome sequencing technology.

Show a good working knowledge of molecular tools used in post-genome genetic analysis.

Describe the major functions of key bioinformatics databases.

Explain the principles underlying gene annotation, sequence similarity searches, sequence alignment, phylogenetic analysis, and other core bioinformatics tools.

Articulate the concepts underlying genomics and systems biology.

Differentiate between system-wide and reductionist approaches in biology.

Correctly use the terminology specific to genomics and systems biology.

Design experimental strategies for an analysis of a biological system on a global scale.

Discuss the inter-disciplinary nature of approaches of systems biology and genomics.
Module Content:
Short Content Overview
The module will introduce core concepts in genomics, bioinformatics, and systems biology. Beginning with the sequencing of the first bacterial genome in 1995 and first draft of the human genome in 2001, our ability to determine the DNA sequences of complete genomes has revolutionized the way that genetic analysis is carried out. The result that the study of genomes is central to all modern genetics. This module provides an introduction to:

the methods and technologies used to sequence genomes;

molecular genetics techniques that can exploit genomic data to be used to study the function of genes;

bioinformatics, which is the use of computers to store and analyse genomic and other large-scale molecular biological data; and

systems biology, which is the study of how genetic networks and whole cells work
",5
GE3M13,Neurogenetics And Drosophila,CoordinatorKevin Mitchell,"Learning Outcomes:
See Module Learning Aims

 
Module Learning Aims:
On successful completion of this module students should be able to:-

Outline the principles of the genetic approach to problems in neuroscience.

Describe the application of transgenic technologies to neuroscience.

Explain the basic principles of the coordination of cellular differentiation during development.

Assess the genetic mechanisms underlying development of the cerebral cortex and their implication in disease.

Describe the effects of genetic variation on neuronal structure and function.

Explain the role of gene regulation in learning and memory.

Describe the effects of genetic variation on behaviour, cognition and perception.

Outline the principles of genetic screens.

Outline the principles of the analysis of genetic interactions.
Module Content:
Short Content Overview
The module will introduce the fundamentals of neuronal architecture, neuronal excitability and synaptic function, sensory systems, circadian rhythms, perception and learning and their analysis by genetic methods in model organisms (M. Ramaswami). It will introduce the genetics of neural development and behaviour, including psychiatric and cognitive genetics, and principles of nervous system evolution (K. Mitchell). These topics will also describe methods for neurogenetics in the fruitfly Drosophila melanogaster, the mouse and in humans. The module will also consider more generally the principles and logic of genetic analysis, using detailed examples from Drosophila (P. Labrador).
",5
GE3M15,Medical Genetics,co-ordinatorPeter Humphries,"Learning Outcomes:
See Module Learning Aims

 
Module Learning Aims:
On successful completion of this module students should be able to describe and display understanding of key aspects of:

Medical genetics.

The analysis of quantitative genetic traits.

Pharmacogenomics
Module Content:
The module introduces the genetics of human disease, from simple Mendelian traits to complex multigenic diseases and gene/drug interactions. Topics include the development of medical genetics from 1752 to the ‘post-genome’ era; the spectrum of human autosomal recessive diseases; RFLP analysis and the statistical evaluation of linkage data; localization and isolation of the Huntington disease gene; congenital diseases caused by chromosomal imbalance; diseases involving repeat expansions; developments and setbacks in the use of gene and molecular therapies for treatment of hereditary diseases; and pharmacogenomics (interaction of genetic background with drug response). The module also covers analysis of quantitative traits: complex human diseases such as type 2 diabetes; approaches to mapping genetic variants responsible for complex traits; heritability; genome wide association mapping.

 
",5
GE3M17,Evolutionary Genetics,co-ordinatorKen Wolfe,"Learning Outcomes:
See Module Learning Aims

 
Module Learning Aims:
On successful completion of this module students should be able to describe and display understanding of key aspects of:

DNA mutation, repair and recombination

Population genetics

Molecular evolutionary genetics


 
Module Content:
This module provides an introduction to genetic variation – its origins and its evolutionary consequences. The information in DNA is not always transmitted accurately from one generation to the next. DNA sequences can change spontaneously by the process of mutation and inaccurate DNA repair, resulting in genetic variation (polymorphism) within populations. Variable sites at different positions in the genome get shuffled into new combinations by the process of genetic recombination that occurs during sexual reproduction. Whether a particular variant (allele) survives for a long time in a population or goes extinct depends on the evolutionary forces acting on the population. If a new allele is advantageous to the population, Darwinian natural selection will tend to increase its frequency in the population; alternatively, if the new allele is disadvantageous natural selection will tend to eliminate it. However, if the population is small, random events (genetic drift) can overcome the power of natural selection.
",5
GE3M21,Molecular Genetics Laboratory,Tony Kavanagh,"Learning Outcomes:
Upon successful completion of this m odule, the student will be familiar with:

widely used experimental strategies and techniques in molecular genetics/ molecular biology

the isolation and purification of genomic and plasmid DNA

the polymerase chain reaction (PCR)

the use of agarose and polyacrylamide gel electrophoresis in the analysis of DNA, RNA and proteins

genetic transformation of E. coli

gene cloning and analysis in plasmid vectors

lacZ, GUS and GFP reporter gene assays

transduction
Module Learning Aims:
Module Content:
GE3M21 comprises a set of robust experiment-based projects in microbial and molecular genetics that have given us consistently good results in the Junior Sophister class environment for more than twenty years. The central theme is gene expression and its regulation. GE3M21 will be administered on-line.

In the labs, students work in groups of two. Each project runs over several weeks, with students performing successive experiments in two or three different projects during each session. The experiments provide invaluable hands-on experience of widely used experimental strategies and techniques in molecular genetics/ molecular biology, which include: the isolation and purification of genomic and plasmid DNA; the polymerase chain reaction (PCR); the use of agarose and polyacrylamide gel electrophoresis in the analysis of DNA, RNA and proteins; genetic transformation of E. coli; gene cloning and analysis in plasmid vectors; lacZ, GUS and GFP reporter gene assays; transduction etc.

 
",5
GE3M23,Analytical Genetics Laboratory,co-ordinatorJuan Pablo,"Learning Outcomes:
Upon successful completion of this module, the student will be able:

to perform basic fly husbandry;

to separate male and female Drosophila and identify virgin females;

to identify dominant genetic markers associated with different balancer chromosomes;

to map genes using balancer chromosomes;

to use the UAS/Gal4 system to generate new phenotypes through misexpression of genes;

to carry out a classical anatomical genetic screen for recessive lethal mutations involved in a developmental process (axonal guidance across the CNS midline)

to carry out a modifier screen for epistatic genetic modifiers of a phenotype.
Module Learning Aims:
Module Content:
GE3M23 is a laboratory module that introduces students to genetic analysis and molecular genetics in the fruit fly Drosophila melanogaster, an important model organism. Students will learn basic fly husbandry; how to separate male and female Drosophila and identify virgin females; to identify dominant genetic markers associated with different balancer chromosomes; to map genes using balancer chromosomes; to use the UAS/Gal4 system to generate new phenotypes through misexpression of genes; to carry out a classical anatomical genetic screen for recessive lethal mutations involved in a developmental process (axonal guidance across the CNS midline); and to carry out a modifier screen for epistatic genetic modifiers of a phenotype.
",5
GE3M25,Data Handling,co-ordinatorKen Wolfe,"Learning Outcomes:
Upon successful completion of this module, a student will be able to:

-    Use online bioinformatics resources to analyse and annotate a DNA sequence.

-    Find data in GenBank and other sequence databases.

-    Make pairwise and multiple sequence alignments of sequences.

-    Construct and interpret phylogenetic trees.

-    Write short computer programs to manipulate DNA sequences and other data.

-    Identify the appropriate statistical test for a particular data type.

-    Carry out statistical tests.

 
Module Learning Aims:
Module Content:
GE3M25 is a practical module focusing on the handling and analysis of data. It is made up of three parts, each of which is examined by continuous assessment.
Bioinformatics practicals (Prof. Ken Wolfe)
Following on from the bioinformatics component lecture module GE3M11, students will carry out a short project relating to the annotation and analysis of a DNA sequence. They will gain hands-on experience of using software tools including Artemis BLAST, Clustal, and Seaview, and of working with genome databases.
Computer programming in Perl (Dr. Karsten Hokamp)
Introduction to the Perl programming language, with emphasis on applications to bioinformatics and DNA sequence analysis. Students learn to write programs to handle DNA sequence data, for example translate DNA into protein and to use regular expressions to search for motifs in sequences.
Statistics (Prof. Mario Fares)
The objective is to make students see the need for understanding data analysis as a step preceding the design of new experiments. The lectures include:

1. Description of main concepts in Statistics including sampling, descriptive statistics and probability distributions.

2. Probabilities and Probability Distributions.

3. Hypothesis testing.

4. Analysis of Variance.

5. Linearity testing of relationships between variables.

6. Factor variance analysis and re-building of new hypothesis.

The course is highly active and requires the active participation of the students. This is assured by presenting example problems and by asking students to form groups to address the problem. The course is given in 4 sessions of two hours each and the understanding of the students is examined through a final test, which includes 4 questions. Two of the questions are short answers and the other two consist of developing a problem and unfolding the possible conceptual and statistical solutions.

 
",5
GE3M31,Review (Genetics),co-ordinatorKevin Devine,"Learning Outcomes:
Module Learning Aims:
Module Content:
Students write a review (up to 25 pages) of the recent literature in a particular area of genetics research, supervised by individual members of the academic staff. The topic can be chosen by the student or suggested by staff. The objective of the review is to bring the reader up-to-date on the subject under review. Students should first consult major texts to understand the historical aspects of the subject, and then the most recent major published review articles to discover the current state of the field. They should find and critically assess the major research papers in the field during the previous approximately 5 years, and attempt to define the interesting questions that remain to be answered.
",5
GE3M41,Tutorial (Genetics),co-ordinatorFrank Wellmer,"Learning Outcomes:
Module Learning Aims:
Module Content:
Students meet in small groups with lecturers for discussion and problem-solving in an informal setting. Topics include genetic analysis, mathematical genetics, medical genetics and ethics.
",5
GEU33201,Review (Hum Genetics),,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
GE3M43,Tutorial (Human Genetics),co-ordinatorFrank Wellmer,"Learning Outcomes:
Module Learning Aims:
Module Content:
Students meet in small groups with lecturers for discussion and problem-solving in an informal setting. Topics include genetic analysis, mathematical genetics, medical genetics, and ethics.
",5
GE4013,Genetics Literature Review,,"Learning Outcomes:
On successful completion of this module students should be able to:

Deliver a comprehensive review of a topic of significance in the field of Genetics

Provide a historical summary of the chosen field and critically analyse the current literature

Convey an understanding of the subject


 
Module Learning Aims:
Module Content:
",5
GE4014,Genetics Research Project,,"Learning Outcomes:
On successful completion of this module students should be able to:

Work safely and constructively in a genetics or bioinformatics labroratory setting

Demonstrate expertise in molecular genetic, computational or analytical techniques

Record adequately and accurately their practical work in a laboratory notebook

Conduct research in a specific topic in genetics

Write up their research methods, results and conclusions together with a review of the field in an appropriate scientific style.


 
Module Learning Aims:
Module Content:
",15
GE4015,Problems Paper,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
GE4016,Essay Paper,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
GE4060,Neurogenetics,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
GE4012,Human Genetics Research Project,,"Learning Outcomes:
On successful completion of this module students should be able to:

Work safely and constructively in a genetics or bioinformatics labroratory setting

Demonstrate expertise in molecular genetic, computational or analytical techniques

Record adequately and accurately their practical work in a laboratory notebook

Conduct research in a specific topic in Human Genetics

Write up their research methods, results and conclusions together with a review of the field in an appropriate scientific style.


 
Module Learning Aims:
Module Content:
 
 
",15
GEU44201,Human Genetics Research Project And Review,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",20
GE4210,Human Genetics Core Curriculum I,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",10
GE4220,Human Genetics Core Curriculum Ii,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",10
GE4230,Principles Of Human Genetics And General Genetics,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",10
GE4216,Human Genetics Paper 6,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
GE4215,Human Genetics Paper 5,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
GE4110,Medical And Cellular Genetics,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",10
GEU44500,Neurogenetics,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
MI3M01,Microbial Physiology & Biochemistry,Prof's Alastair,"Learning Outcomes:
On successful completion of Microbial Physiology students should be able to:

Explain the difference in bacterial and yeast cell wall structures and describe some specialised functions of cell wall-associated components such as bacterial flagella and yeast flocculins.

Describe the various responses of microorganisms to nutrient depletion, including sporulation in yeasts and bacteria, and quiescence and apoptosis in yeasts, discuss the regulatory mechanisms governing these processes, highlight the major similarities and differences between sporulation in yeasts and bacteria and comment upon the role of apoptosis in a unicellular organism.

Describe the general features of sugar uptake systems in yeasts and bacteria

Describe the major pathways (mechanisms and outcomes) of glucose sensing and signalling in yeasts and bacteria.

Describe the general features of the major metabolic pathways covered, and explain how different pathways are utilised for energy release from nutrients in response to the environment.

Outline the experimental approaches used to elucidate the microbial physiology topics covered in 1–5

Describe procedures for the successful isolation of the various subcellular fractions/compartments of bacteria.

Discuss the mode of action and uses of detergents in membrane biology.

Describe the basic properties of membrane proteins.

Describe a variety of chemical, immunochemical, molecular genetic and cross-linking techniques used in the analysis of membrane and membrane protein architecture.

Interpret the results of data derived from the use of the experimental techniques.

Demonstrate experimental skills in the principal methodologies used to prepare membrane fractions from bacteria.

Conduct common experiments using a variety of biochemical and immunochemical techniques employed in the analysis of membranes and their components.

Employ basic biochemical conventions, definitions and principles, and use them in data management.

On successful completion of Bacterial Surfaces and Biomembranes & Cell Surfaces students should be able to:

Describe the structure, function and biological properties of the major surface polymers of bacteria

Detail the biosynthesis of peptidoglycan and other selected surface polymers and demonstrate an appreciation of the reactions targeted by antimicrobial agents

Detail the structure and biological properties of the principal classes of bacterial lipids

Discuss the importance of the gel-liquid crystalline phase transition in biological membranes

Explain homeoviscous adaptation and the molecular mechanisms involved

Use molecular graphics computer software

Recognise the principal structural features of proteins and nucleic acids

Describe display modes for various atomic bond types

Interrogate Protein Data-Base files to derive, display and highlight important structural information about the target molecule(s) and the nature of any ligand-protein interactions involved

Locate external databases and other resources to provide additional structural information on the target molecule.

On successful completion of Protein Structure & Function Students and Protein Analysis students should be able to:

Recall and integrate key knowledge and concepts of the hierarchy of polypeptide structure and the forces that stabilize the three-dimensional shape of proteins

Define how protein structure is linked to biological activity, and with examples, propose how inappropriate structure is linked to human diseases

Categorize enzymes into various classes and demonstrate an understanding of how to assay biological activity in the laboratory

Demonstrate an understanding of the mechanism of enzyme inhibitors and propose how this can be exploited for drug therapy

Describe the complex kinetics of multi-substrate catalytic reactions and identify and compare the assays utilized to study the mechanisms

Recognize the functional group of biological molecules, such as lipids, DNA and proteins, and relate how the chemistry is linked to biological function.
 

 

 
Module Learning Aims:
Module Content:
Microbial physiology lecture description (AF & JG): This course deals with bacterial motility, yeast flocculation, chemotaxis, cell proliferation, nutrition, nutrient uptake, catabolite repression, Embden-Meyerhof pathway, Entner Douderoff pathway, pentose phosphate pathway, TCA cycle, the Glyoxylate by-pass, electron transport chains, the chemiosmotic hypothesis, oxidative phosphorylation, anaerobic respiration, diversity in energy metabolism, fermentation, biosynthesis, adaptation to nutrient depletion and cell death. 

This course will also deal with aspects of bacterial cell structure and function. Particular emphasis is placed on structures which decorate bacterial surfaces. The structure and biosynthesis of these components and their contributions to virulence are examined. 

The biochemistry lectures (KM & AK) involve a description of protein structure and folding, beginning with amino acid chemistry. The hierarchy of protein folds, and the forces that shape a compact and globular 3-dimensional structure are discussed. Specific examples are shown, such as DNA-binding proteins, globins,and immunoglobulins to highlight the link between fold and function. Prion proteins are discussed in the context of protein folding. Different methods of examining protein structure and function are also discussed.

MI3MO1 - Practical

Biomembranes and Cell Surfaces practical description (AF):   This course deals with preparation of inner and outer membranes of Escherichia coli, preparation of cytoplasmic membranes of Micrococcus luteus, dry weight determinations for cell yields of M. luteus, numeracy exercises, analytical techniques for bacterial membranes including Lowry protein assay, solubilization of membranes, SDS-PAGE, Western blotting and spectrophotometric assays of membrane preparations for enzymes. The course is designed to maximize hands-on experience and to teach data handling and interpretation.


 
",10
