code,name,lecturer,description,ects
BCHA1,Art In Ireland: Making And Meaning 1,CoordinatorAngela Griffith,"Learning Outcomes:
 On successful completion of this module students should be able to: 

Understand generally the key developments and chronology of Irish Art and architecture from pre-history to the 19th century

Identify key stylistic movements and associated ideologies in Irish visual culture

Identify major Irish works and their authors

Understand visual culture can reflect aspects of Irish society and history

appreciate art historical approaches and understand the processes and materials of art and architecture


 
Module Learning Aims:
Module Content:
The module is designed as an introduction to aspects of Irish visual culture dating from pre-history to the nineteenth century. Lectures will include the identification of key works from Irish art and architecture addressing fine applied and popular art-forms. Throughout the module selected examples of Irish art and visual culture will be discussed within its artistic social and cultural contexts and will be cognisant of its place within a broader European perspectives. Attendance at all lectures and seminars is compulsory.

 
",5
BCHA2,Art In Ireland: Making And Meaning,CoordinatorAngela Griffith,"Learning Outcomes:
 On successful completion of this module students should be able to: 

Understand generally the key developments and chronology of Irish Art and architecture from pre-history to the 19th century

Identify key stylistic movements and associated ideologies in Irish visual culture

Identify major Irish works and their authors

Understand visual culture can reflect aspects of Irish society and history

appreciate art historical approaches and understand the processes and materials of art and architecture


 
Module Learning Aims:
Module Content:
The module is designed as an introduction to aspects of Irish visual culture dating from the nineteenth to the end of the twentieth century. Lectures will include the identification of key works from Irish art and architecture addressing fine applied and popular art-forms. Throughout the module selected examples of Irish art and visual culture will be discussed within its artistic social and cultural contexts and will be cognisant of its place within a broader European perspectives. Attendance at all lectures and seminars is compulsory.
 

 
",5
BCHIS1,Europe 1000-1250: War And Society In The Age Of The Crusades,Co-ordinatorIan Robinson,"Learning Outcomes:
 On successful completion of this module students should be able to:

Outline chronologically key events and developments in the history of western Europe and the Near East during the high middle ages

Assess the causes and immediate consequences of the crusades

Discuss the core features of European society during the high middle ages

Analyse the impact of different aspects of political social and military development on Europe during the high middle ages

Undertake a basic analysis and evaluation of selected primary sources in translation relating to European and crusading history in the high middle ages

Present and discuss in written and oral format analysis of key questions relating to the history of Europe and the Near East during the high Middle Ages.
Module Learning Aims:
The aim of this module is to survey key developments in European history during the high middle ages.
Module Content:
This module deals with social and political change in Europe during the two-and-a-half centuries of the development of the crusading movement. It focuses in particular on the internal development of France Germany Italy Spain Byzantium (the Eastern Christian Empire based on Constantinople) and the crusading colonies in the Near East. The most important themes are the development of royal and imperial authority the structure of aristocratic society rebellion and the threat of political disintegration warfare as a primary function of the secular ruling class and the impact of war on the development of European institutions.
",5
BCHIS2,American History: A Survey,Co-ordinatorCiaran Brady,"Learning Outcomes:
 On successful completion of this module students should be able to:

Outline chronologically key events and developments in the history of north America since the sixteenth century

Assess the causes and consequences for America of the War of Independence the Civil War the two World Wars and the Vietnamese war

Discuss the core features of north American society since the colonial era

Analyse the impact of different aspects of political social and cultural development in north America since colonial times

Undertake a basic analysis and evaluation of selected primary sources relating to aspects of north American history

Present and discuss in written and oral format analysis of key questions relating to the history of North America since the colonial period.
Module Learning Aims:
The aim of this module is to survey key developments in north American history since the sixteenth century.

 
Module Content:
An introduction to the main events of American history from the beginnings of English colonization in the early seventeenth century to the present this module is divided chronologically in two parts. Among topics covered are the colonial period; the establishment of American independence; the U.S. constitution; slavery; the Civil War; industrialization urbanisation and the problems of a multi-ethnic society. Changes in American popular culture are considered as are the emergence of the US as a world power and American foreign policy.
",5
BCHIS5,Humans And Nature In History,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
BCHIS6,Life In Modern Ireland,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
BCHIS7,Ireland In The 20Th Century,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
CL1002,Mythology And Religion,Organisers Christine,"Learning Outcomes:
On successful completion of this module students should be able to:

Demonstrate familiarity with the main characters stories and themes of classical myths

Discuss the major theories of myth in relation to the classical material

Build up a basic knowledge of the central religious beliefs and practices of the Greeks and Romans in their historical and cultural context

Acquire a knowledge of the primary sources for the study of myth and religion

Learn to use the different sources critically and to understand what kinds of questions and interpretations the evidence can support

Understand mythic ideas and religions on their own terms and to avoid imposing our own beliefs and values on other cultures


 
Module Learning Aims:
Module Content:
What is myth? How do myths deal with fundamental human concerns about who we are and the world we live in? What is the relationship between myth and religion? Why did the Greeks and Romans worship many gods believe in oracles or perform animal sacrifice? This module is an introduction to the major myths and religions of the classical world using the full range of primary source material: literary artistic and archaeological. It explores the functions of myth within society and the various theories of myth. The first half of the module will focus on themes such as the creation myths in the wider context of Near Eastern mythology the character of the Olympian gods heroes and their monstrous opponents divine-human relations and the major mythic cycles of the Trojan war and the Atreus and Theban sagas. The second half of the module will explore the nature of Greek and Roman religion in its social context. It considers key elements of ritual action: sacrifice rites of passage festivals as well as the diverse ancient beliefs on death and the afterlife and the role of mystery religions.
",10
CL1003,Greek And Roman History - Introduction,OrganiserShane Wallace,"Learning Outcomes:
By the end of the course students will be able to:


Demonstrate basic skills in the evaluation of primary source material and secondary literature

Research select and present relevant information and evidence from primary and secondary sources in the form of a structured argument

Demonstrate basic understanding of the chronology and institutional structures of ancient Greece and Rome the events of Greek and Roman history and Mediterranean geography


 
Module Learning Aims:
Module Content:
This course will examine the history of the Graeco-Roman world from the archaic period to the death of Augustus. It is an introductory survey of key concepts events and terms and presents new source material and ways of thinking about the past and will provide a sound chronological geographical and conceptual framework for understanding the ancient Greek and Roman worlds. Students will be introduced to reading ancient primary sources in translation and evaluating their historical significance as well as made aware of a range of scholarly views on ancient Greek and Roman history
",10
CL1004,Sources And Methods For Ancient History And Archaeology,OrganisersChristine Morris,"Learning Outcomes:
On successful completion of this module students should be able to demonstrate:

Knowledge of basic terminology and its definitions

Understanding of the main practical and intellectual developments in the study of history and archaeology

Understanding of the purposes and methods of history writing in the ancient world

Knowledge of the different categories and types of evidence available and how it survives

Appreciation of the value and limitations of different types of evidence

Ability to analyse the major issues

Ability to communicate the above in verbal and written form


 
Module Learning Aims:
Module Content:
How do archaeologists recover record and interpret material culture? What skills do historians employ when reading and analysing Greek and Roman texts? This module provides an introduction to the primary sources and methodologies employed by historians and archaeologists. It introduces the practical analytical and critical skills required to assess both textual sources and material remains. It explores the nature and reliability of the different types of evidence and challenges students to think about and assess how modern scholars approach the study of the ancient world. The small group seminars for this module focus on developing skills with the primary sources – thinking about who writes history and why working with artefacts such as coins inscriptions and pottery or debating archaeological ethics.

 
",10
