code,name,lecturer,description,ects
BCNM01,Human Rights In The Middle East,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
BCNM02,The Bible In Literature,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
BCNM03,Islam In Europe,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
BCNM04,Jews And European Society From1750,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
BCNM05,Contemporary Islamic Movements,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
BCNM07,Islam In Asia,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
BCNM08,Ancient Empires In The Near Eastern And Mediterranean Worlds,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
BCNM09,Great Jewish Books,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
BCNM10,Islam In The Medieval World,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
CP7000,Mphil Cc Theory And Methodology 1,coordinator Peter,"Learning Outcomes:
The course will enable students to:

•   understand and contextualize a host of relevant material relating to comparative literature and translation studies,

•   apply theory to literature,

•   constantly think about how to apply their reading of theory to a selection of literature that they want to compare,

•   sharpen their critical and analytical skills,

•   learn about the various debates that surround the field of comparative literature and translation studies,

•   research and write an essay (form a hypothesis, structure an argument and build an essay, reference outside sources);

•   and present a paper (form a hypothesis, structure an oral presentation; maintain and sustain relations with the listeners, give an overview of sources)

 
 

 
Module Learning Aims:
Module Content:
Alain Badiou once said that he does not really believe in comparative literature but that it has to be done all the same. Similar theories surround the field of translation, for example, that nothing can be translated or that everything is translatable. Comparison and translation share the fact that something is brought to another side, that boundaries are being crossed in the process of these activities. What is the object of study in comparative literature? How do we or ought we to compare? What are the limits of this field? And how should a text best be translated? Are translated texts like les belles infidèles, beautiful if unfaithful to the original and ugly if not? These are among the questions we will discuss in this seminar. This course is a seminar, not a lecture course, which means that it will live largely from student input and discussion
",10
CP7001,Moving Between Cultures,coordinator Peter,"Learning Outcomes:
On successful completion of this module students will be able to:

•   Demonstrate knowledge of a variety of ways in which travel is used thematically, metaphorically and structurally in literature

•   Contextualise chosen primary texts within an appropriate theoretical framework

•   Analyse texts comparatively

•   Research and write an essay (identify a research question, structure an analysis and discussion, respond critically to primary and secondary sources, provide  references as appropriate)

•   Research and present a paper (identify a research question, structure an oral presentation, use visual aids as appropriate, maintain and sustain relations with the listeners, provide an overview of sources)

 
Module Learning Aims:
Module Content:
The course aims to explore fundamental issues relating to moving between cultures across a representative range of primarily European perspectives, tackling some of the theoretical and methodological issues raised by travel writing and other related forms of cultural expression. ""Moving Between Cutures"" lasts for two 9-week terms (Michaelmas and Hilary), with a couple of extra meetings in the final (Trinity) term. It will follow, in roughly chronological order, at the rate of two hours per week, a series of linguistically and culturally homogeneous mini-corpuses, each of which will raise an important issue relating to travel writing. In this way some of the multiple levels of conception and expression of intercultural movement will be identified and investigated. Two strands in particular will be explored: the theme of the imaginary trip as it moves from legendary travel, through fictional voyage to time travel (with focus on Irish, English, Russian and Slavonic texts); and the theme of travel in the real world as it involves arrivals and departures, homecoming and adventure, cultural and spatial movement (involving Italian, Germanic and Hispanic corpuses). In addition, some of the more specifically theoretical and semiotic issues raised by travel will be confronted in the sessions devoted to the travel writings of recent or contemporary French theorists.
Elements of overlap between these categories and the ultimately problematic nature of any kind of classification of cultural movement and exchange will be explored in a couple of sessions at the end of the year which a number of the class teachers will be present.
",20
CP7002,Dissertation,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",30
CP7003,Mphil Cc Theory And Methodology: Literature And.........,coordinator Peter,"Learning Outcomes:
On successful completion of this model students will be able to:

• analyse literary texts through the lens of another discipline, i.e., think critically in interdisciplinary ways

• understand the importance of crossing boundaries of discourses and ways of thinking

• apply specific theories generated by other disciplines to literary studies.

• research and write an essay (form a hypothesis, structure the essay, think critically about primary and secondary sources and refer to them in footnotes)

• draw on a range of disciplines from cultural studies that broaden the way we interpret literature

• understand comparative literature as more than just comparing literature and present their ideas for the essay in a coherent way by the end of the semester

 
Module Learning Aims:
Module Content:
For obvious intents and purposes the concept of intertextuality is of heightened interest to comparatists and translators, as we are dealing with dialogues between texts. Intertextual studies, however, threaten to collapse into mere random mushroom hunts for parallels between texts, unless such studies contain another element that gives them glue. This third element in a comparison of texts is the tertium comparationis without which comparative literature cannot exist, and from which literary translations will likewise profit. If we compare Joyce's Ulysses with Homer's Odyssey we can do so via mythological patterns or focus on certain motifs or themes that both texts contain. If we compare Richardson's Clarissa with Goethe's Sorrows of Young Werther we may choose to look at the genre of the epistolary novel or other features of the age of sensibility. These examples, however, are still limiting us, since the tertium comparationis stems from literary theory or literature itself. Once we leave literary theory for cultural theory and beyond this for other disciplines, we gain a wider spectrum of possibilities for comparative literature and a deeper understanding of literature for the literary translator. It can therefore be safely ascertained that if they want to be fruitful comparative literature and the art of literary translation have to develop awareness beyond the notion of intertextuality: as part of their hermeneutic motion these two inter-related fields have to interpret literature through the prism of other disciplines. This course will look at literature through various extra-disciplinary lenses and thus try to hone comparatists' skills in moving between various discourses and their practices.
",10
CP7004,Mphil Opt Dantean Echoes,coordinator Cormac,"Learning Outcomes:
On successful completion of this option, students should be able to situate Dante's Comedy within broader processes of literary history, tradition and influence. They should be able to identify and explain some literary, historical or philosophical aspects of Dante's work which made it particularly valuable as a source or intertext for later writers of various nationalities, and to conduct personal research on creative responses by poets, dramatists, fiction writers or visual artists.

 
Module Learning Aims:
Module Content:
We examine the influence of Dante on subsequent writers, and some aspects of Dante's own influences. Intertextual, semiotic, and broadly cultural approaches are offered, allowing wide scope for a variety of comparative approaches. Various lecturers present authors from different national cultures and historical periods - drawn from writers such as Spenser, Milton, Pound, Pasolini, Beckett, Heaney, Carson and Ross Macdonald.
",10
CP7012,Moving Between Cultures - Mphil In European Studies,Caitríona Leahy,"Learning Outcomes:
On successful completion of this module students will be able to:

•   Demonstrate knowledge of a variety of ways in which travel is used thematically, metaphorically and structurally in literature

•   Contextualise chosen primary texts within an appropriate theoretical framework

•   Analyse texts comparatively

•   Research and write an essay (identify a research question, structure an analysis and discussion, respond critically to primary and secondary sources, provide references as appropriate)

•   Research and present a paper (identify a research question, structure an oral presentation, use visual aids as appropriate, maintain and sustain relations with the listeners, provide an overview of sources)

 
Module Learning Aims:
Module Content:
This module explores the way in which literature, in thematising travel / movement / border-crossing, also foregrounds the question of how cultures define themselves in comparison to one another. Sometimes the interaction of cultures is brought about by migration, tourism or war; sometimes it is an imaginative act in which unreal otherworlds or afterlives are explored. What is common to both types of movement, however, is that they show us how individual, collective, national identities are negotiated and constructed in moving between self and other, between the native and the foreign. Travelling through time and space, the history and geography of our comings and goings are recast as a paradigm for reading all culture as the product of a comparison.
",10
CP7014,Postmodernist Literature In East And Central Europe,,"Learning Outcomes:
On successful completion of this module, students should be able to:
• demonstrate a sophisticated and informed understanding of postmodernism/
postmodernity, with particular application to the recent literature of Central and
Eastern Europe
• analyse recent literary texts within the conceptual framework of postmodernity, with particular application to literary cultures of the communist and postcommunist world
• demonstrate a nuanced understanding of the experience of communist and postcommunist cultures in Eastern and Central Europe
Module Learning Aims:
The module explores the notion of postmodernism/postmodernity across a range of literatures and language cultures from among the former communist states of East and Central Europe, through study of a range of key literary texts. While the selected texts all represent the type of self-reflexive, subversive and playful approaches characteristic of postmodernism generally, the module will also focus on the vestiges of both totalitarian thinking in and the day-to-day realities of the former communist world, as well as the conflicted ideologies and confused identities of contemporary post-Communist East/Central Europe, as expressed in the chosen texts.
Module Content:
The module surveys a range of recent fictional works by writers from ex-Communist countries of East and Central Europe (Russia, Ukraine, the Czech Republic and Slovakia, Poland, East Germany, Bulgaria, Bosnia/Croatia/Serbia).
",10
CP7015,Mphil Opt Dantean Echoes,Cormac Ó,"Learning Outcomes:
On successful completion of this option, students should be able to situate Dante's Comedy within broader processes of literary history, tradition and influence. They should be able to identify and explain some literary, historical or philosophical aspects of Dante's work which made it particularly valuable as a source or intertext for later writers of various nationalities, and to conduct personal research on creative responses by poets, dramatists, fiction writers or visual artists.
Module Learning Aims:
This course examines the influence of Dante on subsequent writers, but also, in part, some aspects of Dante's own debt to predecessors. Intertextual, semiotic, and broadly cultural approaches are offered, allowing wide scope for a variety of comparative approaches. Various lecturers present authors from different national cultures and historical periods - drawn from writers such as Spenser, Milton, Pound, Pasolini, Beckett, Heaney, Carson and Ross Macdonald.
Module Content:
",10
EU1003,Introduction To The History Of Ideas,,"Learning Outcomes:
By the end of this module, students will be familiar with some of the major themes and debates in the Cultural History and the history of thought of the latenineteenth and early twentieth century. They will have learned to analyse primary sources and to put them into their cultural and political contexts. Students will also have been introduced to some key concepts, theories and methodologies of cultural history.
Module Learning Aims:
Module Content:
",10
EU2001,"The Making Of Modernity, 1750-1820",,"Learning Outcomes:
By the end of this module, students will be familiar with key concepts of modernity in thought and culture as they developed during the 18th and early 19th century. They will also have been introduced to a variety of primary sources and some of the different methods and approaches that can be used in their analysis.
Module Learning Aims:
Module Content:
",10
EU4002,Modernity And Society,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",10
EU7000,Europe And Its Other(S),Balázs Apor,"Learning Outcomes:
On successful completion of this module, students should be able to:
- Contextualise chosen texts within an appropriate theoretical framework
- Research and write an essay (identify a research question, structure an analysis and discussion, respond critically to primary and secondary sources, provide references as appropriate)
- Research and present a paper (identify a research question, structure an oral presentation, use visual aids as appropriate, maintain and sustain relations with the listeners, provide an overview of sources)
- Identify and evaluate the complexity of meanings attached to the concept of Europe
- Describe how the concept and the idea of Europe emerged in history
- Assess how identities are constructed and culturally conditioned
Module Learning Aims:
The aim of the module is to present the dynamics of exclusion-inclusion practices, and to investigate the way such practices shaped the development of the idea and representation of Europe in European culture.
Module Content:
The module explores various aspects of the construction of Europe as an idea, a utopia and a political project as well as a form of identity. The main focus of the module will be on the construction of Europe as opposed to an imagined ‘Other’, perceived in cultural, geographic, ethnic and racial terms in different time periods over history.
",20
EU7001,Dissertation,,"Learning Outcomes:
Module Learning Aims:
The aim of the dissertation is to enable students to devise, initiate and complete an original research project, in a defined time-frame and drawing on the insights, skills and knowledge acquired during their study on the M.Phil. programme.
Module Content:
The dissertation process serves both developmental and scholarly purposes, and the completed work will be assessed in terms both of its intellectual content and of its presentational accuracy and clarity.
",30
EU7003,Cultures Of Memory And Identity In Central Europe,coordinator Clemens,"Learning Outcomes:
On successful completion of the module, students should be able to
- Contextualise chosen texts within an appropriate theoretical framework
- Research and present a paper and write an essay (identify a research question, structure an oral presentation, use visual aids as appropriate, structure an analysis and discussion, respond critically to primary and secondary sources, provide references as appropriate)
- Identify and analyze the complexity of meanings attached to the concept of Central Europe
- Apply core terms of cultural theory
Module Learning Aims:
To provide a better knowledge of the CEE countries and to offer an introduction to some crucial approaches in cultural studies to inform future projects of the student.
Module Content:
The course brings together selected chapters of Central European area studies with central notions of cultural theory such as space, memory, nation and identity, transformation/transition, etc.
",10
EU7005,Cinema In Communist And Post-Communist Eastern Europe,Balázs Apor,"Learning Outcomes:
On successful completion of the module, students should be able to
- Research and write an essay (identify a research question, structure an analysis and discussion, respond critically to primary and secondary sources, provide references as appropriate)
- Research and present a paper (identify a research question, structure an oral presentation, use visual aids as appropriate, maintain and sustain relations with the listeners, provide an overview of sources)
- Discuss cinematic works from a range of East and Central European cultures
- Analyze from a critical point of view the experience of living in Communist societies
- Appraise the problems and challenges faced by post-Communist societies

 
Module Learning Aims:
The aim of the course is to explore the experience of Communism and its aftermath in a number of East and Central European countries, as expressed through the medium of film.
Module Content:
The course examines the ways in which communism was represented on the cinema screens in countries of the former Eastern bloc both before and after 1989. Films from Hungary, Russia/Soviet Union, Poland, Czechoslovakia and Yugoslavia will be discussed in the framework of the module.
",10
EU7008,Eu-Russia Relations,,"Learning Outcomes:
Students will be able to discuss and evaluate the complexity
of EU-Russia relations. They will be able to examine and critically analyse the relevance and potential benefits from the implementation of key EU policies towards Russia and its neighbours. Students will acquire a specialist understanding of the Russian Government’s official position towards the EU. Students will be able to debate the challenges facing EU-Russia relations and to assess the implications of any broader geo-political and socio-economic issues which Russia and the EU could encounter in the near future.
Module Learning Aims:
This module aims to present students with a comprehensive analysis of the complexity of relations between the EU and Russia over the past 50 years. The module will provide students with up-to-date information about recent developments in Russia’s foreign policy towards the EU, its revaluation of external security and its strengthening of military and defence capabilities. The module will also present students with detailed coverage of Russia-EU trade relations and economic cooperation, especially in the exploration of Russia’s untapped natural resources. The module will focus not only on EU-Russia relations but will also give students the opportunity to broaden their knowledge of the former Soviet Union countries which play a pivotal role in EU-Russia relations, particularly in regards to the implementation of Eastern Partnership programmes and the EU search for alternative energy suppliers to bypass Russia.
Module Content:
TOPICS:
- The overview of EU/Soviet Union relations from the 1960s to Gorbachev’s perestroika.
- A new stage of EU/Russian Federation relations after the dissolution of the USSR: The Partnership and Cooperation Agreement.
- The Concept of Four Common Spaces.
- Enlargement of the EU to the East and Russia’s complex relations with the “New Europe”.
- “Road Maps” and Russia-EU Partnership for Modernisation programmes.
- The rapid development of trade links and growing economic interdependency.
- EU energy security policies and increasing reliance on Russian raw materials: Current and future exploration of the Arctic region.
- The Commonwealth of Independent States and its relations with the EU.
- From Prague 2009 to Riga 2015: Implementation of the Eastern Partnership programme and Russia’ reaction to it.
- The deterioration of EU-Russia relations in light of the current Ukrainian situation and the introduction of economic sanctions.
- Creation of the Eurasian Economic Union and its relations with the EU. Potential challenges and scenarios for future development.
",10
EU7010,Europe And Its Identities,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",10
FR1008,Oral Contemporary France,,"Learning Outcomes:
Learning Outcomes:
On successful completion of this module students should be able to:
• Use an extensive vocabulary in written and oral French.
• Recall key aspects of France, its geography, its recent history, its institutions, its political life, and its lifestyles.
• Extract key information from French written and spoken sources.
• Apply basic grammatical concepts and terminology relating to the French language, in oral expression.
• Use a more sophisticated grammatical precision in oral expression.
• Develop and expand a solid active and passive vocabulary in French oral expression.
• Understand French through a variety of different media, including radio and news broadcasts, lectures and discussions.
• Prepare and deliver short oral presentations on topics of general interest or relating to contemporary France.
• Engage in conversations on these topics and show an awareness of different registers.
Module Learning Aims:
Through discussion concerning aspects of contemporary France, this class aims to develop aural comprehension and oral expression.
Module Content:
Introduction to French society, la francophonie, 3. France métropolitaine et France d’outre-mer, 4. les régions de la France, Paris et sa banlieue, L’éducation, 9. Les Françaises, Institutions et vie politique, L’Ancien Régime, La Révolution française, La Belle Époque / La IIIe République, La France d’après-guerre, Le colonialisme français, Mai 68, la politique contemporaine, la société française d’aujourd’hui 
",10
FR1011,Texts,,"Learning Outcomes:
On successful completion of this module students should be able to:
• Read, understand and analyse critically and independently, in English and in
French, a variety of texts in French (literary prose, poetry and drama),
documents and films from the 20th century
Module Learning Aims:
This module aims to provide an introduction to selected works of French literary prose, poetry, drama, and French cinema..
Module Content:
Introduction to JF texts, Beckett: language and modernity, Beckett's En attendant Godot, an introduction to Sartrean Existentialism, aspects of Sartre, Huis Clos: themes and dramatic features, Alain Resnais, 1959, Hiroshima, mon amour, Kassovitz, La Haine, Modern French short fiction, Ernaux, La Place, Modiano, Chien de Printemps, French poetry: discourse or text?, The French verse line, Rhyme, Poetic forms. 

 
 
",10
