code,name,lecturer,description,ects
BCLAW,Introduction To Criminal Law,David Prendergast,"Learning Outcomes:
Having successfully completed this module, students should be able to:

Identify criminal laws by using primary materials such as statutes and appellate court judgments;

Apply criminal law doctrine, precedent, and statute for the purpose of assessing criminal liability;

Critically analyse substantive criminal law;

Engage in detailed critical discussion of the offences of murder, manslaughter, and rape, as well defences to these offences;

Research, reason, and write in the style of criminal law lawyers.
Module Learning Aims:
This module will introduce the main features of the criminal law system and the operation of criminal liability.
Module Content:
The module is both practical and theoretical. Practical in that you will develop skills to identify the criminal law on an area and apply it to factual scenarios. The module is theoretical in that you will explore and develop critical perspectives on various aspects of criminal law.
The focus is on substantive criminal law. Substantive criminal law refers to the definitions of specific offences and the operation of criminal liability. Substantive criminal law is distinguished from procedural criminal law. Procedural criminal law is the law governing the processes of trial and punishment for criminal wrongdoing. The Introduction to Criminal Law module will involve studying numerous judgments of the Irish courts (and those of England and Wales) in past criminal cases. Important cases from other jurisdictions will also feature. It should be noted that in studying criminal cases we read what the judges say about the law and its application in the case at hand. This means that the focus is not on questions of fact - such as who really committed the crime, the accuracy of forensic evidence, and so on - but rather on questions of law: whether it is murder to end the life of someone who is about to die anyway, whether you can be convicted for a crime you performed while intoxicated to such an extent you didn't know what you were doing, whether you can be punished for accidentally polluting a river and so on.
Much of Introduction to Criminal Law is concerned with how the law requires certain external events and certain states of mind as prerequisite for criminal guilt. This involves study of the doctrines and principles of criminal liability. There will be a special focus on defining and applying what are commonly considered to be the most serious offences in the criminal calendar: murder, manslaughter, and rape. The essential basics of criminal procedure and rules of evidence will be covered.
",5
BCLAW2,The Prison System,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
LA1015,Torts,Des Ryan,"Learning Outcomes:
Having successfully completed this module, students should be able to:

Identify and analyse the key principles underlying the law of tort;

Use appropriate legal concepts, relevant judicial precedents and statutory law to solve concrete practical problems;

Explain how tort law seeks to give effect to social policies as well as address issues of personal responsibility;

Differentiate between liability for intentional wrongs, negligence and strict liability;

Discuss the principles of compensation and their practical application in specific contexts.
Module Learning Aims:
Module Content:
This module is designed to provide Freshman students with an introduction to the law of torts. Topics covered include the major torts such as negligence, defamation and nuisance, but also issues such as defences, limitation periods and the interaction between the law of torts and the Constitution.
",10
LA1016,Constitutional Law I,Oran Doyle,"Learning Outcomes:
Having successfully completed this module, students should be able to:

Map the basic structure of government in Ireland;

Identify, evaluate and critique the role of constitutional law in ensuring respect for human rights and democratic governance; Apply constitutional law concepts and doctrines for the purpose of solving concrete practical problems;

Identify the role which judicial interpretation plays in the development of constitutional law;

Critically analyse the case law interpreting Articles 38, 40 and 43 of the Constitution, articulating a coherent position on the ways in which constitutional law should develop in the future;

Apply critical analysis and problem-solving skills and techniques to different essay and problem-based questions on the implications of the above constitutional provisions;

Write convincingly on basic issues in the development of Irish constitutional law, grounding analysis in the constitutional text and decided cases
Module Learning Aims:
Module Content:
Constitutional law I introduces students to the study of constitutional law and theory, addressing a number of key doctrines and significant points of debate. The first part of the module addresses a number of constitutional rights, including rights relating to the criminal trial, equality and unenumerated rights. The second part of the module addresses the separation of powers under the Irish Constitution, focusing on the limits of and interaction between the legislative, judicial and executive powers of government. The third part of the module addresses the overarching issues of constitutional litigation and constitutional interpretation.
",10
LA1020,Introduction To The German Legal System,Bilun Mueller,"Learning Outcomes:
Having successfully completed this module, students should be able to:


Identify the differences between German public and private law

Understand the civil law system and identify the differences to the Common Law system

Identify the structure and key elements of the German Constitution

Analyse and understand the structure of the state institutions and their interconnection in the political process

Explain the role of basic and human rights, both from a philosophical-historical and a German constitutional perspective

Solve cases following the procedures provided in the Basic Law

Discuss problems and the key jurisdiction of German Constitutional Law

Present and discuss problems of German Constitutional Law orally and in a Hausarbeit


 
Module Learning Aims:
Module Content:
This is a course designed to provide Law and German Junior Freshman students with an introduction to the German legal system with an emphasis on German constitutional law. Topics covered include the German constitutional history, German legal methods, but also the state organs as well as the protection of human rights.

 
",10
LA1023,Foundations Of Law,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",10
LA1041,French Legal Tradition,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
LA1203,Criminal Law,Ivana Bacik,"Learning Outcomes:
Having successfully completed this module, students should be able to:


Identify and critically analyse the basic principles of criminal liability and substantive criminal law;

Appraise and evaluate rules governing criminal defences;

Appraise and evaluate specific principles relating to particular categories of offences;

Appraise and evaluate rules and principles regulating different modes of criminal liability;

Apply critical analysis and problem-solving skills and techniques substantive criminal law knowledge to different essay and problem-based criminal law questions


 
Module Learning Aims:
Module Content:
This module is about criminal liability; it is concerned with whether certain acts and conduct performed by a person amounts to that person being guilty of a particular crime. The module accordingly deals with the definitions of criminal offences and defences. Offences are broken down into physical elements (precisely what acts, in terms of consequences and conduct, are prohibited?) and mental elements (what intentions must be present in the person’s mind at the time of their act in order for them to be guilty?). The module is also concerned with general principles that apply across the board to questions of criminal liability such as the question of what it means to cause something to happen. The basic aspects of the court-based process by which a person can be found to be guilty of a crime and punished are also looked at.
",10
LA1204,Contract,Blanaid Clarke,"Learning Outcomes:
Having successfully completed this module, students should be able to:

Engage in sophisticated, creative and critical discussion of common law concepts, both orally and in writing,

Analyse and apply the substantive principles of the law of contract,

Appreciate and explain the role of the law of contract in society,

Identify contractual issues in disputes, and advise accordingly, and

interpret and draft key contractual provisions
Module Learning Aims:
Module Content:
Contract is one of the core subjects of the common law of obligations. It involves analysis of the legal principles behind the rules relating to the formulation of contracts and the circumstances in which they will not come into existence or in which they cease to be effective.
",10
LA1231,Legislation And Regulation,Yvonne Scannell,"Learning Outcomes:
Having successfully completed this module, students should be able to:

Identify and evaluate the structure of the national government of the Republic of Ireland

Critically assess the different regulatory systems and the manner in which they work

Identify and evaluate how all kinds of legislation is enacted in Ireland

Evaluate the roles of the Regulators and their transparency and accountability

Possess the knowledge and skills to read and interpret legislation

Critically assess and evaluate the structure and operation of the national government of the Republic of Ireland

Assess the roles of the courts in overseeing actions

Analyse the merits of different kinds of regulatory enforcement.


 
Module Learning Aims:
Module Content:
This exciting new course is about how legislation is made, interpreted, administered and enforced with reference to regulatory law. We will examine the important aspects of regulatory law which is among the most prevalent and powerful sources of law that you will encounter as a legal practitioner or a citizen. The course deals with the role of regulators, how regulatory systems are designed, operated and enforced, how they provide for democratic control, quality decision-making, transparency in decision-making and access to justice for those who wish to question the substantive and procedural merits of decisions. The skills that you will acquire in this course will transfer to other courses and to your jobs, whether you work for a private firm, a non-profit group, or a government organization. They will also enable you to understand and evaluate the structure and operation of our national government better. 

 
",10
LA1232,Private Law Remedies,Eoin Dell,"Learning Outcomes:
Having successfully completed this module, students should be able to:

evaluate remedial strategies from a range of theoretical and comparative perspectives,

analyse private law claims at law and in equity to determine the appropriate remedy or remedies, and

advise and advocate accordingly.


 
Module Learning Aims:
Module Content:
Students will already have encountered private law obligations in the Tort (JF), Contract (JF), and Equity (SF) courses. A conceptual understanding of the remedies available to a plaintiff in civil proceedings at Common Law and in Equity to vindicate those obligations is the capstone of private law analysis. This course analyses the remedial goals (such as compensation for loss, punishment for wrongdoing, or restitution of unjust enrichment) underpinning various personal and proprietary remedies available for private law claims arising from tort, breach of contract, unjust enrichment, equitable wrongs, and so on.

 
",10
LA1233,Administrative Law,Hilary Biehler,"Learning Outcomes:
This module examines public administration and judicial review of administrative action. The module addresses the powers of the administration, the position of the administration in separation of powers, and the non-delegation doctrine will be examined. The bulk of the module is concerned with the control of administrative action through judicial review. The module will consider in depth the reach of judicial review and in particular, the main grounds of judicial review. The module will also address judicial review procedures and remedies. Throughout this module, extensive comparisons will be made between the English and Irish case law. Having successfully completed this module, students should be able to:

Describe and assess the theoretical rationale for judicial supervision of administrative action.

Discuss the substantive case law in a manner that incorporates the principles and theory of administrative law.

Classify and compare the grounds for judicial review.

Synthesise and evaluate case law on each of the main grounds of review.

Apply the relevant principles and predict legal outcomes in factual situations


 
Module Learning Aims:
Module Content:
This module examines public administration and judicial review of administrative action. The module addresses the powers of the administration, the position of the administration in separation of powers, and the non-delegation doctrine will be examined. The bulk of the module is concerned with the control of administrative action through judicial review. The module will consider in depth the reach of judicial review and in particular, the main grounds of judicial review. The module will also address judicial review procedures and remedies. Throughout this module, extensive comparisons will be made between the English and Irish case law.


 
",10
LA1234,Legal English,,"Learning Outcomes:
Having successfully completed this module, students should be able to:
1. Possess knowledge of the sources and evolution of Legal English over time;
2. Possess the library and research skills necessary to identify and explore the written and electronic resources in which law and legal information are contained;
3. Possess and demonstrate the skills in written English which are necessary for a high standard of legal writing, including the use of house style, grammar and punctuation and the creation of legal documents;
4. Possess and demonstrate the comprehension skills which are necessary to read thoroughly and understand cases, textbooks, legal articles and legislation;
5. Possess and develop further the skills necessary for a high standard of spoken Legal English, including preparation of a formal presentation and discussion on a legal topic;
6. Compare and contrast the style of legal writing in Ireland with that used in their home system;
7. Incorporate knowledge of Irish law, society and politics into spoken and written Legal English;
8. Master spoken and written Legal English to a sufficient degree that they can identify and use terminology specific to an individual field of law;
9. Master spoken and written Legal English to a sufficient degree that they can apply critical analysis and use coherent, rational arguments in answering essay and problem-based questions
Module Learning Aims:
Module Content:
",5
LA1240,Introduction To Law,Eimear Brown,"Learning Outcomes:
On successful completion of this module, students should be better able to:

Identify the main sources of law in the Irish legal system

Distinguish between the relative weight of different sources of law

Describe and explain the doctrine of precedent in Irish law

Identify several jurisprudential theories

Critically assess the strengths and weaknesses of different jurisprudential theories

Describe and explain the key features and case law of Article 8 ECHR

Describe and explain basic features of Irish family law.
Module Learning Aims:
Module Content:
1. The Irish Legal System: Structure and Key Features

Sources of Law in Ireland

The Irish Court System

Access to the Courts

 
2. Introduction to Jurisprudence

Natural Law Versus Positivism

The Command Theory of Law

Utilitarianism

 
3. International Law

The Origins and Operation of International Law

Human Rights Law

History of Rights Law

International Treaties

 
4. Family Law

Key features of Irish family law

Special topic: the child in Irish law (custody, rights etc)
",10
LA2004,German Civil Law,Bilun Mueller,"Learning Outcomes:
Having successfully completed this module, students should be able to:

Explain the principles of Civil/Private Law

Identify the structure and content of the German Civil Code

Discuss and analyse the difference between Gutachten- and Urteilsstil

Apply the German Civil Code using the Gutachtenstil

Conduct effective research in commentary books and online on the respective German sources

Research problems of German civil law and presenting it in a Hausarbeit

Discuss problems of German civil law and comparing the findings to Irish law

Understand the role of the courts and jurisdiction for German civil law

Present German civil law questions orally and in writing

 
Module Learning Aims:
Module Content:
This is a course designed to provide Law and German Senior Freshman students with an introduction to German civil law. Topics covered include general principles of German civil law and the structure of the German civil code BGB. The emphasis will be on contracts while an introduction to torts and the law of property will be given. Basic problem-solving skills as well as an overview over the legal education in Germany will also be covered. 

 
",10
LA2012,Aspects Of Irish Law In A European Context,Eimear Brown,"Learning Outcomes:
On successful completion of this module, students should be better able to:

Describe and explain basic features of tort law in Ireland, including

The test for negligence
The definition of defamation and the defences to that tort

Describe and explain basic features of the law of contract in Ireland, including

The manner in which a contract can be formed and discharged
Remedies for breach of contract

Identify the key features of the European Convention on Human Rights Act 2003

Critically assess the courts' approach to that Act in Irish law

Identify and evaluate the difference(s) between the approach of the Irish courts and those of the European Court of Human Rights to enforcement of Convention rights.
Module Learning Aims:
Module Content:
1. Introduction to the Law of Torts

This topic includes:

The Nature of Liability in Tort

The Law of Negligence

The Law of Defamation ' Remedies in the Law of Torts

2. Introduction to the Law of Contract

This topic includes:

Formation of a Contract

Invalid Contracts

Exclusion Clauses

Discharge of Contracts

Remedies in Contract Law

3. The European Convention on Human Rights and Ireland

This topic includes:

Introduction to the European Convention on Human Rights

The Articles of the Convention: How They Work in Practice

Ireland before the European Court of Human Rights

The Incorporation of the European Convention on Human Rights into Irish Law

The ECHR in the Irish Courts - the impact of the European Convention on Human Rights Act 2003.
",10
LA2020,Land Law,Paul Coughlan,"Learning Outcomes:
Having successfully completed this module, students should be able to:

Identify and analyse the evolution of land law and the complexities of the system in Ireland;

Outline the body of common law, equitable principles and legislation governing the ways in which land may be acquired, held and alienated;

Analyse and apply substantive areas in land law such as leases, rights of way;

Explain the use of land as security and succession to the property of deceased persons.
Module Learning Aims:
Module Content:
This module introduces the student to the considerable body of common law, equitable principles and legislation which governs the various ways in which land may be acquired, held and alienated. It commences with an historical account of the evolution of land law, an understanding of which is fundamental to an appreciation of the complex system in operation in Ireland today. The substantive areas dealt with include leases, rights of way, the use of land as security, and succession to the property of deceased persons.
",10
LA2042,French Law Of Persons And Goods Ii,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
LA2043,French Law Of Obligations,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
LA2044,French Family Law,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
LA2344,Equity,Hilary Biehler,"Learning Outcomes:
Learning Outcomes:

Having successfully completed this module, students should be able to:

Evaluate the relationship between law and equity;

Identify the contribution made by equity and the law of trusts to legal relationships and commercial situations;

Discuss and debate different perspectives on various aspects of the law relating to trusts of a private and public nature;

Use appropriate legal concepts, case law and statute law to analyse and solve legal problems relating to the use of equitable remedies

 

 
Module Learning Aims:
Module Content:
Equity may be described as that body of rules and principles which was developed by the Court of Chancery in order to mitigate the rigours of the common law. This course examines general principles, the law relating to private and public or charitable trusts and the administration of trusts, focusing on the powers and duties of trustees. It also covers some aspects of equitable remedies such as injunctions and examines the principles relating to proprietary estoppel.

 

 
",10
LA2345,Constitutional Law Ii,Gerry Whyte,"Learning Outcomes:
Having successfully completed this module, students should be able to:

Critically analyse the case law interpreting Articles 40 to 45 of the Constitution, articulating a coherent position on the ways in which constitutional law should develop in the future;

Assess the role of the courts in the protection of constitutional rights;

Discuss the philosophical influences on the fundamental rights provisions of the Constitution;

Apply critical analysis and problem-solving skills and techniques to different essay and problem-based questions on the implications of the above constitutional provisions.


 
Module Learning Aims:
Module Content:
This module examines the following aspects of constitutional law - the guarantees relating to the family and education; freedom of religion; freedom of expression; freedom of association; freedom of assembly; the guarantee of personal rights; the guarantee of equality; the guarantee of personal liberty; inviolability of the dwelling; constitutional policy on abortion.

 

 
",10
LA2346,Eu Law,,"Learning Outcomes:
Having successfully completed this module, students should be able to:

Identify and analyse the evolution of land law and the complexities of the system in Ireland;

Outline the body of common law, equitable principles and legislation governing the ways in which land may be acquired, held and alienated;

Analyse and apply substantive areas in land law such as leases, rights of way;

Explain the use of land as security and succession to the property of deceased persons.
Module Learning Aims:
Module Content:
This module introduces the student to the considerable body of common law, equitable principles and legislation which governs the various ways in which land may be acquired, held and alienated. It commences with an historical account of the evolution of land law, an understanding of which is fundamental to an appreciation of the complex system in operation in Ireland today. The substantive areas dealt with include leases, rights of way, the use of land as security, and succession to the property of deceased persons.
",10
