code,name,lecturer,description,ects
BCASIA,Introduction To Contemporary Asian Studies,Co-ordinatorDr.Keiko Inoue,"Learning Outcomes:
On successful completion of this module students should be able to:

outline the main theories of society the individual and thought relevant to contemporary East Asia

describe and explain the main differences in contemporary culture between China Japan and Korea

describe and analyse accounts of the development of the ‘Asian Century’ and the roles of Japan Korea and China in the Asia Pacific

make oral presentations either individually or in teams to an audience of their peers
Module Learning Aims:
This course aims to provide an introduction to Asian Studies and in particular a multidisciplinary exploration of language thought society culture business and diplomatic relations in China Korea and Japan.
Module Content:
The course will introduce students to the discipline of contemporary Asian Studies and will explore how China Japan and Korea have evolved as cultural and economic drivers in Asia and in a global context. It will examine key issues such as relationships between the individual society and thought and popular culture. Students from all disciplines will be encouraged to engage practically and critically with the topics explored in the module through classroom presentations and discussion.
",5
BCLNG1,Language The Individual And Society,Breffni O'Rourke,"Learning Outcomes:
By the end of this course students will have the capacity to:

Engage in critical discussion on a range of relationships that hold between language the individual and society.

Problematise the idea that only spoken languages are 'real' languages.

Evaluate the impact of age on the rate and route of first and second language acquisition.

Weigh the merits of different accounts of the relationship between language and thought.

Critically assess information and views relating to language attitudes language acquisition and language transmission in multilingual contexts

Critically analyse issues relating to language and gender. 

Critically assess data and opinions about language endangerment and language revitalisation.


 
Module Learning Aims:
1. To enable students to critically evaluate a range of theories and evidence in the fields of Applied Linguistics Sociolinguistics and Psycholinguistics that relate to language the individual and society.
2. To facilitate critical debate on a variety of themes central to our understanding of the relationship between language the individual and society. This critical debate includes the following questions among others:
• How do we acquire language?
• How are we to interpret the fact that language use varies according to geography social class gender and context?
• Why do languages die?
• What is the impact of immigration on language attitudes language acquisition and language transmission?
Module Content:
Each week a new topic is introduced and discussed at length over the two lectures. The topics include those given below.


 Introduction

 How do babies learn language?

 Do children learn languages better than adults? 

 Are there right and wrong ways of using language?

 Does the way you think depend on the language you speak? 

 Can threatened languages be saved? 

 Are signed languages real languages? 

 If you want to live here you should speak our language! 

 What is linguistic landscape? 

 Language and gender 


 
",5
BCLNG2,Language And Mind,Breffni O'Rourke,"Learning Outcomes:
By the end of this course students will be able to:

Identify the key features of human language and problematise the question of whether language is unique to humans.

Evaluate the ways in which different languages use the structure of words and the ordering of linguistic elements to convey the speaker's communicative intent.

Define basic semantic relations and categories and perform simple semantic analysis.

Identify what factors impact on the rate and route of acquisition of second and foreign languages.

Apply the principles of the phonetic description of speech sounds to perform basic phonetic analysis

Discuss basic phonological concepts and steps involved in phonemic analysis

Understand the social and linguistic dynamics of language change over time

Identify universal features in the phonological morphological and syntactic systems of language


 
Module Learning Aims:
This general course provides students with an introduction to key concepts and developments in modern linguistics and in related areas of applied linguistics and psychology. Among the questions we consider are the following:

 

What are the essential components of language?

What are the basic linguistic categories and structures?

How do we analyse and describe speech sounds?

What are the universal features in the phonological morphological and syntactic systems of language?

How does language convey meaning?

Is language unique to humans?

What are we to make of attempts to teach other animals to use language?

What are the social and linguistic mechanisms of language change over time?

How do we construct our interpretation of speech as we participate in conversations?

How do we acquire second and foreign languages?

Why do adults find languages so hard to learn?
Module Content:
Topics:
• Is language unique to humans?
• Learning language: children chimps and other primates. Semantics: how words and sentences mediate meaning
• Syntax: how “visiting relatives can be a nuisance”
• Semantics: how words and sentences mediate meaning
• Pragmatics: linguistic meaning and linguistic action in context
• Models of second language acquisition
• The psychology of the language learner
• Sounds of languages: initiation phonation and articulation
• Phonological concepts and analysis
• Dynamics of language change
• Linguistic universals: morphology and phonology


 
",5
DF1003,Perspectives On Deafness,John Bosco,"Learning Outcomes:
On successful completion of this module students should be able to:
' Describe the historical context that notions of Deafness are grounded within
' Describe the major milestones in Deaf history (e.g. establishment of Deaf education formation of communities the `Golden era' of manualism the rise of oralism the Congress of Milan 1880 the introduction of oral education in Ireland and consequences thereof).
' Describe the major philosophical influences on responses to deafness (e.g. legal religious educational rehabilitation normalisation eugenics human rights socio-cultural views medical responses to deafness).
' Describe the medical model of deafness
' Describe the social model of deafness
' Describe the human rights agenda as it relates to the Deaf community
' Reflect on various definitions of the Deaf Community
' Define Deafhood
' Situate Irish Deaf community experiences in a broader EU and global context
' Outline contemporary responses to deafness and Deafhood
' Demonstrate knowledge of the main organisations for Deaf and hard of hearing people in Ireland
' Describe the minority communities within the Deaf community (e.g. Deaf Travelers Deaf people with disabilities Deaf-blind people Deaf
gay/lesbians Deaf people of race Deaf people who are members of minority religious communities in Ireland etc.)
' Describe how educational context influences policy that impacts on the Deaf community
Module Learning Aims:
This module introduces students to the range of ways in which deafness and Deaf people are categorised - by medical personnel by hearing people and by the Deaf community. Three major strands are covered: (1) Perspectives on Deafness: The Deaf Community Culture and Historical Context (2) Medical Social and Personal and (3) International Perspectives on Deafness In (1) we examine the variety of societal responses to Deafness over time.
We begin with references to Deafness and Deaf people in ancient times and trace changing attitudes to Deafness signed languages and Deafhood up until contemporary times. We also explore the notion of Deaf culture and community and consider the objective symbols and behavioural norms of this culture.
This module introduces a continuum of perspectives of Deafness and examines the range of practical and political implications of these views. We also consider the range of implications that this can have on a Deaf person's self-image. A range of views from Deaf deafened and hard of hearing people which have been pre-recorded are shared over the course of this module. This module also considers different ways of being Deaf in the modern world.
Major organisations from the Irish Deaf community are given attention while at the same time the relationship between the developed and the developing worlds with special emphasis on the European experience of Deafness are considered. In a European context data from the Leonardo da Vinci SIGNALL I and SIGNALL II projects are drawn on (www.signallproject.com).
Module Content:
This module introduces students to the range of ways in which deafness and Deaf people are categorised - by medical personnel by hearing people and by the Deaf community. Three major strands are covered: (1) Perspectives on Deafness: The Deaf Community Culture and Historical Context (2) Medical Social and Personal and (3) International Perspectives on Deafness In (1) we examine the variety of societal responses to Deafness over time.
We begin with references to Deafness and Deaf people in ancient times and trace changing attitudes to Deafness signed languages and Deafhood up until contemporary times. We also explore the notion of Deaf culture and community and consider the objective symbols and behavioural norms of this culture.
This module introduces a continuum of perspectives of Deafness and examines the range of practical and political implications of these views. We also consider the range of implications that this can have on a Deaf person's self-image. A range of views from Deaf deafened and hard of hearing people which have been pre-recorded are shared over the course of this module. This module also considers different ways of being Deaf in the modern world.
Major organisations from the Irish Deaf community are given attention while at the same time the relationship between the developed and the developing worlds with special emphasis on the European experience of Deafness are considered. In a European context data from the Leonardo da Vinci SIGNALL I and SIGNALL II projects are drawn on (www.signallproject.com).
",10
DF1004,Irish Sign Language 1,Patrick A.,"Learning Outcomes:
On successful completion of this module students should be able to demonstrate the following:
' Productive language skills: Be able to use a series of phrases and sentences to describe in simple terms his/her family and other people living environment his/her educational background and present or most recent job.
' Productive language skills (prepare a recording): Be able to produce and record short messages in ISL to DVD. Able to produce and record a basic personal message e.g. a thank you to someone for a favour done gift given etc
' Interactive skills: Be able to request and respond to requests for information on familiar topics and activities. Be able to manage short social conversations.
' Receptive language skills (Digital Data): Be able to understand signed video/DVD clips of basic ISL signed at a moderate pace. Be able to identify specific and main points of information on signed video/DVD clips and record it to gloss. Be able to understand announcements and short personal information.
' Receptive language skills (Real life): Be able to understand phrases and common vocabulary related to areas of general personal knowledge e.g. information about his/herself family occupation shopping and residential area. Be able to comprehend the main point/s in short simple communication and announcements.
Module Learning Aims:
This module introduces students to ISL and delivers teaching to the Common European Framework of Reference for Languages (CEFR). The aim is to bring students to level A2 receptive skills A1 productive skills.
Module Content:
This module introduces students to ISL and delivers teaching to the Common European Framework of Reference for Languages (CEFR). The aim is to bring students to level A2 receptive skills A1 productive skills.
",10
DF1005,Irish Sign Language 2,Patrick A.,"Learning Outcomes:
On successful completion of this module students should be able to demonstrate the following:

Production: Understand individual sentences including sentences where one or more words are finger spelled. Understand commonly used expressions related to areas of interest and relevance i.e. basic personal and family information shopping local geography and employment. Able to request and respond in basic ISL about information relating to familiar situations or routine matters. Describe in basic ISL terms aspects of his/her background present environment and ability to express his/her needs.

Interaction: Able to request and respond about information on familiar topics and activities. Able to manage short social conversations.

Receptive exercises: Able to understand signed video/DVD clips of basic ISL signed at a moderate pace. Able to identify specific and main points of information on signed video/DVD clips and record it to gloss. Able to understand announcements and short personal information.

Real life receptive: Able to understand phrases and common vocabulary related to areas of general personal knowledge e.g. information about his/herself family occupation shopping and residential area. Able to comprehend short simple announcements and main point/s in communication.

Producing a recording: Able to produce and record short simple notes and messages. Able to produce and record a basic personal message e.g. a thank you to someone for a favour done gift given etc.
Module Learning Aims:
This module builds on work completed in ISL-1. It focuses on further developing student skill within the framework of the CEFR to level B1 receptive A2 productive.
Module Content:
This module builds on work completed in ISL-1. It focuses on further developing student skill within the framework of the CEFR to level B1 receptive A2 productive.
",10
DF1008,Introduction To Sign Linguistics,Lorraine Leeson,"Learning Outcomes:
On successful completion of this module students should be able to:

Use ELAN to search the Signs of Ireland digital corpus

Describe the role of iconicity in ISL

Describe the phonetic features of ISL

Describe the 5 phonological parameters that make up a sign

Describe the way in which new signs are created (borrowing the productive lexicon compounding etc.)

Describe the use of signing space in a signed language

Describe the major categories of verbs in ISL

Describe the major NMFs that occur in ISL

Describe the function of role-shifting in ISL

Describe how NMFs co-occur with other manual elements in ISL

Recognise how temporal reference is marked in ISL

Describe how aspect functions in ISL

Demonstrate ability to gloss ISL texts accurately

Describe the use of signing space in a signed language with particular reference to verb agreement and role-shifting (also known as ‘constructed discourse’ and ‘constructed action’) strategies

Demonstrate a basic understanding of semantic role assignment in ISL

Describe the preferred word-order expressed in ISL

Describe how reflexives and reciprocals are marked in ISL

Describe how passives are marked in ISL

Describe the role of topic-marking in ISL

Describe how questions are marked in ISL

Describe the functions of eye-gaze in ISL word order

Describe features that are evident in narrative structure in ISL

Describe the socio-cultural context that signed languages operate within with particular reference to Irish Sign Language.

Outline the historical context for ISL development.


 
Module Learning Aims:
This module guides the student towards a basic understanding of the linguistic structures of ISL. This module introduces the basic descriptive parameters of the language. Focus is particularly on the phonetic phonological morphological and morph-syntactic breakdown of ISL with reference to other signed language given to provide a cross-linguistic comparator. Topics covered include analysis of the basic parameters of a sign compounding processes in ISL verb categories in ISL non-manual features and use of space in ISL. Later particular focus will be on the morpho-syntax semantics and pragmatics of ISL. Topics for discussion include the identification of word order in ISL use of topic constructions question marking negation reflexives and reciprocals in ISL and passive constructions. Other issues addressed include: iconicity and gesture and their relationship to signed languages.
Module Content:
This module is taught across the academic year and guides the student towards a basic understanding of the linguistic structures of ISL. This module introduces the basic descriptive parameters of the language. Focus is particularly on the phonetic phonological morphological and morph-syntactic breakdown of ISL with reference to other signed language given to provide a cross-linguistic comparator. Topics covered include analysis of the basic parameters of a sign compounding processes in ISL verb categories in ISL non-manual features and use of space in ISL. Later particular focus will be on the morpho-syntax semantics and pragmatics of ISL. Topics for discussion include the identification of word order in ISL use of topic constructions question marking negation reflexives and reciprocals in ISL and passive constructions. Other issues addressed include: iconicity and gesture and their relationship to signed languages.
",10
DF1009,Language Acquisition And Deafness,LecturerSarah Sheridan,"Learning Outcomes:
On successful completion of this module students should be able to:

Describe the ways in which theories of language and language acquisition have changed over the last century;

Describe the milestones in language acquisition for children - hearing and Deaf;

Describe the five stages of sound production ((i) basic biological noises (ii) cooing and (iii) laughing (iv) babbling and (v) melodic utterances);

Describe the principal findings which have emerged from first and second language acquisition research;

Describe the relevance of findings from first and second language acquisition research to second language teaching;

Describe phonological development in hearing and Deaf children with respect to spoken and signed languages;

Describe the hallmarks of the nativist and behaviourist approaches to child language acquisition and their relevance to second language acquisition;

Describe the role of gesture in sign language acquisition;

Describe the role of home sign for non-native signers;

Annotate and analyse a piece of child language signing with reference to the literature.


 
Module Learning Aims:
To introduce students to a range of theoretical perspectives and research findings in the fields of first and second language acquisition research; to describe the milestones for first language acquisition and to introduce students to critical issues relating to the language acquisition of deaf and hard of hearing children.

 
Module Content:
This module looks at the milestones for typical language acquisition for hearing children and maps onto these the milestones for deaf children with access to ISL as a `mother tongue'. We contrast the situation for deaf and hard of hearing children who have ISL as a first or second language and we discuss the implications of late acquisition for deaf children. The backdrop to the discussion will entail review of the major theoretical positions on language acquisition (e.g. discussion of the nature-nurture debate the critical period hypothesis) and will draw on gesture research and data on second language acquisition and bilingualism. This course also includes reading seminars which students will be expected to participate in fully.

 
",10
DF103A,Perspectives On Deafness,John Bosco,"Learning Outcomes:
On successful completion of this module students should be able to:

Describe the historical context that notions of Deafness are grounded within

Describe the major milestones in Deaf history (e.g. establishment of Deaf education formation of communities the `Golden era' of manualism the rise of oralism the Congress of Milan 1880 the introduction of oral education in Ireland and consequences thereof).

Describe the major philosophical influences on responses to deafness (e.g. legal religious educational rehabilitation normalisation eugenics human rights socio-cultural views medical responses to deafness).

Describe the medical model of deafness

Describe the social model of deafness

Describe the human rights agenda as it relates to the Deaf community

Reflect on various definitions of the Deaf Community

Define Deafhood

Situate Irish Deaf community experiences in a broader EU and global context

Outline contemporary responses to deafness and Deafhood

Demonstrate knowledge of the main organisations for Deaf and hard of hearing people in Ireland

Describe the minority communities within the Deaf community (e.g. Deaf Travelers Deaf people with disabilities Deaf-blind people Deaf gay/lesbians Deaf people of race Deaf people who are members of minority religious communities in Ireland etc.)

Describe how educational context influences policy that impacts on the Deaf community
Module Learning Aims:
This module introduces students to the range of ways in which deafness and Deaf people are categorised - by medical personnel by hearing people and by the Deaf community. Three major strands are covered: (1) Perspectives on Deafness: The Deaf Community Culture and Historical Context (2) Medical Social and Personal and (3) International Perspectives on Deafness In (1) we examine the variety of societal responses to Deafness over time.
We begin with references to Deafness and Deaf people in ancient times and trace changing attitudes to Deafness signed languages and Deafhood up until contemporary times. We also explore the notion of Deaf culture and community and consider the objective symbols and behavioural norms of this culture.
This module introduces a continuum of perspectives of Deafness and examines the range of practical and political implications of these views. We also consider the range of implications that this can have on a Deaf person's self-image. A range of views from Deaf deafened and hard of hearing people which have been pre-recorded are shared over the course of this module. This module also considers different ways of being Deaf in the modern world.
Major organisations from the Irish Deaf community are given attention while at the same time the relationship between the developed and the developing worlds with special emphasis on the European experience of Deafness are considered. In a European context data from the Leonardo da Vinci SIGNALL I and SIGNALL II projects are drawn on (www.signallproject.com).
Module Content:
This module introduces students to the range of ways in which deafness and Deaf people are categorised - by medical personnel by hearing people and by the Deaf community. Three major strands are covered: (1) Perspectives on Deafness: The Deaf Community Culture and Historical Context (2) Medical Social and Personal and (3) International Perspectives on Deafness In (1) we examine the variety of societal responses to Deafness over time.
We begin with references to Deafness and Deaf people in ancient times and trace changing attitudes to Deafness signed languages and Deafhood up until contemporary times. We also explore the notion of Deaf culture and community and consider the objective symbols and behavioural norms of this culture.
This module introduces a continuum of perspectives of Deafness and examines the range of practical and political implications of these views. We also consider the range of implications that this can have on a Deaf person's self-image. A range of views from Deaf deafened and hard of hearing people which have been pre-recorded are shared over the course of this module. This module also considers different ways of being Deaf in the modern world.
Major organisations from the Irish Deaf community are given attention while at the same time the relationship between the developed and the developing worlds with special emphasis on the European experience of Deafness are considered. In a European context data from the Leonardo da Vinci SIGNALL I and SIGNALL II projects are drawn on (www.signallproject.com).
",5
DF108A,Introduction To Sign Linguistics,Lorraine Leeson,"Learning Outcomes:
On successful completion of this module students should be able to:

Use ELAN to search the Signs of Ireland digital corpus

Describe the role of iconicity in ISL

Describe the phonetic features of ISL

Describe the 5 phonological parameters that make up a sign

Describe the way in which new signs are created (borrowing the productive lexicon compounding etc.)

Describe the use of signing space in a signed language

Describe the major categories of verbs in ISL

Describe the major NMFs that occur in ISL

Describe the function of role-shifting in ISL

Describe how NMFs co-occur with other manual elements in ISL

Recognise how temporal reference is marked in ISL

Describe how aspect functions in ISL

Demonstrate ability to gloss ISL texts accurately

Describe the use of signing space in a signed language with particular reference to verb agreement and role-shifting (also known as ‘constructed discourse’ and ‘constructed action’) strategies

Demonstrate a basic understanding of semantic role assignment in ISL

Describe the preferred word-order expressed in ISL

Describe how reflexives and reciprocals are marked in ISL

Describe how passives are marked in ISL

Describe the role of topic-marking in ISL

Describe how questions are marked in ISL

Describe the functions of eye-gaze in ISL word order

Describe features that are evident in narrative structure in ISL

Describe the socio-cultural context that signed languages operate within with particular reference to Irish Sign Language.

Outline the historical context for ISL development.
Module Learning Aims:
This module guides the student towards a basic understanding of the linguistic structures of ISL. This module introduces the basic descriptive parameters of the language. Focus is particularly on the phonetic phonological morphological and morph-syntactic breakdown of ISL with reference to other signed language given to provide a cross-linguistic comparator. Topics covered include analysis of the basic parameters of a sign compounding processes in ISL verb categories in ISL non-manual features and use of space in ISL. Later particular focus will be on the morpho-syntax semantics and pragmatics of ISL. Topics for discussion include the identification of word order in ISL use of topic constructions question marking negation reflexives and reciprocals in ISL and passive constructions. Other issues addressed include: iconicity and gesture and their relationship to signed languages.
Module Content:
This module is taught across the academic year and guides the student towards a basic understanding of the linguistic structures of ISL. This module introduces the basic descriptive parameters of the language. Focus is particularly on the phonetic phonological morphological and morph-syntactic breakdown of ISL with reference to other signed language given to provide a cross-linguistic comparator. Topics covered include analysis of the basic parameters of a sign compounding processes in ISL verb categories in ISL non-manual features and use of space in ISL. Later particular focus will be on the morpho-syntax semantics and pragmatics of ISL. Topics for discussion include the identification of word order in ISL use of topic constructions question marking negation reflexives and reciprocals in ISL and passive constructions. Other issues addressed include: iconicity and gesture and their relationship to signed languages.
",5
