code,name,lecturer,description,ects
MA1111,Linear Algebra I,Larry Rolen,"Learning Outcomes:
On successful completion of this module students will be able to:

operate with vectors in dimensions 2 and 3 and apply vectors to solve basic geometric problems;

apply various standard methods (Gauss-Jordan elimination inverse matrices Cramer's rule) to solve systems of simultaneous linear equations;

compute the sign of a given permutation and apply theorems from the module to compute determinants of square matrices;

demonstrate that a system of vectors forms a basis of the given vector space compute coordinates of given vectors relative to the given basis and calculate the matrix of a linear operator relative to the given bases;

give examples of sets where some of the defining properties of vectors matrices vector spaces subspaces and linear operators fail;

identify the above linear algebra problems in various settings (e.g. in the case of the vector space of polynomials or the vector space of matrices of given size) and apply methods of the module to solve those problems.
Module Learning Aims:
Module Content:
The module will cover the following topics yet not necessarily in the order listed.

 

Lines planes and vectors dot and cross product.

Linear systems Gauss-Jordan elimination reduced row echelon form.

Matrix multiplication elementary row operations inverse matrix.

Permutations odd and even determinants transpose matrix.

Minors cofactors adjoint matrix inverse matrix Cramer's rule.

Vector spaces linear independence and span bases and dimension.

Linear operators matrix of a linear operator with respect to a basis.

Change of basis transition matrix conjugate matrices.

Textbook We will not follow any particular textbook. Two typical references are

Algebra by Michael Artin

Basic linear algebra by Blyth and Robertson.

Notes homework assignments and solutions will be posted on the web page http://www.maths.tcd.ie/~pete/algebra1
",5
MA1112,Linear Algebra Ii,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
MA1123,Analysis On The Real Line,Donal O'Donovan,"Learning Outcomes:
On successful completion of this module students will be able to

Determine whether a given relation is a function or not and whether an inverse function exists.

Find limits and determine whether given functions are continuous or not

Differentiate functions and use derivatives to graph functions solve extremal problems and related rates problems.

Integrate functions using substitution integration by parts partial fractions and reduction formulae.

Find areas volumes length of curves averages and work done.

Solve simple first order differential equations and higher order linear homogeneous differential equations.

Determine whether a given sequence or series converges or not.

Determine where a given power series converges absolutely converges conditionally or diverges.

 
Module Learning Aims:
Module Content:
This module is mainly the study of the theory and practical uses of the
Differential and Integral Calculus. Topics covered include
Functions
Limits and Continuity
Derivatives: Theory and Applications
Integration: Theory and Applications
Transcendental Functions
Modelling and Differential Equations
Sequences and Series

Textbook:
The textbook that will be followed is

Calculus by Anton Bivens Davis

Publisher Wiley and Son
",10
MA1124,Analysis On The Real Line Ii,Donal O'Donovan,"Learning Outcomes:
On successful completion of this module students will be able to

Prove or disprove logical equivalences.

Use the predicate calculus.

Prove or disprove set equivalences.

Test the properties of relations.

Prove and apply the theorems that are covered.



 
Module Learning Aims:
The purpose of this module is to rigorously prove the theorems that have been used in Analysis I to introduce the students to set theory and logic and to introduce the students to the topology of the real line.
Module Content:
The propositional calculus and the predicate calculus.

Set theory and cardinal numbers.

Open closed complete connected and compact subsets of the real line.

Heine - Borel theorem Bolzano - Weierstrass theorem.

Uniform continuity.

Proofs of the fundamental theorem of calculus the intermediate value theorem and the extreme value theorem.


 
",5
MA1125,Single Variable Calculus And Introductory Analysis,Donal O'Donovan,"Learning Outcomes:
On successful completion of this module students will be able to

Determine whether a given relation is a function or not and whether an inverse function exists.

Find limits and determine whether given functions are continuous or not

Differentiate functions and use derivatives to graph functions solve extremal problems and related rates problems.

Integrate functions using substitution integration by parts partial fractions and reduction formulae.

Find areas volumes length of curves averages and work done.

Solve simple first order differential equations and higher order linear homogeneous differential equations.

Determine whether a given sequence or series converges or not.

Determine where a given power series converges absolutely converges conditionally or diverges.
Module Learning Aims:
Module Content:
This course is mainly the study of the theory and practical uses of the Differential and Integral Calculus. Topics covered include

Functions

Limits and Continuity

Derivatives: Theory and Applications

Integration: Theory and Applications

Transcendental Functions

Modelling and Differential Equations

Sequences and Series
",10
MA1126,Introduction To Set Theory And General Topology,Donal O'Donovan,"Learning Outcomes:
On successful completion of this module students will be able to

Prove or disprove logical equivalences.

Use the predicate calculus.

Prove or disprove set equivalences.

Test the properties of relations.

Prove and apply the theorems that are covered.
Module Learning Aims:
Module Content:
",5
MA1132,Advanced Calculus,Larry Rolen,"Learning Outcomes:
On successful completion of this module students will be able to:

Analyse the behaviour of functions of several variables present the result graphically and efficiently calculate partial derivatives of functions of several variables (also for functions given implicitly);

Obtain equations for tangent lines to plane curves and tangent planes to space surfaces;

Apply derivative tests and the method of Lagrange multipliers to find maxima and minima of functions of several variables local and global;

Effectively calculate multiple integrals in Cartesian and polar coordinates in particular to find areas volumes and centres of mass;
Module Learning Aims:
Module Content:
These details may be varied somewhat in the current year.

Vector-valued functions: parametric curves calculus change of parameter (Chapter 12 Sections 12.1-12.6)

Partial derivatives: definition chain rule gradients maxima and minima (Chapter 13 Sections 13.1-13.9)

Multiple integrals: double and triple integrals surface area (Chapter 14 Sections 14.1-14.8


 
",5
MA1212,Linear Algebra Ii,Paschalis Karageorgis,"Learning Outcomes:
On successful completion of this module students will be able to:

Compute the rank of a given linear operator and use proofs of theoretical results on ranks explained in the course to derive similar theoretical results;

Compute the dimension and determine a basis for the intersection and the sum of two subspaces of a given space determine a basis of a given vector space relative to a given subspace;

Calculate the basis consisting of eigenvectors for a given matrix with different eigenvalues and more generally calculate the Jordan normal form and a Jordan basis for a given matrix;

Apply Gram-Schmidt orthogonalisation to obtain an orthonormal basis of a given Euclidean space;

Apply various methods (completing the squares Sylvester's criterion eigenvalues) to determine the signature of a given symmetric bilinear form;

Identify the above linear algebra problems in various settings (e.g. in the case of the vector space of polynominals or the vector space of matices of given size) and apply methods of the course to solve those problems
Module Learning Aims:
Module Content:
We will cover the following topics yet not necessarily in the order listed.

Kernel and image rank and nullity dimension formula.

Characteristic polynomial eigenvalues and eigenvectors Jordan form.

Cayley-Hamilton theorem minimal polynomial of a linear operator.

Invariant subspaces orthogonal complements direct sums.

Inner product spaces orthonormal bases Gram-Schmidt Bessel's inequality.

Bilinear and quadratic forms Sylvester's criterion spectral theorem.

Applications: recurrence relations least squares approximation.
",5
MA1213,Introduction To Group Theory,Dmitri Zaitsev,"Learning Outcomes:
On successful completion of this module students will be able to;

Apply the notions: map/function subjective/injectiv/bijective/invertibl map equivalence relation partition. Give the definitio of: group abelian group subgroup normal subgrou quotient group direct product of groups homomorphism isomorphism kernal of a homomorphism cyclic group order of a group element.

Apply group theory to integer arithmetic: define what the greatest common divisor of two nonzero integers m and n is compute it and express it as a linear combination of n and m using the extended Euclidan algorithm; Writ down the Cayley table of a cyclic group Zn or of the multiplicative group (Zn)x for small n; determine the order of an element of such a group.

Define what a group action is and be able to verify that something is a group action. Apply group theory to descibe symmetry; know the three types of rotation symmetry axes of the cube (their 'order' and how man there are o each type); describe the elements of symmetry group of the regular n-gon (the dihedral group D2n) for smal values of n and know how to multiply them.

Compute with the symmetric group; determine disjoint cycle form sign and order of a permutation; multiply two permutations.

Know how to show that a subset of a group is a subgroup or a normal subgroup. State and apply Lagrane's theorem. State and prove the first isomorphism theorem.
Module Learning Aims:
Module Content:
",5
MA1214,Introduction To Group Theory,Dmitri Zaitsev,"Learning Outcomes:
On successful completion of this module students will be able to:

Apply the notions: map/function surjective/injective/bijective/invertible map equivalence relation partition. Give the definition of: group abelian group subgroup normal subgroup quotient group direct product of groups homomorphism isomorphism kernel of a homomorphism cyclic group order of a group element.

Apply group theory to integer arithmetic: define what the greatest common divisor of two nonzero integers
m
and
n
is compute it and express it as a linear combination of
n
and
m
using the extended Euclidan algorithm; write down the Cayley table of a cyclic group
Z
n
or of the multiplicative group
(
Z
n
)
×
for small
n
; determine the order of an element of such a group.

Define what a group action is and be able to verify that something is a group action. Apply group theory to describe symmetry: know the three types of rotation symmetry axes of the cube (their ""order"" and how many there are of each type); describe the elements of symmetry group of the regular
n
-gon (the dihedral group
D
2n
) for small values of n and know how to multiply them.

Compute with the symmetric group: determine disjoint cycle form sign and order of a permutation; multiply two permutations.

Know how to show that a subset of a group is a subgroup or a normal subgroup. State and apply Lagrange's theorem. State and prove the first isomorphism theorem.



 
Module Learning Aims:
Module Content:
Sets and maps. Binary relations equivalence relations and partitions. Semigroups monoids and groups. Integer division;
Z
d
as an additive group and a multiplicative monoid. Remainder modulo
n
and integer division.

The symmetric group
S
n
. Parity and the alternating group. Generators for
S
n
.

Subgroups and genertors

 Matrix groups:
G
L
n

S
L
n

O
n

S
O
n

U
n

S
U
n
. The dihedral groups
D
n
and symmetries of the cube.

Cosets and Lagrange's Theorem. Additive subgroups of
Z
. Greatest common divisor.

Normal subgroups and quotient groups. Homomorphisms and the first isomorphism theorem for groups. Multiplicative group
Z
∗
n
 Fermat's little theorem and the Chinese Remainder Theorem.

Group actions. A Sylow theorem. The classification of finite abelian groups.


 
",5
