code,name,lecturer,description,ects
AN1RT2,Anatomy,Coordinator Joanna,"Learning Outcomes:
At the end of the module the student will be able to:

Understand the descriptive anatomical terms

Demonstrate a detailed knowledge of the thoracic, abdominal and pelvic osteology, including and be able to demonstrate these on the bones themselves and in the cadaver and on radiological imaging

Demonstrate a detailed knowledge of all major thoracic, abdominal and pelvic viscera, their blood supply and lymphatic drainage and their major relations and be able to demonstrate these in the cadaver and on radiological imaging

Understand the common routes of cancer spread and have a detailed knowledge of anatomical relations and lymphatic spread

Compare the different imaging modalities and techniques and give rationale for their choice when imaging different anatomical sites.

Demonstrate knowledge of the relationship between tissues and clinically exploited radiation therapy to normal tissue and the resultant late effects of radiation

Demonstrate a of knowledge of the relationship between the tumour site and the associated normal tissue in the context of radiation therapy beam arrangement, organ motion and radiation induced side effects


 
Module Learning Aims:
The primary aim of this module is to provide students with the necessary anatomical (cadaver and radiological) knowledge to understand the consequences of cancer, its spread and the implications for radiation therapy treatment planning and treatment delivery.

 
This module introduces anatomy to students and focuses on thoracic, axillary, abdominal and pelvic anatomy, with emphasis on cancer and the anatomical considerations for a course of radiation therapy. To provide students with a detailed and thorough knowledge of cadaver and radiological anatomy pertinent to the practice of radiation therapy.

 
The ultimate objective is that students should be able to use their anatomical knowledge of the local consequences of a tumour, how tumours spread, the anatomic rationale for surgical and other interventions, some of the sequelae of anatomical damage resulting from radiation therapy and thus anatomical considerations for radiation therapy delivery.

 
This knowledge is required for clinical placement and in other modules as the student progresses through the course.

 
Module Content:
The course will consist of lectures and practical labs on the following topics:

Introduction to anatomy

Lymphatic system

Breast

Axilla and upper limb

Femoral triangle and lower limb

Thoracic wall

Diaphragm and respiratory movements.

Lungs

Heart: surfaces, blood supply, chambers and conducting system

Anterior abdominal wall

Inguinal canal

Stomach and Duodenum

Pancreas and Spleen

Liver and Extrahepatic biliary apparatus

Jejunum, Ileum and Colon

Development and blood supply of the GIT

Kidneys and ureters

Posterior abdominal wall, aorta; IVC and lumbar plexus

Pelvis: bones, joints, muscles and fascia

Rectum

Urinary bladder

Uterus, Uterine tubes and Ovary

Perineum, anal triangle and urogenital triangle
",15
AN2S03,Anatomy,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",10
AN3MNA,Neuroanatomy,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
AN7104,Musculoskeletal Anatomy,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",10
AN7105,Sports And Exercise Physiology,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",10
AN7106,"Scientific Research, Design And Data Handling",,"Learning Outcomes:
Module Learning Aims:
Module Content:
",10
AN7107,Sports And Exercise Medicine,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",10
AN7108,Msk Assessment And Clinical Skills,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",10
AN7109,Sports Science & Service Provision,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",10
AN7110,Research Project,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",30
