code,name,lecturer,description,ects
BCGEOL,Planet Earth,Christopher Nicholas,"Learning Outcomes:
On successful completion of this module students should be able to:

explain the basic origin and evolution of planet Earth and outline its dynamics

to discuss the major evolutionary episodes in the fossil record and how the planet changed over time with life
Module Learning Aims:
The module gives an introduction to our dynamic Planet Earth explains the natural principles and processes which govern how it works inside and out and retraces its geological history over the past four and a half billion years.
Module Content:
From the vastness of the Universe to the microscopic structure of mineral crystals from galaxy birth over billions of years to volcanic eruptions lasting only minutes; the science of geology sets out to investigate the origin and development of the planet the natural principles that govern it the processes that act in on and around it and the life that has evolved with it. Many sciences are conducted in the laboratory but to a geologist the Earth itself is the laboratory. In essence this module provides a beginner's guide to Planet Earth.
The module is divided into two main themes developed consecutively during the Semester. Firstly 'Earth in Space' investigates the origin of the Universe and our Solar System how Earth first formed its composition and structure. We will look at how Earth's internal dynamism constantly changes the landscape upon which we live; building mountains rifting continents apart causing earthquakes and triggering volcanic eruptions. The second theme 'Earth and Life' explores how the planet and the organisms that have lived on it evolved together over billions of years. Earth is presented on a journey through time with continents drifting back and forth across the face of the globe punctuated by episodes where the planet has diverted the course of evolution and conversely when life has changed the physical properties of the planet. We will investigate how evidence of past life can be preserved in rocks how species evolve and the geological causes which can drive them to extinction. The myriad of different rocks which together form the building blocks of the island of Ireland are also pieced together during this journey to highlight key events in the geological history of Ireland.
",5
BD7001,Induction Week,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",0
BD7050,Introduction To Biodiversity,Coordinator Stephen,"Learning Outcomes:
On successful completion of this module students will be able to:
' Show an awareness of the range of biodiversity expertise and facilities available in the School of Natural Sciences and TCD in general.
' Understand fundamental concepts in biodiversity including patterns of global distribution
Module Learning Aims:
Module Content:
Scientific investigations are at the forefront of identifying problems related to the depletion of biodiversity and scientific solutions to those problems are frequently proposed. However the causes of biodiversity loss are often linked to social political and economic factors that are not bound by the laws of natural science. This element of the human-biodiversity interactions module will provide students with the opportunity to examine analyse and reflect on why conflicts over biodiversity occur and the measures that are used to resolve them. The aims are two-fold: 1) to provide students with concrete examples of diverse conflicts from a range of geographical locations 2) to aid students in the development of transferable skills in areas including critical analysis synthesis and oral presentation.
",5
BD7051,Practical Environmental Assessment,Coordinator Andrew,"Learning Outcomes:
On successful completion of this module students will be able to:
' Comprehend how environmental policies come about and what influences affect their drafting and implementation
' Be aware of a range of policies that range from voluntary agreements to legislative instruments.
' Have broad knowledge of a range of policies and their success
' Have researched collated and presented information on the aims and effectiveness of a policy of their choice
Module Learning Aims:
Module Content:
The application of successful management strategies requires a wide knowledge of the environment and the pressures on it. The module introduces the scientific and societal factors that drive environmental policies and management. The course includes an introduction to environmental legislation with examples of implementation in a number of environmental sectors. The module introduces inter alia the practice of Environmental Impact Assessment (EIA) and the preparation of Environmental Impact Statements (EIS) Integrated Pollution Control and Environmental Management Systems and the day-to-day practice of environmental protection.
",5
BD7052,Introduction To Conservation Biology,Coordinator Stephen,"Learning Outcomes:
On successful completion of this module students will be able to:
' Understand the classic and recent research literature relevant to conservation biology;
' Demonstrate their knowledge of the major features of community and population ecology and the relative importance of these in terms of the maintenance of biodiversity;
' Evaluate the major current threats to biodiversity and be capable of placing the current extinction crisis in the context of past major extinctions.
' Understand how threat categories are assigned and apply threat categories to given species.
' Critcally evaluate the relevance of population models to species persistence.
' Critically synthesise relevant information to provide practical conservation prescriptions for a threatened species.
' Effectively present concepts and research areas in conservation biology to their peers.
Module Learning Aims:
Module Content:
This module will introduce the broad topic of conservation biology. The main aims are to provide further basic theory to support modules which will follow in particular focusing on the main principles underlying community and population ecology conservation genetics and population dynamics and determine how they relate to the persistence of biodiversity. Threats to biodiversity and how these are assessed will be covered in general terms though these will be further developed in later modules. The module will consider conservation options including in situ and ex situ approaches.
",5
BD7053,Desk Studies,Coordinator Stephen,"Learning Outcomes:
On successful completion of this module students will be able to:
' Search identify and collate academic and related literature using library and on-line resources.
' Critically analyse research and identify key themes areas of consensus / debate and gaps in existing knowledge.
' Synthesise this information in a concise logically structured review that is clearly presented and correctly referenced.
' Summarise a research project in a brief oral presentation to a non-specialist audience.
Module Learning Aims:
Module Content:
An independent desk-based review of literature relating to a current topic of relevance to biodiversity and its conservation. A list of proposed topics will be circulated early in the first term. There is also an opportunity for students to select a study of their choice in negotiation with the Course Director and a member of staff.
",10
BD7054,Data Handling,Coordinator Andrew,"Learning Outcomes:
On successful completion of this module you will be able to:
' Explain the central importance of data collection and analysis in effective research design
' Employ hypothesis-testing in research design
' Perform routine data manipulation and analysis using statistical software
' Explain the differences between and uses of parametric versus non-parametric statistical methods
' Analyse complex datasets using the Generalised Linear Model framework
' Identify appropriate statistical methods to employ for a range of research projects.
' Use the highly flexible software package R to conduct your analyses
Module Learning Aims:
Module Content:
: This module outlines the principles of data collection coding and analysis within the context of research design and provides a firm quantitative base with particular relevance to the research project. It includes an introduction to types of data how data can be described statistically and a series of methods used for extracting information from complex datasets. It also includes practical examples and illustrations of statistical applications to real-world research projects. Introduction to modern cutting edge analyses will be included in this course: e.g. Bayesian statistics mixing models and multivariate approaches.
",5
BD7055,Taxonomy Systematics And Identification Skills,Coordinator John,"Learning Outcomes:
On successful completion of this module students will be able to:
' Understand the rationale behind various approaches to the classification of biological diversity
' Demonstrate familiarity with historical and current approaches to systematic classification including use of molecular phylogenies
' Interpret and use phylogenetic classifications
' Have a sound grasp of morphological features used in the identification of chosen groups
' Understand the application and merits of various species concepts
' Apply their identification skills and systematic knowledge to a wider range of taxa
' Use the study topic as a link to combine practical skills with appropriate theoretical knowledge
Module Learning Aims:
Module Content:
This module will provide an introduction to the principles of systematics the classification of biological diversity. Various species concepts and their application will be described and the application of classical morphological approaches and modern molecular approaches will be compared. Part of the course will involve an individual project on the systematics of a particular group of organisms.
",5
BD7056,Human Impacts With Biodiversity,Coordinator Jane,"Learning Outcomes:
On successful completion of this module students will be able to:
' Demonstrate knowledge of how human activities directly interact with global biodiversity including an appreciation of how political struggles for control over biological resources and socio-economic pressures affect biodiversity conservation and sustainable use
' Critically evaluate published research on human-biodiversity interactions both individually and in groups
' Design and conduct public attitudes survey and communicate findings to peers
' Analyse and interpret published data and produce a journal-style report
' Peer-review reports written by colleagues
' Carry out an in-depth case study and present project findings orally and in a non-technical written format
Module Learning Aims:
Module Content:
This module will explore how human activity can positively and negatively affect global biodiversity and the value of biodiversity to humans. Case-studies will be used to investigate biological impacts of habitat destruction and fragmentation invasions by non-native species pollution and climate change (the main current drivers of biodiversity loss). The political ecology of human-biodiversity interactions will be explored and mitigation strategies for reducing negative impacts considered.
",5
BD7057,Project Planning,Coordinator Stephen,"Learning Outcomes:
On successful completion of this module students will be able to:
' Provide the context of a research project through critical evaluation of published literature and use this to refine research questions.
' Develop relevant hypotheses to be tested an outline of the methods used to test these hypotheses and a realistic time plan for the completion of a project.
' Evaluate the resources required for successful project completion.
' Plan an effective timeframe for prject completion.
' Present the project context research qeustions methods and a delivery plan for peer review.
' Develop skills in the preparation of grant applications.
Module Learning Aims:
Module Content:
During this module you will select a research project title. Workshops will be held to guide the development of key project management skills and to initiate the process of literature review and development of methods in relation to the project. This will all be placed in the context of a grant application submission related to the project title. The module will involve discussions with members of staff supervising project work.
",5
