code,name,lecturer,description,ects
MN1D02SA,Principles Of Intellectual Disability Nursing Across The Lifespan,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
MN1G01SA,Introduction To General Nursing In Acute Care Settings,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
MN1G02SA,General Nursing ‘Care Across The Lifespan’,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
MN1P01SA,"Understanding Mental Health, Distress And Illness And Approaches To Care",,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
MN1P02SA,Psychotherapeutic Skills And The Recovery Approach Within Mental Health Practice,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
MN1S00,Jf Shared Administration,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",0
MN1S05,Midwifery/Nursing Clinical Adminstration,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",0
MN2S05,Midwifery/Nursing Clinical Adminstration,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",0
MN3S00,Js Shared Adminisration,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",0
MN3S05,Midwifery/Nursing Clinical Adminstration,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",0
MN4S00,Ss Shared Administration,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",0
MN4S05,Midwifery/Nursing Clinical Adminstration,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",0
MN5S05,Midwifery/Nursing Clinical Administration,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",0
MNCPSA,Clinical Practice For Study Abroad Students,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",10
MNU11001,Foundation In Children'S Nursing Practice,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",10
MN1D01,Foundations Of Person Centred Intellectual Disability Nursing Practice,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",10
MN1D02,Principles Of Intellectual Disability Nursing Across The Lifespan,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",10
MN1G01,Introduction To General Nursing In Acute Care Settings,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",10
MN1G02,General Nursing 'Care Across The Lifespan',,"Learning Outcomes:
Module Learning Aims:
Module Content:
",10
MN1M01,Introduction To Midwifery 1,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",10
MN1M02,Introduction To Midwifery 2 - Sharing The Woman'S Experience,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",10
MN1P01,"Understanding Mental Health, Distress And Illness And Approaches To Care",,"Learning Outcomes:
Module Learning Aims:
Module Content:
",10
MN1P02,Psychotherapeutic Skills And The Recovery Approach Within Mental Health Practice,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",10
MN1S01,Biological Sciences Underpinning Health And Wellbeing,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",10
MN1S02,"Health Promotion, Essential Knowledge For Skills And Practice",,"Learning Outcomes:
Module Learning Aims:
Module Content:
",10
MN1S03,Psychosocial Foundations For Care,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",10
MN1S04,Foundations For Professional Practice,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",10
MW2001,Midwifery Practice 4,All Midwives,"Learning Outcomes:
On successful completion of this module, midwifery students should be able to:

Practice core midwifery skills with competence and confidence whilst recognising their future learning needs;

Demonstrate the ability to perform accurate assessment in all aspects of midwifery practice;

Provide women with accurate factual information tailored to their individual needs;

Obtain informed consent from women at all appropriate times;

Begin to demonstrate decision making skills in relation to midwifery practice and care;

Begin to demonstrate the ability to recognise and rationalise deviations from physiological processes and access appropriate referrals;

Demonstrate the skills of appropriate referral when women require care other than that provided by a midwife;

Demonstrate knowledge of appropriate actions, procedures and protocols to be followed in emergency situations;

Show evidence of recognition of the boundaries between the midwifery and obstetric professions;

Demonstrate a confident and competent approach to infection control in midwifery practice;

Demonstrate an understanding of local practices and policies and begin to relate these to research and evidence based care;

Display an awareness of the factors that influence access to and uptake of maternity services;

Demonstrate the ability to work effectively as a team member;

Demonstrate an understanding of the factors that influence the scope of midwifery practice;

Demonstrate the ability to address all aspects relating to the storage and administration of medications in practice.
Module Learning Aims:
The aim of this module is to provide students with the opportunity to continue to develop their core midwifery practice skills and knowledge and to develop the necessary knowledge and skills to provide midwifery support and access appropriate help for women with unexpected outcomes and pathophysiologies in pregnancy, labour and childbirth, and the puerperium.
Module Content:
Midwifery students will have a 4-week placement in either of the following areas: antenatal, intranatal or postnatal. During practice placements students are encouraged to reflect on their practice and this is an integral part of the Assessment of Midwifery Competence Document. Reflection is facilitated by midwives, the student’s preceptor, the Clinical Placement Co-ordinators and Link Lecturers in Midwifery.
",5
