code,name,lecturer,description,ects
PH7000,Research Project (Taught),,"Learning Outcomes:
On successful completion of this module students should be able to:
' Identify a suitable topic for research and design a project proposal which will outline aims, objectives, methodology, outcomes and a suitable time frame
' Assess ethical considerations of research and make an application to relevant ethics approval committees where appropriate
' Carry out a comprehensive literature review, critically evaluate previous studies carried out and use this information to enhancethe project design
' Select and apply suitable research methods to carry out the data collection/experimental work, using validated tools where appropriate
' Process and analyse the data collected, using appropriate software (e.g. Excel, Prism, SPSS, NVivo) where applicable
' Select suitable statistical methodology and undertake statistical analysis where applicable
' Interpret the research findings and draw appropriate conclusions based on the research outcomes, in response to the research question
' Present the research undertaken in the form of a written dissertation (and oral presentation where required) in accordance with scientific conventions
' Submit the research findings for publication in a relevant peer-reviewed journal and/or presentation at a relevant scientific conference where appropriate.
Module Learning Aims:
Module Content:
This module comprises two subcomponents: Units 5 and 6. Unit 5 contains material on pharmacy practice research methodology and is in preparation for Unit 6, where you will conduct your own research project.
Material in Unit 5 includes:
' evidence-based healthcare;
' critical analysis of research literature;
' study design;
' qualitative and quantitative data collection methods;
' data analysis and statistics;
' presentation of scientific research.
Unit 6 entails performance of a research project on a topic of your choice, relevant to community pharmacy practice. It will incorporate a literature review, study design, data collection and analysis, interpretation of the results and discussion of your findings. On completion of the project, the research findings must be presented both as a written dissertation and in a brief oral presentation. [See Section 10.]
",30
PH7008,Molecular Pharmaceutics And Advanced Drug Delivery,coordinator Carsten,"Learning Outcomes:
On successful completion of this module, the student will be able to:
' Describe the impact of drug transporters and metabolic enzymes on limiting/enhancing drug bioavailability
' Describe alternative routes of systemic drug delivery
' Describe of the anatomical and patho(physiological) particularities of epithelial barriers of the skin, mucosae, eye, and respiratory system
' Explain basic principles in vitro cell culture techniques
' Describe the biopharmaceutics classification system and its application in research and development (BCS)
' Discuss the biopharmaceutical, formulation and manufacturing aspects of advanced delivery systems.
Module Learning Aims:
The aims of the module are: to provide an overview on advanced drug delivery strategies, alternative routes of drug absorption for local and systemic delivery, including nucleic acid delivery, to familiarise the students with the anatomical and patho(physiological) particularities of those pathways, and in vitro models mimicking the respective biological barriers and to give an introduction to molecular pharmaceutics, including drug transporter biology and metabolic enzymes.
Module Content:
Lectures:
1-4. Design of drug delivery systems
5-6. Advanced polymers, polymers as drug carrier systems
7. Anti-sense technology
8-10. Particle manufacture in the design of advanced solid dosage forms
11-14. Gene therapy
15. In vitro methods for drug absorption studies
16. Drug disposition after oral administration
17. Drug transporters and efflux pumps
18. Metabolic enzymes
19-20. Biopharmaceutics Classification System
21-23. Transdermal drug delivery
24. Nasal drug delivery
25-26. Pulmonary drug delivery
27. Mucosal (buccal, vaginal) drug delivery
28. Ocular drug delivery
29-32. Inhalation aerosols
Seminars:
1-2. Molecular Pharmaceutics (2x2 h)
Presentations:
1-2. Research article presentations (2x2 h)
",5
PH7009,Pharmaceutical And Medical Nanotechnology,coordinator MJ,"Learning Outcomes:
On successful completion of this module, the student will be able to:
' Describe the physicochemical properties of pharmaceutical colloid systems
' Describe the formulation of the various nanopharmaceutical drug delivery systems
' Discuss the application of organic and inorganic nanoparticles to treat human diseases
?' Describe the principles of drug pre-formulation and formulation.
' Describe the basic aspects of nanotoxicology
' Explain the rationale of performing toxicological evaluation of nanoparticles.
Module Learning Aims:
The module deals with the theoretical aspects of pharmaceutical and medical nanotechnology including: characterisation and formation of pharmaceutical colloidal systems, formulation of single molecule, e.g. dendrimers, and associated, e.g. micelles and liposomes, nanopharmaceutical drug delivery systems, inorganic, e.g. quantum dots and magnetic, nanoparticles, their potential applications to the practice of medicine (diagnosis, treatment and follow up of human disease) and the relevance of toxicological studies related to the use of nanomaterials.
Module Content:
Lectures:
1. Colloids and pharmaceutical nanotechnology
2-3. Introduction to nanomedicine
4. Classification of colloids, lyophobic and lyophilic colloids
5. Kinetic, optical and electrical properties of colloids
6. Physical stability of colloids, DLVO theory
7. Micellar colloids, solubilization by micelle formation, ternary phase diagrams
8. Liposomes and liposomal drug delivery systems
9. Applications of nanotechnology to human diseases: potentials and challenges of nanomedicine
10-12. Nanotechnology applied to Healthcare: diagnosis of human diseases
13. Nanotechnology applied to Healthcare: monitoring/follow up of human diseases
14. Introduction to nanotoxicology and risk assessment
15. Nanoparticle-blood interactions: platelets and risk of thrombosis
16. Nanoparticle-cell interactions: in vitro models of cell toxicity
17. Regulatory policies on the use of Nanomaterials in Medicine
Practical classes:
1. Physicochemical characterisation of nanoparticles (3 h)
2. Tissue culture: evaluation of cell toxicity in vitro (3 h)
3. Quartz crystal microbalance with dissipation (QCM-D) technology: nanomedicine applications (3 h)
4. Microfluidics and nanoparticles (3 h)
",5
PH7010,Cardiology In Clinical Pharmacy Practice,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
PH701A,Cardiology In Clinical Pharmacy Practice,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
PH7100,Biochemical Basis Of Neuropharmacology,Assoc. Andrew,"Learning Outcomes:
Module Learning Aims:
Module Content:
Introduction to Pharmacology
Targets of drug action
Receptors (ligand gated ion channels)
Receptors (GPCRs, kinase linked and intracellular receptors)
Dose response; agonism 
Dose response; antagonism 
Therapeutic and toxic doses
Pharmacokinetic processes; absorption and distribution
Drug metabolism and excretion
Pharmacokinetic modelling
Drug design, development and testing I
Drug design, development and testing II
Neurotransmission
Autonomic nervous system
Cholinergic transmission
Cholinergic agents: anticholinesterases
Muscarinic blockers; ganglionic blockers
Adrenergic transmission

Direct/indirect sympathominetics/stimulants
NANC transmitters
Somatic system and skeletal neuromuscular blocking agents
Excitatory neurotransmitters in the central nervous system
Inhibitory neurotransmitters in the central nervous system
Monoaminergic neurotransmission: catecholamines
Monoaminergic neurotransmission: indoleamines
Peptide transmitters
Drug targets and receptor transduction (CAL Practical)
Basic Pharmacokinetics (CAL Practical)

 
",5
PH7101,Regulatory Aspects And Industrial Pharmacy,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",10
PH7102,Chromatographic & Other Separative Methods Of Analysis,,"Learning Outcomes:
On successful completion of this module students should be able to:
' Describe models for intermolecular interactions and forces relevant to chromatography
' Perform a TLC, GC or HPLC analysis on a sample
' Distinguish between selectivity, resolution and efficiency in chromatography
' Analyse a chromatogram for system suitability and quantitation
' Develop a chromatographic method
' Predict the effect of pH on analyte retention in chromatographic systems.
Module Learning Aims:
Module Content:
",5
PH7103,Spectroscopic Methods Of Drug Analysis,,"Learning Outcomes:
On successful completion of this module, students will be able to:
' Identify the major regions of the electromagnetic spectrum relevant to analysis
' Describe the principles of spectroscopic methods (UV-Vis, IR, NMR, MS, etc) used in pharmaceutical analysis
' Illustrate instrumentation used in spectroscopy (UV-Vis, IR, NMR, MS, etc)
' interpret spectral data for the analysis of drug molecules
' Predict spectral data of drug molecules
' Deduce the molecular structure of a drug from spectral data
' Propose the appropriate spectroscopic technique for a given problem in pharmaceutical analysis
' Evaluate the use of spectroscopic methods for the analysis of drug molecules
' Carry out a UV-Vis, IR and fluorometric analysis.
Module Learning Aims:
Module Content:
",5
PH7105,Biopharmaceutical Sciences,,"Learning Outcomes:
On successful completion of this module students should be able to:
' Identify the sources of impurities in drug substances an drug products
' Demonstrate knowledge of the application of the general principles of
analysis to low level analytes in drug substances and drug products
' Demonstrate a knowledge of the appropriate cleaning validation procedures used in the manufacturing of a drug product
' Identify the appropriate drug residue and carryover limits acceptable in the manufacturing of drug substances and drug products
' Describe the philosophy and approaches to the techniques used in the determination of drug residues in food producing animals.
Module Learning Aims:
Module Content:
",5
