code,name,lecturer,description,ects
PY1T10,Physics For Theoretical Physics,E.C. Finch,"Learning Outcomes:
On successful completion of this module, the students will be able to:
' Express relativistic effects concerning the motion of a body, as observed in different inertial reference frames.
' Describe wave motion and relate it to basic phenomena in light and sound.
' Sketch how astronomy provides a basic description of the universe.
' Prepare a brief report, which includes an error analysis, of a simple physical experiment.
Module Learning Aims:
Module Content:
1. What is Physics?: An introduction to the School of Physics and the subject.

2. Special Relativity:

Galilean transformations, Michelson-Morley experiment. Lorentz transformations, time dilation, length contraction, simultaneity.

Doppler effect.

Transformation of velocities and forces.

Relativistic dynamics.

Pair creation, fission, fusion.

Collisions.

Compton effect.

Relativity and electromagnetism.

3.Hearing and Seeing:

Resonance, harmonic oscillators, SHM, frequency.

Waves: standing, travelling, wavelength, wave velocity.

Sound: music, vibrations of a string and of a column of air, harmonics, Doppler effect.

Light: Rayleigh scattering, refraction, reflection, dispersion, index of refraction, polarization, polarized reflection, Malus' law, birefringence, total internal reflection, colour vision, gas discharges, lasers.

Optics: refracting optics, lenses, real images, focus, focal length, f-numbers, lens equation, cameras, reflecting optics, curved mirrors, telescopes.

Interference: superposition of waves, beating, 2 beam interference, anti-reflection coating.

Diffraction: Huygen's principle, diffraction by a slit and grating, X-ray diffraction.

4. Astronomy and Astrophysics:

Denizens of our solar system;

making stars and planets;

creating the elements;

the case of the missing matter.
",10
PY1T20,Physics For Theoretical Physics,G. Cross,"Learning Outcomes:
On successful completion of this module students should be able to:

Describe key experimental observations underpinning electricity and magnetism.

Demonstrate how the properties of matter can be described in terms of state variables, such as pressure and temperature.

Describe the important paradigm shifts that occurred within physics at the end of the 19th century and that still carry on through to 21st century physics

Interpret the data obtained in a simple physical experiment by applying a numerical data analysis.
Module Learning Aims:
Module Content:
1. The Material World:

Phases of matter and phase transitions.

Solids: stress, strain, elastic and plastic deformations, crystal structure, glass, plastics.

Fluids: pressure, density, Archimedes' principle, surface tension, hydrodynamics, Bernoulli's equation, viscosity, laminar and turbulent flow.

Gases: gas laws, kinetic theory, PVT diagrams.

Heat and thermodynamics: thermal energy, heat, temperature, thermal expansion, conduction, convection, radiation, Stefan-Boltzmann law, laws of thermodynamics, heat engines.

2. Electromagnetic Interactions:

Electrostatics: electric charge, Coulomb's law, electric field, Gauss's law, electric potential energy, voltage, electric polarization, capacitance.

Electricity: current, resistance, Ohm's law, electromotive force, power in electric circuits, Kirchoff's laws, RC circuits.

Magnetism: magnetic pole, magnetostatic forces, magnetic fields, magnetic domains.

Electromagnetism: force on a moving charge, magnetic torque, electric motors - DC and AC, field due to a moving charge, force between conductors.

Electromagnetic induction: Faraday's law, Lenz's law.

3. Origin of Modern Physics:

The existence of atoms.

Fingerprints of matter: spectra.

The nature of light.

The discovery of x-rays and electrons

Models of the atom.

Divisibility of atoms: radioactivity.
",10
PY2T10,Classical Physics For Theoretical Physics,C. Patterson,"Learning Outcomes:
On successful completion of this module, the students will be able to:
' Describe how classical physics is underpinned by wave optics and thermodynamics.
' Solve basic problems in relation to harmonic oscillators.
' Relate the concept of oscillations to optical properties of matter.
' Employ web-based research techniques in a small group project and present the results in form of a poster.
' Prepare an extensive report detailing methodology, data gathering and interpretation of a physical experiment.
Module Learning Aims:
Module Content:
1. Oscillations: Review of simple harmonic motion. Forced and damped oscillations. Resonance. Two coupled oscillators, modes and normal coordinates. Many coupled oscillators. Transition to continuous systems. Waves. Nonlinear behaviour. Anharmonic behaviour.
2. Physical Optics: IIntroduction: light as a wave. Plane waves. Light in matter: electron oscillator for a dielectric. Refractive index and dispersion. Optical properties of metals. Polarisation of light. Linear, circular and elliptical polarisation. Birefringence in uniaxial crystals. Polarisation components. Polarisation by reflection, scattering. Retarders and analysis of polarised light. Angular momentum of the photon. Interference and coherence - complex degree of coherence. Visibility of fringes, temporal coherence and spectral bandwidth, spatial coherence. Interference- wavefront and amplitude splitting interferometers, types and location of fringes, and applications of interferometry. Multiple beam interference. Fabry-Perot interferometer. Diffraction - near-field and far-field diffraction.
3. Thermodynamics: First law of thermodynamics. Internal energy, heat and work. Reversible and irreversible processes. Specific heat. Second law of thermodynamics. Heat engines, Carnot cycles. Entropy. Probability and disorder. Combined first and second laws. Central equation. H, F, G. Maxwell's relations. Energy equations. Cooling processes. Joule-Kelvin effect. Third law of thermodynamics. Van der Waals model for real gases.
4. Electricity and Magnetism: Coulomb's and Gauss' Laws; dipoles and polarisation; electric susceptibility and displacement vector; polar dielectrics and Langevin analysis; potential and electric energy density; Biot-Savart and Ampere's Laws; magnetic dipole and magnetisation; H vector; vector potential; magnetic energy density; dia, para and ferro magnetism; Faraday's law of electromagnetic induction; magnetoelectric induction; Maxwell's equations.
",10
PY2T20,Modern Physics For Theoretical Physics,B. Espey,"Learning Outcomes:
On successful completion of this module, the students will be able to:
' Describe how modern physics is underpinned by quantum and nuclear physics.
' Explain the concepts of deterministic chaos and complexity in relation to dynamical systems..
' Discuss the composition of the solar system and explain basic astronomical observations.
' Prepare calculations and present in small groups.
' Analyze, modify and run C language programs to perform computer experiments.
Module Learning Aims:
Module Content:
1. Chaos and Complexity: Examples of chaotic systems, logistic map, period doubling, Feigenbaum numbers, Ljapunov exponent, phase portraits, iterated maps, fractals, self organised criticality, cellular automata dynamics of pedestrian motion.
2. Quantum Physics: Origins of quantum physics. Black body radiation. Photoelectric effect. Compton Effect. De Broglie's Postulate. The Uncertainty Principle. Atomic spectra. Bohr model of the atom. Correspondence Principle. Steady-state Schrödinger equation. Particle in an infinite square well. Finite square well. Simple.
3. Nuclear Physics: Scattering. Cross-sections. Rutherford scattering. Nuclear force. Nuclear binding. Nuclear masses. Mass defect. Mass dependence of binding energy per nucleon. Beta decay. Electron, positron emission. Electron capture. Decay chains. Alpha decay. Heavy element decay chains. Barrier penetration mechanism. Gamma decay. Radioactive decay law. Analysis of parent-daughter activity relationships. Nuclear fission. Liquid drop model. Fission products. Induced fission. Nuclear reactors. Neutron moderation. Control and delayed neutrons. Reactor types. Environmental and other concerns. Fuel cycle. Nuclear fusion. Fusion reactors.
4. Observing the Universe: Basic astronomical definitions. The Earth and Moon in space; co-ordinate systems. The Sun and stars, basic stellar information (distance, luminosity, life cycle). The structure of our Galaxy and other galaxies, variable and exploding stars as 'standard candles' for measuring the distance of galaxies. Our place in the Universe; the origin and fate of the Universe.
",10
PY4T01,Condensed Matter Theory,S. Sanvito,"Learning Outcomes:
On successful completion of this module the student will be able to
' demonstrate knowledge of the foundations of solid state Physics in terms of non-interacting electrons
' give a quantum mechanical description of the chemical bond for homonuclear and heteronuclear molecules,
' describe the determination of simple band structure using the tight-binding method.
' perform analytic calculations to solve elementary condensed matter related problems (simple molecule spectrum, band-structure of s-like 1D and 2D materials and of graphene)
' formulate a model based on the concepts learnt to explain simple condensed matter phenomena (e.g. the Peirels distortion).
Module Learning Aims:
Module Content:
What Hamiltonian? Born-Oppenheimer Approximation; Tight-binding method for molecules; From molecules to solid; Going from 1D to 2D and 3D; C-graphite and C-nanotubes; Interfaces: charge transfer and screening; A proper calculation: the Coulomb potential back; Density Functional Theory; Kohn-Sham equations; Electronic transport: Classical model; Quantum Transport; Transfer matrix theory; Disorder and localization.
",5
PY4T02,Electron And Photon Physics,J.M.D. Coey,"Learning Outcomes:
On successful completion of this module, students should be able to:

Describe the characteristic physical properties of a superconductor (zero resistance, Meissner effect, absence of electronic heat capacity, isotope effect)

Relate the physical properties to underlying theoretical concepts, especially the energy gap, electron pairing and the two characteristic lengths

Manipulate the Ginzburg-Landau expression for the free energy to reproduce the phase transition

Describe the concept of a photon, and relate this to the mathematical treatment of the quantum-mechanical electromagnetic field

Use this knowledge to calculate basic physical properties of the quantum-mechanical electromagnetic field

Describe the theory of the interaction of quantized fields with atoms and solids
Module Learning Aims:
Module Content:
Part I:Quantum theory of light:This course provides an introduction to the quantum theory of light and its physical consequences. Planck radiation law; Photon shot noise; Hamiltonian for the electromagnetic field; Classical and non-classical states of light; Light-matter coupling; Jaynes-Cummings model and Rabi oscillations.
Part II: Metal Physics and Superconductivity: This course provides a basic account of the phenomena and theory of superconductivity and its applications, including high-Tc oxide superconductors. Resistivity of normal metals: impurity scattering, temperature dependence of resistivity due to electron-phonon scattering. Superconductivity: zero resistance, Meissner effect, thermodynamic treatment of the phase transition. Energy gap from specific heat and tunneling. Type I and II superconductors. Phenomenological Ginzburg-Landau theory. Penetration depth. Cooper pairs. Correlation length. Results of BCS theory Flux quantization, tunneling, ac and dc Josephson effects.
",5
PY4T03,Quantum Optics And Information,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
PY4TP1,Practical In Theoretical Physics,,"Learning Outcomes:
Learning Outcomes
On successful completion of this module the student will be able to
' carry out a short open-ended research project in all its stages: literature study, data generation and data analysis
' generate a concise research report
' participate in group discussion of problem-solving in physics.
' perform calculations that integrate disparate elements of physics.
Module Learning Aims:
Module Content:
Description:
This module combines a research project with a component of general problem solving in physics.
Part I: Problem Solving - 9 tutorials
Techniques for using physics knowledge to solve general problems will be developed.
Part II: Project - In the first 9 weeks of Michaelmas term students, working in pairs, carry out a computational or theoretical project in the School of Physics
Part III: School Seminars - 8 Seminars
",10
PY4TP2,Theoretical Physics Project,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",10
PY4TP5,Problem Solving For Theoretical Physics,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
