code,name,lecturer,description,ects
BCPS1,Introduction To Psychology,Coordinator Paul,"Learning Outcomes:
On successful completion of this module students will be able to:
' describe and synthesize different levels of analysis in modern psychology
' critically evaluate the methods used to acquire psychological knowledge in order to
understand the relationships between theories observations and conclusions
' critically consume psychological knowledge enabling them to digest experimental
findings
' critically analyse psychological knowledge from different sub-disciplines within a
wider intellectual context
' have a heightened sensitivity to ethical issues values and diversity of experience
and how psychology approaches these issues
' explain how the study of psychology enables individuals to make informed
judgments that shape individuals and society
Module Learning Aims:
This module aims to provide a broad introduction to the major conceptual approaches theories principles and research domains of contemporary psychology
Module Content:
Course Content
1. Introductory Lecture: What Is Psychology?
2. The Brain And You
3. Sigmund Freud
4. The Human Senses
5. Cognitive Mechanisms I: Perceiving And Attending
6. Cognitive Mechanisms II: Memorising Remembering And Forgetting
7. Babies And Beyond: The Growth Of Mind And Person
8. Our Language Instinct
9. Growing Older: The Psychology of Ageing
10. The Adaptiveness Of Behaviour I: Evolutionary Psychology
11. The Adaptiveness Of Behaviour II: Learning
12. The Human Intellect
13. Motivation And Emotion
14. Personality
15. Health Psychology
16. The Mind In Society I: Social Cognition And Attitudes
17. The Mind In Society II: Interpersonal And Group Processes
18. States Of Consciousness
19. Understanding Mental Disorders
20. Treating Mental Disorders
21. Positive Psychology: The Pursuit Of Happiness
22. ExaminationRevision
",5
BCPS2,Social Psychology,Coordinator Jean,"Learning Outcomes:
On successful completion of this module students will be able to:
' identify the main classical and contemporary themes and research domains of social
psychology
' explain social psychological models and theories used to describe and theorise
about the social world
' critically evaluate social psychological theories and positions
' evaluate different types of social psychological research
Module Learning Aims:
This module is designed to introduce students to the field of social psychology and the
principles underlying group and individual interaction. It will present the historical and
philosophical roots of social psychology in the context of the current state of the discipline.
Students will be acquainted with debates and tensions between different schools within
social psychology and to present critiques of the discipline. The module aims to present the
richness complexity and variety of human social behaviour and the discipline that studies it
in a conceptually integrated way.
Module Content:
1. Defining Social Psychology
2. A short history of Social Psychology
3. The crisis in social psychology
4. Evidence: Methods of Enquiry in social psychology
5. The concept of Attitude
6. Attitude Change
7. Constructing the Self
8. Social identity
9. Social Perception and Attribution
10. Social Cognition
11. Social Influence
12. Social Interaction
13. The psychology of groups
14. Group processes and performance
15. Aggression and Altruism
16. Interpersonal Attraction
17.Prejudice and Out-Group Perception
18.Language and Discourse in Social Psychology
19.Evolutionary Social Psychology
20.Social neuroscience
21.A Cross Cultural Perspective on Social Psychology
22.Social Psychology in action
",5
BCPS4,Foundations In Psychology,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
PS1005,Academic Skills Tutorials 1,,"Learning Outcomes:
On successful completion of this module students will be able to:
' summarise evidence [PO134.6];
' analyse critically [PO24];
' construct an argument [PO2346];
' synthesise [PO14];
' communicate clearly [PO6].
Module Learning Aims:
These small group tutorials are designed to develop student competence in
information search analysis and synthesis and in associated essay writing skills.
The pedagogic goals of the essay writing component of this module are to develop
the separate skills which underpin good essay writing; to shake students out of
'regurgitation' mould; and to develop an attitude of scepticism. The aim of the
presentation element of tutorials is to develop active listening skills and constructive
evaluation and to further develop essay writing skills through focus on:
' clarity of communication
' precise identification of issues/phenomena/question
' succinct summaries of evidence/theoretical argument
' coherent structure
Module Content:
A range of topics selected from the five broad areas of the course are covered.
Topics for the tutorial essays may be from the tutor's area(s) of expertise so that
state-of-the-art feedback can be provided on content.
",5
PS1009,Psychological Disorder,Ms. Anne,"Learning Outcomes:
On successful completion of this module students will be able to:
' describe and outline major theoretical approaches to psychological disorder
[PO24];
' identify contemporary diagnostic criteria for a range of disorders [PO123];
' critically evaluate the role of social cultural and economic influences in defining
and diagnosing psychological disorders [PO24];
' describe the application of research methodologies to studying psychological
disorders [PO2];
' appreciate the contribution of psychological factors in the cause expression and
treatment of a range of clinical problems [PO2];
' critically evaluate the efficacy of psychological intervention [PO24].
Module Learning Aims:
This module is designed to introduce students to the field of psychological disorders. This module aims to provide a broad introduction to the major conceptual approaches theories principles and research domains of psychology applied to mental health problems
Module Content:
Introduction

Theoretical Approaches

Legal and Ethical Issues


Research Methodologies

Diagnosing Mental Illness

Clinical Assessment

Substance Abuse

Aging

Eating Disorders

Psychophysiological Disorders

Somatoform Disorders

Culture & Disorder

Schizophrenia

Childhood Disorders

Depression

Anxiety

Personality Disorders

Sexual and Gender Identity Disorders

Evaluating Psychotherapy
",5
PS1010,Research Skills And Methodology I,Coordinator Samuel,"Learning Outcomes:
On successful completion of this module students will be able to
' Describe the research process and its key decision points and challenges [PO245];
' Efficiently use the range of tools available to collect the literature on a relevant topic [PO123];
' Write a clear concise accurate research report in the appropriate style with appropriate citations and references [PO 6];
' Describe the challenges of different data gathering methodologies [PO12];
' Identify the ethical challenges in different research proposals [PO7].
' Understand and appropriately apply descriptive statistics [PO 12]
' Be able to use SPSS to create and manage datasets and carry out descriptive statistics [PO 12]
Module Learning Aims:
This module aims to give students grounding in the research process and its related skills
and methodology.
Module Content:
' The research process
' Research ethics
' Design of research
' Practical data gathering using a range of methodologies
' Report writing
' Literature searching citing and referencing
' Research Methodology
' Descriptive statistics
' SPSS
",10
PS1011,Statistics And Methodology I,Coordinator Samuel,"Learning Outcomes:
On successful completion of this module students will be able to
With reference to the statistical procedures covered in the module [PO456]:
' explain the theoretical rationale behind them
' explain the logic and calculation of them
' use SPSS to perform them
' calculate the simpler ones by hand
' correctly report them
' critique the use and reporting of them
' determine the correct procedures to use in different circumstances
With reference to the research methods covered [PO2345]:
' define and distinguish between them
' explain the theoretical rationale behind them
' explain their strength and weaknesses
' correctly report them
' identify their implications for statistical analysis
' identify the appropriate methods to be used for particular objectives
Module Learning Aims:
This module aims to give students grounding in core statistical tools and methods and provides a foundation for more advanced modules in subsequent years. The module aims firstly to produce smart consumers of psychological research and secondly students competence at collecting exploring analysing interpreting and presenting psychological data
Module Content:
1. Types of knowledge scientific method statistics.
2. Constructs variables and definitions
3. Measures of central tendency and dispersion
4. Normal distribution including z scores
5. Experimental design 1 - single factor and factorial designs
6. Measurement scales
7. ED2 - single subject design and quasi experimental design
8. Basic concepts of probability
9. Statistical inference and parametric vs non parametric statistics
10. Questionnaire and survey design
11. Correlation
12. Validity and reliability
13. Content analysis
14. Standardised test inventories
15. t-tests parametric
16. t-tests nonparametric
17. Chi square
",10
PS1012,Research Skills And Methodology I,Coordinator Samuel,"Learning Outcomes:
On successful completion of this course students will be able to:
' describe the research process and its key decision points and challenges [PO245];
' efficiently use the range of tools available to collect the literature on a relevant topic [PO123];
' write a clear concise accurate research report in the appropriate style with appropriate citations and references [PO 6];
' describe the challenges of different data gathering methodologies [PO12]; identify the ethical challenges in different research proposals [PO7].
' Understand and appropriately apply descriptive statistics [PO12]
' Be able to use SPSS to create and manage datasets and carry out descriptive statistics [PO12]
Module Learning Aims:
This module aims to give students grounding in the research process and its related skills and methodology.
Module Content:
' The research process
' Research ethics
' Design of research
' Practical data gathering using a range of methodologies
' Report writing
' Literature searching citing and referencing
' Research Methodology
' Descriptive statistics
' SPSS
",5
PS1020,Research Skills And Methodology I (2Sub),,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
PS1021,Statistics And Methodology I (2Sub),,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
