code,name,lecturer,description,ects
BCCLA1,Greek Art And Architecture,OrganisersChristine Morris,"Learning Outcomes:
Upon the successful completion of this module students should be able to:


Demonstrate familiarity with major monuments and works of art covered in the module .

Demonstrate a knowledge of basic terminology for chronological periods styles of art and architecture names of important artists

locate regions and sites of major importance in the Greek world

understand the main developments and achievements of Greek art and architecture

understand and appreciate the role of art and architecture within the context of the societies which produced and used it

Demonstrate basic visual skills for identifying and discussing art and architecture.


 
Module Learning Aims:
Module Content:
This module offers an introductory survey of the development and major artistic and artistic achievements of Greek architecture sculpture and painting from the Greek Bronze Age to the Hellenistic period. The module places art and architecture in its social political and cultural context. It explores themes such as the representation of the human form the use of narrative and mythology in art urbanisation and the development of architectural forms such as temples and theatres.
",5
BCCLA2,Roman Art And Architecture,OrganisersChristine Morris,"Learning Outcomes:
Upon the successful completion of this module students should be able to:

Demonstrate familiarity with major monuments and works of art covered in the module

Demonstrate a knowledge of basic terminology for chronological periods styles of art and architecture names of important artists

locate regions and sites of major importance in the Roman world

understand the main developments and achievements of Roman Art

understand and appreciate the role of art and architecture within the context of the societies which produced and used it

demonstrate basic visual skills for identifying and discussing art and architecture
Module Learning Aims:
Module Content:
This module offers an introductory survey of the development and major artistic achievements of Roman art and architecture from the early Republic to the reign of the Roman emperor Hadrian in the early 2nd century AD. The module places art and architecture in it's social political and cultural context. It explores themes such as the representation of the human form the use of narrative and mythology in art urbanisation and the development of architectural forms such as temples commemorative monuments and buildings for spectacle and leisure.
",5
BCPHLO,Problems In Philosophy,Kenneth Pearce,"Learning Outcomes:
Component 1: Philosophy of Religion 

At the end of this component students will be able to:

Describe some main philosophical questions related to religious belief and practice.

Critically evaluate philosophical arguments concerning religious belief and practice.


Component 2: Philosophy of Mind 

At the end of this component students will be able to:

Demonstrate an understanding of important concepts in the philosophy of mind.

Critically assess prominent arguments for and against the main positions on the mind-body question.
Module Learning Aims:
Module Content:
Component 1: Philosophy of Religion (Dr Kenneth Pearce)

 

This component provides an introduction to philosophical reflection on religious belief and practice. We will focus on three questions:

 

What is the relationship between faith and reason? Religious believers sometimes claim that their beliefs are a matter of faith and therefore do not need to be supported by reasons. Is this claim plausible? Should rational arguments against articles of faith be taken seriously? If it’s acceptable for someone to believe by faith (without evidence) that God exists is it also acceptable for someone to believe by faith that 2+2=5?
Can belief in God be rational? Philosophers have offered a variety of arguments for and against the existence of God. We will discuss a few of the arguments that have been most influential in the Western tradition.
What is the nature of religious practice? Religions typically involve not only beliefs but also ritual practices. What is the point of these practices? Why do people engage in them? How is religious practice related to religious belief?

 

Component 2: Philosophy of Mind (Dr Ben White)

 

This component will consider some central concepts and debates in the philosophy of mind. We will focus on the mind-body problem. This problem concerns the relationship between mental states (e.g. sensations thoughts beliefs desires) and physical states (e.g. neural patterns) and how the two might interact in order to cause our behaviour. Are our minds distinct from our brains or are our sensations thoughts beliefs and desires only particular patterns of neural activity? We will consider various theories that seek to solve the mind-body problem including dualism behaviourism identity theory and functionalism. Each of these theories differs in how they conceive the nature and role of mental states. An understanding of the problem will allow us to consider related topics in the philosophy of mind such as consciousness intentionality and personal identity.
",5
BCPOLS,Citizens Politics And Decisions,Jacqueline Hayden,"Learning Outcomes:
Students will become familiar with the concepts and theories outlined above allowing them a more refined understanding of the complexities of politics.

Students from all disciplines will become more informed and articulate citizens capable of informed participation in the political process at large.

Students will be taught how to develop their ability to communicate effectively complicated and often controversial ideas.

Students will be equipped with skills to allow them to analyse engage and evaluate political systems.

Students will be able to hone their critical writing skills and communicate concepts effectively.

Students will have developed presentational skills and be able to participate in informed discussion.
Module Learning Aims:
This course aims to provide students with an introduction to the worlds of politics and political science.
Module Content:
The lecture series will introduce students to the key concepts and theories used by political scientists to make sense of the political world. These concepts include power the state ideology and the role and nature of political institutions as well as competing normative and empirical conceptualisations of what constitutes a ‘democratic’ political system.
",5
BCSOC,Anthropology Of Gender,Barbara Bradby,"Learning Outcomes:
Upon successful completion of this module students should have gained a deeper understanding of a broad set of key concepts in the discipline and be able to recognise the distinctiveness of sociology as a social science.
Module Learning Aims:
Module Content:
 
The first half of the module starts from a central question posed by feminist anthropologists: whether patriarchy or the subordination of women is a universal feature of social organisation. It pursues this and other questions through work on relations between men and women in diverse societies – the Australian Aborigines the Trobriand Islanders contemporary Morocco the Andean peoples of Peru and Bolivia as well as other case-studies.

 
",5
BCSOC1,Anthropology Of Gender,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
BCSOC2,European Studies,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
BCSOC3,Power State Social Movements,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
EC1010,Introduction To Economics,LecturersTara Mitchell,"Learning Outcomes:
Upon successful completion students will be able to:

explain and apply basic economic terminology;

formulate and address economic and public policy issues using the language and approach of economics;

set up and solve simple economic problems related to the technical topics in this module;

articulate economic reasoning and results to others.
Module Learning Aims:
This module provides students with a broad introduction to and overview of introductory economics covering both microeconomics and macroeconomics. As such this module is the core building block for degree programmes incorporating economics such as BESS (TR081) TSM Economics and PPES

 
Module Content:
The module focuses on the principles of economics and provides a foundation for the more advanced modules in economics available in later years. The module does not assume any previous knowledge of economics and has no pre-requisites.

Michaelmas Term:

The first part of the module covers microeconomics which is concerned with the allocation of scarce resources between competing uses at the disaggregated level of individuals households and firms. The central issue concerns the respective roles of the price mechanism and of the government in resource allocation.

Topics discussed during Michaelmas Term include:

Technology and Growth

Individual Decision Making

Social Interactions: Game Theory

Property and Power

The Firm

Supply and Demand

Markets Efficiency and Public Policy

Hilary Term:

The second part of the module covers macroeconomics which is concerned with economy-wide aggregates such as the overall scale of economic activity the rate of inflation the levels of employment and unemployment and the exchange rate. The central issue concerns the role of the government in tackling macroeconomic challenges such as reducing unemployment promoting growth and maintaining price stability

Topics discussed during Hilary Term include:

Saving and Investment

Money and Banking

Inflation

International Economics

Unemployment

Aggregate Demand and Supply

Monetary and Fiscal Policy

Financial Crisis
",10
EC1030,Mathematics And Statistics,Martina Kirchberger,"Learning Outcomes:
Having successfully completed this module you will be able to:

Explain and apply mathematical and statistical terminology;

Formulate simple problems in the language and abstractions of mathematics and statistics;

Solve simple problems related to the topics in the module;

Report the results of simple problems to others in clear concise and correct English.

Satisfactory completion of this module will contribute to the development of the following key skills:

Abstraction from concrete problems to generic concepts;

Problem solving using quantitative methods;

Explaining quantitative reasoning in clear concise and correct English.

 
Module Learning Aims:
The modern practice of business economics and the social sciences requires at least a minimum knowledge of certain mathematical and statistical tools. In the study of statistics we ask the following question: how can we summarize data in a consistent way so as to draw conclusions from them that can be used in decision-making. Many statistical methods use a particular field of mathematics called Probability Theory which will be studied in some detail. In addition statistics uses the same form of logical rigor as mathematics.

The academic literature in fields like finance and economics in particular has become highly mathematical over the past decades. But also business people economic advisors policy makers journalists etc. even if they do not actively use mathematics and statistics (although many of them do) are confronted with analyses that use the language of mathematics and statistics. In mathematics as applied to business economics and the social sciences we mainly ask questions like: how can we model and analyse individuals' decisions? How do these change if the environment changes? 
Module Content:
Mathematics topics discussed during Michaelmas Term are:

Linear and quadratic functions;

Indices and logarithms;

Matrices;

Differentiation;

Optimisation of functions of one variable;

Partial differentiation;

Constrained and unconstrained optimisation of functions of several variables;

Basic integration.

Statistics topics discussed during Hilary term are:

Graphical and numerical data description;

Probability theory;

Discrete and continuous random variables;

Sampling distributions of the (sample) mean and proportion;

Confidence intervals for the (population) mean and proportion;

Hypothesis tests for the (population) mean and proportion.

                
 
",10
