code,name,lecturer,description,ects
SS1720,Introduction To Social Work,Gloria Kirwan,"Learning Outcomes:
At the end of this module students will be able to:
Distinguish the role of social work from other disciplines within the range of health and social care professions;
Identify core skills and knowledge required by qualified social work practitioners;
Articulate the value base of social work and the key ethical concepts that inform practice in this field;
Position contemporary social work practice within an historical context;
Appreciate the role of residential care services in contemporary society.
Module Learning Aims:
Module Content:
What is social work: an introductory overview. History of social work and social work training in Ireland. The social work profession in Ireland: issues in current practice. Social work and its relationship to other caring professions. Introduction to the knowledge and skills base of the social work profession Social work values and an introduction to ethical thinking and decision-making. Introduction to the principles and practice of residential care. Residential care vis-à-vis social work. Preparation for Placement: This section of the module in Hilary Term builds on the introduction to social work lectures and tutorials and also on your introduction to Residential Care to draw out principles and guidelines for work in the residential care setting of your summer placement.
",10
SS1730,Introduction To Psychology,D. McEnaney,"Learning Outcomes:
On completion of this module students will be able to:
1. distinguish perspectives within contemporary psychology;
2. understand the main theories of behaviour and personality formation;
3. comprehend models of lifespan development;
4. position the place of psychological knowledge within social work practice
5. explain theories of interpersonal attraction, attitude formation and prejudice.
Module Learning Aims:
Module Content:
Part I: This section of the module covers major theoretical approaches and orientations within Psychology; methods of research; psychological development and change across the lifespan; cognitive processes and theoretical approaches to the study of personality and emotion. It includes the following topics:
? Overview of main theories and perspectives within contemporary Psychology
? Psychological development across the lifespan
? Learning and behaviour: The role of experience
? Cognitive approaches to Psychology
? Personality
? Disorders of the mind
? Therapeutic approaches within psychology
? Psychology and Social Work Part II: Introduction to Social Psychology
Part 2: This section of the module covers major theories and approaches to Social Psychology; the relationship between attitudes and behaviour; understanding social worlds; social influence; pro-social and anti-social behaviour.
? Introduction to Social Psychology
? Social cognition
? Self as a social entity
? Attitudes and behaviour
? Conformity: Influencing behaviour
? Group Behaviour
? Interpersonal attraction
? Stereotyping and Prejudice
? Pro-social and anti-social behaviour
",10
SS1756,Introduction To Social Policy (Ot),,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
SS1765,Social Policy Concepts / The Irish Welfare State,Virpi Timonen,"Learning Outcomes:
At the end of Part A students will be:
1. Able to explain the place of social policy within the broader field of public policy, and be able to grasp, at a general level, the inter-connections between social, economic, employment and education policies;
2. Aware of the multitude of forms that social policies and welfare states can take and have a basic grasp of the reasons for and consequences of these differences;
3. Equipped with the basic conceptual vocabulary and intellectual `tool set' that is needed to develop their understanding of specific social policies and welfare states;
4. Able to engage in a general discussion about some of the strengths and shortcomings of social policies in the face of challenges that modern societies pose;
5. Able to appreciate that while social policies are often rooted in, reflect and shape political and social preferences and attitudes, the study of social policy strives to depart from a position of neutrality and objectivity in assessing the causes and consequences of social policy interventions. At the end of part B students will:
1. Have a knowledge and understanding of the historical development of the Irish Welfare State;
2. Be able to identify and explain the influence of key groups / institutions on this development;
3. Be aware of the key sources of information about Irish social policy;
4. Be able to write a critical essay about one dimension of the Irish Welfare State.
Module Learning Aims:
Module Content:
This course comprises of two sections:
a. Social Policy Concepts (5 ECTS)
b. The Irish Welfare State (5 ECTS)
A Social Policy Concepts Module Content/Outline: This module provides an introduction to social policy. It is organized around three key questions: What is social policy? Does social policy matter? Do social policies serve the needs of today's society?
B The Irish Welfare State Module content/outline: This section introduces students to the history, development, ideology and institutional structure of the Irish welfare state. The focus will be on the influences that have shaped the development of Irish social policy. Topics will include the influence of: The UK Ideology / political parties Religion Agrarianism Interest groups The European Union Social Partnership
",10
SS1766,Introduction To Social Policy,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",10
SS1777,Jf Placement,,"Learning Outcomes:
Module Learning Aims:
Aims of the Junior Freshman Residential Summer Placement
An experience of a total living situation. An insight into the daily experience of residents An opportunity to observe developmental behaviour and group interaction An understanding of residential care-work and of the role of care-workers An opportunity to identify care needs and how these are met in residential services. An opportunity to work as a team member under supervision. An opportunity to develop your communication and social-care skills.
Module Content:
This placement is in an agency which provides full-time care for its residents. Although this is largely an observation placement, it provides an opportunity for you to share activities with residents and staff.
The aim is not for you to work as `unpaid labour' doing physical care or nursing tasks for which you are untrained, but rather to shadow or work alongside experienced care staff and to engage in social activities which increase your understanding of the experience and needs of residents and the concerns of care staff.
You should aim to work normal care-worker shifts and be supervised by a care-worker or social worker in the agency. You should have regular supervision sessions with your supervisor, or a senior colleague, to plan your work and to process your learning.
",10
SS2039,Law For Social Workers,Natalie McDonnell,"Learning Outcomes:
On completion of this module students will be able to: Explain the structure of the Irish legal system Identify the sources of law that operate within the Irish legal system Understand the laws that govern social issues such as marriage and the family.
Module Learning Aims:
Module Content:
The module explores key aspects of family law relevant to social workers:
",15
SS2040,Law For Social Workers,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",15
SS2139,Introduction To Family Law,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",5
SS2720,Social Work Theory And Practice,,"Learning Outcomes:
Module Learning Aims:
Module Content:
",10
SS2760,Health Policy,Judy O,"Learning Outcomes:
At the end of this module students will: understand the relationship between socio-economic status and health status have a knowledge and understanding of the history, structure and politics underpinning contemporary Irish health policy be aware of the approaches to health service provision and funding be able to discuss and debate contemporary issues about health policy and health policy reform in the Irish health system.
Module Learning Aims:
This module introduces students to the history, politics values, funding and structure of contemporary Irish health policy
Module Content:
The following topics will be covered:
? The social determinants of health
? Socio-economic status and health status
? The historical development of Irish health policy
? the structure of the Irish health service
? the Irish health care system in a comparative context
? inequalities in Irish health care
? the public/private mix of health care provision and funding in Ireland
? the Irish Health Reform Programme.
",5
