code,name,lecturer,description,ects
HE1118,RELIGIOUS OR SECULAR CHRISTIAN ETHICS IN PLURALIST SOCIETIES,HE1118,HE1118,0
EN4474,"THE NAUGHTY NINETIES FIN DE SIECLE FICTIONS, 18901900",EN4474,EN4474,0
OR1007,YOUR STUDENTS UNION  OPTIONAL LUNCHTIME TALK,OR1007,OR1007,0
BCME01,ENERGY IN THE 21ST CENTURY POWERING THE ANTHROPOCENE,BCME01,BCME01,0
EN4436,EVERYTHING IS IN THE WAY THE MATERIAL IS COMPOSED IRISH HISTORICAL FICTION,EN4436,EN4436,0
EN4445,IN SO MANY SELVES THE REPRESENTATION OF SELF IN US POETRY,EN4445,EN4445,0
BCRE18,RELIGIOUS OR SECULAR CHRISTIAN ETHICS IN PLURALIST DEMOCRACIES,BCRE18,BCRE18,0
HE235B,A  CHRISTOLOGY,HE235B,HE235B,0
HE2315,A  CHRISTOLOGY JESUS IN THE FIRST CENTURY AT TURNING POINTS OF CHRISTIAN THIN,HE2315,HE2315,0
HE2325,A  PAUL AND THE DEVELOPMENT OF EARLY CHRISTIANITY,HE2325,HE2325,0
HE232C,A  PAUL AND THE DEVELOPMENT OF EARLY CHRISTIANITY,HE232C,HE232C,0
HE2327,A  PHILOSOPHICAL AND THEOLOGICAL APPROACHES TO GOD,HE2327,HE2327,0
HE237C,A  PHILOSOPHICAL AND THEOLOGICAL APPROACHES TO GOD,HE237C,HE237C,0
HE2313,A THE HISTORICAL JESUS AND THE GOSPELS,HE2313,HE2313,0
HE2318,B  APPROACHES TO THEOLOGICAL ETHICS,HE2318,HE2318,0
HE238C,B  APPROACHES TO THEOLOGICAL ETHICS,HE238C,HE238C,0
HE2332,B  CONTEMPORARY ETHICAL ISSUES,HE2332,HE2332,0
HE233D,B  CONTEMPORARY ETHICAL ISSUES,HE233D,HE233D,0
HE2316,B  HERMENEUTICS AND THEOLOGY,HE2316,HE2316,0
HE236C,B  HERMENEUTICS AND THEOLOGY,HE236C,HE236C,0
HE2326,B  PAULINE LETTERS IN CONTEXT,HE2326,HE2326,0
